flow,seq,stage,n,provenance,note
NASSCOM ( IT Services ),0,directory members scraped,2775,nasscom_members.csv,
NASSCOM ( IT Services ),1,IT-candidate filter passed,2499,nasscom_candidates_ALL.csv,
NASSCOM ( IT Services ),2,graded on the rubric,1702,NASSCOM_RANKED.csv,
NASSCOM ( IT Services ),3,band Priority+Secondary (callable),144,NASSCOM_RANKED.csv,
NASSCOM ( IT Services ),4,founder web-search attempted,390,websearch_queue.json,
NASSCOM ( IT Services ),5,founder name found,283,founders_websearch.json,
NASSCOM ( IT Services ),6,LinkedIn URL found (reveal key),130,founders_websearch.json,
NASSCOM ( IT Services ),7,SignalHire reveal attempted,366,bulk_revealed+nasscom144_revealed,
NASSCOM ( IT Services ),8,"reveal PASS (+91 mobile, senior)",235,gate field,
NASSCOM ( IT Services ),9,pushed to HubSpot,212,pushed_144+pushed_batches,
Romania ( IT Services ),0,seed pool received,170,ro_pool.json,
Romania ( IT Services ),1,graded on the rubric,170,ROMANIA_RANKED.csv,
Romania ( IT Services ),2,best-50 selected,50,ROMANIA_BEST_50.csv,
Romania ( IT Services ),3,leadership LinkedIn profile scraped,13,ro50_people.json,
Romania ( IT Services ),4,SignalHire reveal attempted,13,ro50_revealed.json,
Romania ( IT Services ),5,reveal gave a personal phone,4,ro50_revealed.json,
Romania ( IT Services ),6,any dialable phone (incl. company site),29,ro50_enriched.json,
Romania ( IT Services ),7,pushed to HubSpot,29,pushed_ro.json,
Bangladesh ( IT Services ) — CANCELLED,0,pool graded,266,bangladesh_top100+bd_tranche2,
Bangladesh ( IT Services ) — CANCELLED,1,team pages rendered,149,bd_rendered_teams+bd2_rendered,
Bangladesh ( IT Services ) — CANCELLED,2,reveal queue,51,bd_reveal_queue.json,
Bangladesh ( IT Services ) — CANCELLED,3,revealed,14,bd_revealed.json,
Bangladesh ( IT Services ) — CANCELLED,4,pushed to HubSpot (Ishpreet),11,bd_deal_ids.json,
Bangladesh ( IT Services ) — CANCELLED,5,"retracted — deals deleted, tag removed",11,context: plan chucked 13 Aug,
Deadpool waves ( dead startups ),0,MCA gazettes + IBBI parsed (candidates),10957,radar.sqlite:candidate,
Deadpool waves ( dead startups ),1,scored confirmed-dead,2734,radar.sqlite:scored,
Deadpool waves ( dead startups ),2,scored probable-dead,8055,radar.sqlite:scored,
Deadpool waves ( dead startups ),3,prequalified batch scored,400,radar.sqlite:prequal,
Deadpool waves ( dead startups ),4,founder reveal attempted (by wave),103,deadpool_reveals.json,
Deadpool waves ( dead startups ),5,pushed to HubSpot,92,pushed_deadpool.json,
Tracxn Sheet ( Startups ),0,distress-ranked pool scored for asset-fit,1014,"asset_scores(+b,c).json",
Tracxn Sheet ( Startups ),1,Shreyas distressed pool,493,shreyas_483_pool.json,
Tracxn Sheet ( Startups ),2,ready-queue built (fit-ranked),725,ready_queue_200.json,
Tracxn Sheet ( Startups ),3,ready-queue pushed,200,ready_queue_pushed.json,
Tracxn Sheet ( Startups ),4,distressed enriched+pushed,110,pushed_distressed.json,
Tracxn Sheet ( Startups ),5,POC-row repair pushes,17,pushed_tracxn_poc.json,
Tracxn Sheet ( Startups ),6,pulled BACK into holding pool (off callers),168,context: 168 archived off Lamiya/Yuktha; plan TBD,
SalesNav batch (7 Aug),0,ranked,685,aug7_salesnav_ranked.json,
SalesNav batch (7 Aug),1,enriched,600,aug7_salesnav_enriched.json,
SalesNav batch (7 Aug),2,pushed,400,aug7_salesnav_pushed.json,
LinkedIn campaign flows,0,campaign net-new identified,261,aug7_li_campaign_netnew.json,
LinkedIn campaign flows,1,pushed 5 Aug,13,li_aug5_pushed.json,
LinkedIn campaign flows,1,pushed 6 Aug,17,li_aug6_pushed.json,
LinkedIn campaign flows,1,routed to Ishpreet,32,li_campaign_to_ishpreet.json,
LinkedIn campaign flows,1,lead-gen form 31 Jul,5,pushed_form_jul31.json,
LinkedIn campaign flows,2,ad audience built then ABANDONED (never contacted),1000,context: campaign called off,
OutFlo outreach ( Startups ),0,replied — ready set,45,outflo_replied_ready.json,
OutFlo outreach ( Startups ),1,pushed (bucketed),61,pushed_outflo.json,
OutFlo outreach ( Startups ),2,replied-set pushed,22,pushed_outflo_replied.json,
IT-services sheet ( Scraping Algo era ),0,sheet candidates,1241,sheet_it_candidates.json,
IT-services sheet ( Scraping Algo era ),1,shortlisted,77,itservices_candidates.json,
IT-services sheet ( Scraping Algo era ),2,pushed,75,pushed_itservices.json,
