Company,Founder,Role,LinkedIn,Confidence
AccountsBook,,,,low
AlphaStreet,Vishnu Beri,Founder & CEO,https://www.linkedin.com/in/vishnuberi/,high
Applane,Yogesh Agarwal,Founder & CEO,https://in.linkedin.com/in/yogesh-agarwal-b776747,high
Ara Management Solutions,Shreedhara R Bhat,Founder,,medium
Autoload,Navin Gupta,Co-Founder & CEO,https://www.linkedin.com/in/navingupta2,high
BeeWorks,Jainendra Batra,Co-Founder,https://in.linkedin.com/in/jainendra-batra,medium
Beffy,Rahul Kumar Verma,Founder / Director,,medium
Bharat.shop,Tarun Sobhani,Founder & CEO,https://in.linkedin.com/in/tarunsobhani,medium
BiPeerage,,,,low
Brego,Mihir Lunia,Co-founder & CEO,https://www.linkedin.com/in/mihir-lunia-3b197a43/,high
CashMama,Sharat Chandra Konatham,Co-founder / Director,https://in.linkedin.com/in/sharat-chandra-onion-credit,medium
Cinqo,Ankush Gupta,Co-founder,,high
ConnektdLivz,,,,low
Counting Dues,,,,low
Crefite,Mukesh Yadav,Founder,,medium
DearO,,,,low
Digital Aristotle,Dev Roy,Founder & Managing Director,https://www.linkedin.com/in/devroy/,high
EasEMyTrade,Alok Kumar,Founder & CEO,https://www.linkedin.com/in/alok-kumar-889712173/,high
EasyMedico,Suresh Naagar,Co-founder & CEO,,medium
ExpertBoard,,,,low
FlashCash,,,,low
G-trac,Gaurav Dalal,Founder,,medium
Geojit,C. J. George,Founder & Managing Director,https://in.linkedin.com/in/george-cj-b197b55,high
Gradealyzer,Hetul Kothari,Founder,https://www.linkedin.com/in/enhetul/,high
Heftylife,,,,low
HopeBox,Pravin Vinod Duseja,Co-Founder / Director,https://in.linkedin.com/in/pravin-duseja-70151755,medium
HRInnova,Niraj Hutheesing,"Founder & MD (Cygnet Infotech, parent)",https://in.linkedin.com/in/nirajhutheesing,medium
HYRR,Nisheeth Kumar,Founder,https://www.linkedin.com/in/nisheethk/,high
Ideaplunge,Girish Chander Yellpragada,Founder & CEO,https://in.linkedin.com/in/girishchandery,high
Indicare Health Solutions,Anuradha Sunil,Co-founder & CEO,,medium
IntelCues,Siva Columbus,Co-Founder & Head of Products,https://in.linkedin.com/in/sivacolumbus,high
IRIL FARMS,Sanchi Kakar,Co-Founder & Director,https://in.linkedin.com/in/sanchi-kakar-257992119,medium
Krushiking Agrotech,Nilesh Shejwal,Founder & CEO,https://in.linkedin.com/in/nilesh-shejwal-a2609656,high
LaunchMyCareer,Ankur Aggarwal,Co-founder & Managing Director,,medium
Lawyapp,,,,low
Lucky Securities,Ashish Kacholia,Founder,https://in.linkedin.com/in/ashish-kacholia-308b8018,high
M.M Edu Port,Rajiv Malik,Founder & CEO,https://in.linkedin.com/in/rajivmalik-ceo-gepl,medium
Mailkoot,Sujith S,Founder & CEO,https://www.linkedin.com/in/sujith-s-6844ab97,high
Make My Filing,,,,low
Market Research Place,,,,low
Meltag,Vinil Vadi,Co-Founder & CEO,https://www.linkedin.com/in/vinilvadi/,high
mGuru,Adam Khorakiwala,Co-Founder,https://www.linkedin.com/in/adam-khorakiwala-038b1349/,high
Minits,Sundarabalaji Kishore,Founder & CEO,,medium
ML Infomap,Dr Manosi Lahiri,"Founder, MD & CEO",https://in.linkedin.com/in/dr-manosi-lahiri-3a328813,high
Muziris Healthcare,Sarath N S,Founder & CEO,https://www.linkedin.com/in/sarath-n-s-19bb87255/,high
MyDhan,Dhrumil Vipinchandra Patel,Director,,low
MyLnk,Neel Sinha,Founder,https://www.linkedin.com/in/neelsinha/,high
MyMoney,,,,low
Myridz,Madhukar Yadalam,Founder & CEO,https://in.linkedin.com/in/madhukaryadalam,high
Mytravelbiz.net,,,,low
Neorithm Technologies,Nandkumar Aradhye,"Founder, CEO & Managing Director",https://www.linkedin.com/in/nandkumar-aradhye-9907b910/,high
Otaf Overseas,,,,low
Palgroup,,,,low
PayPortal,Alexandr Shishlov,Founder & CEO,https://kz.linkedin.com/in/alexandr-shishlov-39833415a,medium
PolicyTiger,Shankar Nath,Founder,https://in.linkedin.com/in/shankar-nath-ba3461,high
PracMatic,Jay Mehta,Founder,,medium
RankWatch,Sahil Kakkar,Founder & CEO,https://in.linkedin.com/in/sahilkakkar,high
Reading Pup,Keshav Thirani,"Founder (Kalyani Navyug Media / Campfire, parent)",https://in.linkedin.com/in/keshav-thirani-88a42099,medium
Redcell Technocare,Akhilesh Kumar Verma,Director / Co-Founder,,medium
Revvster,Pratik Nagotra,Co-Founder,https://www.linkedin.com/in/pratik-nagotra-21544291/,high
Right Steps,Srinivasan Shridharan,Founder & CEO,https://in.linkedin.com/in/srinivasan-shridharan-08a86a6,high
Rupeelend,Siddharth Ravindran,Founder & CEO,https://in.linkedin.com/in/siddharthravindran,high
School Management Software,,,,low
Scocre,,,,low
Shipbazar,Ashwin Rangarajan,Co-Founder & Managing Director,https://www.linkedin.com/in/ashwin-rangarajan-091a9a9b/,high
Skillmile,Amit Goel,Founder / Director,,medium
Smart APP,,,,low
Social Curry,Shivani Singh-Kapoor,Co-founder / Director,,medium
Solar Hippo,Rajiv Kumar,Founder & CEO,https://in.linkedin.com/in/rajivkumar,medium
Sqoolz,Ravishankar Iyer,Founder,https://www.linkedin.com/in/ravishankariyer/,medium
TantraByte.,Janmejay Singh,Co-founder / Director,,low
ThinkQuant,,,,low
TrueScan,Ankit Tanna,Co-founder & CEO,https://www.linkedin.com/in/ankittanna,high
VMEDO,Praveen Gowdru,Co-founder & CEO,https://www.linkedin.com/in/praveengarera/,high
Voice Broadcasting,,,,low
Wavenote,Somya Agrawal,Founder & CEO,https://in.linkedin.com/in/somya-agrawal-a6449a71,medium
Wyse,Yogendra Wadaskar,Founder & Managing Director,https://in.linkedin.com/in/yogendra-wadaskar-04b18514,high
YourDeadLift,Rakesh Gujari,Co-founder / Director / CTO,https://in.linkedin.com/in/rakeshgujari,medium
Zuo Box,,,,low
Zylm,Arihant Bachhawat,Co-Founder & Managing Director,https://in.linkedin.com/in/arihant-bachhawat-167b6712,medium
