Company Name,Domain Name,Sector,Overview,Funding, Shortlisted? (Yes/No) , Annual Revenue ($ M) ,No. of Employees,Name of the founder 1,LinkedIn,Phone numbers,,,,Total Funding Amount ($M),Year Founded,Year Deadpooled,Years in Existence
Applane,applane.com,Enterprise Applications,Cloud ERP solutions for business & education institutions,No, to check ,  0.4 ,  17 ,Yogesh Agarwal,https://in.linkedin.com/in/yogesh-agarwal-b776747,,,,,-,2012,2022,10
ExpertBoard,expertboard.co,Enterprise Applications,Provider of project management tool for simplifying the primary research,No, to check ,  3.7 ,  230 ,0,0,,,,,-,2019,2021,2
BeeWorks,beeworks.in,FinTech,Provider of solutions for reconciliation and payout management,No, to check ,  1.7 ,  157 ,Jainendra Batra,https://in.linkedin.com/in/jainendra-batra,,,,,-,2020,2022,2
VMEDO,instorevmedo.com,HealthTech,Provider of procurement platform for healthcare organizations,No, to check ,  1.4 ,  58 ,Praveen Gowdru,https://www.linkedin.com/in/praveengarera/,,,,,-,2016,2024,8
Muziris Healthcare,mhcis.com,Enterprise Applications,ERP solution for hospital management,No, to check ,  1.5 ,  170 ,Sarath N S,https://www.linkedin.com/in/sarath-n-s-19bb87255/,,,,,-,2000,2021,21
Sqoolz,sqoolz.com,EdTech,Online discovery platform for schools,No, to check ,  0.8 ,  73 ,Ravishankar Iyer,https://www.linkedin.com/in/ravishankariyer/,,,,,-,2014,2023,9
TrueScan,thetruescan.com,Enterprise Applications,Cloud-based business card scanner solutions provider,No, to check ,  1.1 ,  27 ,Ankit Tanna,https://www.linkedin.com/in/ankittanna,,,,,-,2017,2024,7
ThinkQuant,thinkquant.in,Consumer,Data analytics for sports,No, to check ,  2.5 , - ,0,0,,,,,-,2016,2017,1
Play Nino,playnino.com,EdTech,Augmented reality based learning app to learn electronics and circuits,No, to check ,  0.9 ,  15 ,Sandeep Senan,https://www.linkedin.com/in/sandeepsenan/,,,,,-,2019,2022,3
Mailkoot,mailkoot.com,Enterprise Applications,Cloud-based email marketing suite,No, to check ,  0.5 ,  41 ,Sujith S,https://www.linkedin.com/in/sujith-s-6844ab97,,,,,-,2015,2021,6
Live Unique Life,liveuniquelife.com,HealthTech,Online platform for the purchase of vitamins and supplements,No, to check ,  10.7 ,  106 ,Rajkumar Rai,0,,,,,-,2020,2021,1
Cinqo,cinqo.in,FinTech,Employee benefit in the form of meal vouchers in digital wallet,No, to check ,  8.5 ,  3 ,Ankush Gupta,0,,,,,-,2016,2018,2
Bharat.shop,bharat.shop,Retail,Provider of app-based storefront solutions for e-commerce businesses,No, to check ,  11.5 , - ,Tarun Sobhani,https://in.linkedin.com/in/tarunsobhani,,,,,-,2020,2022,2
AlphaStreet,alphastreet.in,FinTech,AI-based tool for investing in stocks,No, to check ,  0.2 , - ,Vishnu Beri,https://www.linkedin.com/in/vishnuberi/,,,,,-,2016,2023,7
Zonka,zonkaplatform.com,Food and Agriculture Tech,Customer Feedback Management System for Restaurants & Hotels,No, to check ,  0.5 ,  20 ,Sonika Mehta,http://linkedin.com/in/sonikamehta,,,,,-,2008,2018,10
Globalskill,globalskillapp.com,EdTech,Mobile-based platform providing content management solutions,No, to check ,  -   , - ,Atul Shirwadkar,https://linkedin.com/in/globalskill,,,,,-,2015,2021,6
Voice Broadcasting,voicebroadcast.in,Telecom,Provider of voip services for business,No, to check ,  1.0 ,  8 ,0,0,,,,,-,2017,2024,7
Mytravelbiz.net,mytravelbiz.net,Consumer,AI-powered management solutions for travel service providers,No, to check ,  0.3 ,  5 ,0,0,,,,,-,2016,2023,7
Fre8Wise,fre8wise.com,Consumer,AI powered transportation management platform,No, to check ,  0.1 ,  38 ,Debashis Mohanty,https://linkedin.com/in/debmohanty,,,,,-,2018,2023,5
G-trac,g-trac.in,Consumer,GPS tracking & fleet management Solutions,No, to check ,  1.3 ,  7 ,Gaurav Dalal,0,,,,,-,2010,2021,11
Geojit,geojitcredits.com,FinTech,Online platform offering loans to consumers against investment securities,No, to check ,  0.6 ,  6 ,C. J. George,https://in.linkedin.com/in/george-cj-b197b55,,,,,-,2005,2022,17
Sparklehood,sparklehood.com,Investment Industry,Online school for working professionals,No, to check ,  0.1 , - ,Anchal Taatya,https://linkedin.com/in/anchaltaatya,,,,,-,2020,2024,4
FlashCash,flashcash4test.com,FinTech,App-based platform for personal loans,No, to check ,  0.7 ,  61 ,0,0,,,,,-,2017,2021,4
NammaFlix,nammaflix.com,Media & Entertainment,Online video streaming platform,No, to check ,  0.1 , - ,Vijaya Prakash,0,,,,,-,2020,2025,5
BiPeerage,bipeerage.com,Enterprise Applications,Online HRMS platform for enterprises,No, to check ,  1.3 ,  61 ,0,0,,,,,-,2022,2023,1
Counting Dues,countingdues.com,FinTech,Bookkeeping management software for businesses,No, to check ,  0.3 , - ,0,0,,,,,-,2020,2024,4
Zuo Box,zuobox.com,Mobile,Game development company developing casino games,No, to check ,  1.3 ,  4 ,0,0,,,,,-,2018,2021,3
Smart APP,smartapponline.in,Consumer,Social network platform for athletes,No, to check ,  0.7 ,  18 ,0,0,,,,,-,2021,2024,3
Datasamudra,datasamudra.com,Business Services,Provider of data science and machine learning solutions for businesses,No, to check ,  0.3 , - ,Mahanthesh Kestur,https://www.linkedin.com/in/mahanthesh-kestur-1663351/,,,,,-,2019,2024,5
Make My Filing,makemyfiling.com,FinTech,Online tax filing and administration services,No, to check ,  0.1 ,  8 ,0,0,,,,,-,2014,2021,7
Wyse,wyse.co.in,Enterprise Applications,Cloud based HRMS for SMBs,No, to check ,  0.4 ,  21 ,Yogendra Wadaskar,https://in.linkedin.com/in/yogendra-wadaskar-04b18514,,,,,-,1993,2023,30
Lawyapp,lawyapp.com,Enterprise Applications,Legal practice management tool for lawyers,No, to check ,  0.2 ,  2 ,0,0,,,,,-,2016,2021,5
