wave,company,gate,gate_reason,outcome,contacts_pushed,founders_in_research,named_resolved,founders_recovered,founded,shutdown,funding_raised,status,source
"Mobility (survivors: Ola, Uber, Rapido)",TaxiForSure,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Aprameya Radhakrishna, Raghunandan G",2,0,2011,2016,~$40M,Acquired-dead (Ola 2015),Prior session research
"Mobility (survivors: Ola, Uber, Rapido)",Baxi (74 BC Technologies),TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Ashutosh Johri, Manu Rana",2,0,2015,~2018,~$5-6M,Dead (clean),inc42.com; tracxn.com
"Mobility (survivors: Ola, Uber, Rapido)",Meru Cabs,EXCLUDE,ALIVE — still trading,not targeted,0,Neeraj Gupta,0,0,2006/07,"N/A - ALIVE, do not target",~$75M,"Acquired-alive (Mahindra Logistics, 100%, Dec 2021)",wikipedia.org; inc42.com
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",PepperTap,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,"Navneet Singh, Milin Jain",1,0,2014,2016,~$51M,Dead (clean),Prior session research
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",LocalBanya,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,3,"Rashi Choudhary, Amit Naik, Karan Mehrotra",3,0,2012,2016,undisclosed,Dead (clean),Prior session research
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",GrocShop,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,3,(none named in research),0,6,-,2016,small,Dead (clean),Prior session research
"Hyperlocal grocery (survivors: BigBasket, Blinkit) | Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)",Townrush (grocery),HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,2,"Saurya P. Sinha, Tushar Bisht, Ashutosh Banerjee",0,2,-,2016,small,Dead (clean),Prior session research
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",Aagar.com,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,2016,small,Dead (clean),Prior session research
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",ZopNow,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Mukesh Singh, Bal Krishn Birla",1,0,2011,2019,~$10M,Dead but messy (assets to ZopSmart/More),entrackr.com; startuparticle.com
"Foodtech (survivors: Zomato, Swiggy)",TinyOwl,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,Harshvardhan Mandad,1,0,2014,2016,~$27.7M,Acquired-dead (merged into Runnr->Zomato),thehotstartups.com
"Foodtech (survivors: Zomato, Swiggy)",Yumist,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,2,"Alok Jain, Abhimanyu Maheshwari",2,0,2014,2017,~$1M,Dead (clean),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",Dazo (fka TapCibo),TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Shashank Shekhar Singhal, Monica Rastogi",2,0,2014,2015,~$235K+,Dead (clean),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",SpoonJoy,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,2015,~$1M,Acqui-hired (Grofers),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",Langhar,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,2,(none named in research),0,2,-,~2016,small,Dead (clean),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",Eatlo,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,3,(none named in research),0,3,-,2016,small,Dead (clean),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",ZuperMeal,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,3,(none named in research),0,3,-,2016,seed only,Dead (clean),Prior session research
"Foodtech (survivors: Zomato, Swiggy)",FranklyMe,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,1,2014,2016,~$600K,Dead (clean),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",Lido Learning,TARGET,dead/dormant + named founder,no callable person found,0,Sahil Sheth,0,0,2019,2022,~$20M+,Dead (clean),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",FrontRow,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Ishaan Preet Singh, Shubham Malhotra",1,0,2020,2023,~$14M,"Dead (clean, considered returning $2.5M)",cbinsights.com
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",DUX Education,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Rohit Jain, Udit Chaturvedi, Manika Tiwari",1,0,2020,2023,~Rs2Cr,Dead (clean),inc42.com
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",Udayy,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,2,(none named in research),0,2,-,2022,varies,Dead (clean),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",Crejo.Fun,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,3,-,2022,Matrix-backed,Dead (clean),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",SuperLearn,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,2,(none named in research),0,4,-,2022,varies,Dead (clean),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",Amazon Academy,EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,(none named in research),0,0,2021,2023,corporate,Dead (IP = Amazon),techcrunch.com
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",WhiteHat Jr,EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,Karan Bajaj,0,0,-,wound down,acquired ($300M),Acquired-dead (IP with BYJU'S),Prior session research
"Edtech (survivors: PhysicsWallah, upGrad, Unacademy)",Toppr,EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,Zishaan Hayath,0,0,-,wound down,acquired ($150M),Acquired-dead (IP with BYJU'S),Prior session research
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",Monexo,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,Mukesh Bubna,1,0,-,~2024,-,Dead/wound down (RBI show-cause notice),medianama.com
