wave	company	founders	founded	shutdown	funding_raised	status	founder_notes	source
Mobility (survivors: Ola, Uber, Rapido)	TaxiForSure	Aprameya Radhakrishna, Raghunandan G	2011	2016	~$40M	Acquired-dead (Ola 2015)	Aprameya -> Vokal/Koo; Raghunandan -> Zolve	Prior session research
Mobility (survivors: Ola, Uber, Rapido)	Baxi (74 BC Technologies)	Ashutosh Johri, Manu Rana	2015	~2018	~$5-6M	Dead (clean)	Manu Rana -> founder of 6to8, Baxitaxi	inc42.com; tracxn.com
Mobility (survivors: Ola, Uber, Rapido)	Meru Cabs	Neeraj Gupta	2006/07	N/A - ALIVE, do not target	~$75M	Acquired-alive (Mahindra Logistics, 100%, Dec 2021)	Neeraj Gupta stepped down 2021	wikipedia.org; inc42.com
Hyperlocal grocery (survivors: BigBasket, Blinkit)	PepperTap	Navneet Singh, Milin Jain	2014	2016	~$51M	Dead (clean)	Navneet -> logistics ventures	Prior session research
Hyperlocal grocery (survivors: BigBasket, Blinkit)	LocalBanya	Rashi Choudhary, Amit Naik, Karan Mehrotra	2012	2016	undisclosed	Dead (clean)	-	Prior session research
Hyperlocal grocery (survivors: BigBasket, Blinkit)	GrocShop	various	-	2016	small	Dead (clean)	-	Prior session research
Hyperlocal grocery (survivors: BigBasket, Blinkit)	Townrush (grocery)	various	-	2016	small	Dead (clean)	-	Prior session research
Hyperlocal grocery (survivors: BigBasket, Blinkit)	Aagar.com	various	-	2016	small	Dead (clean)	-	Prior session research
Hyperlocal grocery (survivors: BigBasket, Blinkit)	ZopNow	Mukesh Singh, Bal Krishn Birla	2011	2019	~$10M	Dead but messy (assets to ZopSmart/More)	Mukesh Singh -> founded ZopSmart	entrackr.com; startuparticle.com
Foodtech (survivors: Zomato, Swiggy)	TinyOwl	Harshvardhan Mandad + 4 IIT-B grads	2014	2016	~$27.7M	Acquired-dead (merged into Runnr->Zomato)	Harshvardhan -> other ventures	thehotstartups.com
Foodtech (survivors: Zomato, Swiggy)	Yumist	Alok Jain, Abhimanyu Maheshwari	2014	2017	~$1M	Dead (clean)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	Dazo (fka TapCibo)	Shashank Shekhar Singhal, Monica Rastogi	2014	2015	~$235K+	Dead (clean)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	SpoonJoy	various	-	2015	~$1M	Acqui-hired (Grofers)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	Langhar	various	-	~2016	small	Dead (clean)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	Eatlo	various	-	2016	small	Dead (clean)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	ZuperMeal	various	-	2016	seed only	Dead (clean)	-	Prior session research
Foodtech (survivors: Zomato, Swiggy)	FranklyMe	various	2014	2016	~$600K	Dead (clean)	-	Prior session research
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	Lido Learning	Sahil Sheth	2019	2022	~$20M+	Dead (clean)	-	Prior session research
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	FrontRow	Ishaan Preet Singh, Shubham Malhotra	2020	2023	~$14M	Dead (clean, considered returning $2.5M)	-	cbinsights.com
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	DUX Education	Rohit Jain, Udit Chaturvedi, Manika Tiwari	2020	2023	~Rs2Cr	Dead (clean)	Chaturvedi -> CFO Techno Sportswear; Tiwari -> CSO LXL Ideas	inc42.com
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	Udayy	various	-	2022	varies	Dead (clean)	-	Prior session research
