wave,company,founders,founded,shutdown,funding_raised,status,founder_notes,source,gate,gate_reason
"Mobility (survivors: Ola, Uber, Rapido)",TaxiForSure,"Aprameya Radhakrishna, Raghunandan G",2011,2016,~$40M,Acquired-dead (Ola 2015),Aprameya -> Vokal/Koo; Raghunandan -> Zolve,Prior session research,TARGET,dead/dormant + named founder
"Mobility (survivors: Ola, Uber, Rapido)",Baxi (74 BC Technologies),"Ashutosh Johri, Manu Rana",2015,~2018,~$5-6M,Dead (clean),"Manu Rana -> founder of 6to8, Baxitaxi",inc42.com; tracxn.com,TARGET,dead/dormant + named founder
"Mobility (survivors: Ola, Uber, Rapido)",Meru Cabs,Neeraj Gupta,2006/07,"N/A - ALIVE, do not target",~$75M,"Acquired-alive (Mahindra Logistics, 100%, Dec 2021)",Neeraj Gupta stepped down 2021,wikipedia.org; inc42.com,EXCLUDE,ALIVE — still trading
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",PepperTap,"Navneet Singh, Milin Jain",2014,2016,~$51M,Dead (clean),Navneet -> logistics ventures,Prior session research,TARGET,dead/dormant + named founder
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",LocalBanya,"Rashi Choudhary, Amit Naik, Karan Mehrotra",2012,2016,undisclosed,Dead (clean),-,Prior session research,TARGET,dead/dormant + named founder
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",GrocShop,,-,2016,small,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Hyperlocal grocery (survivors: BigBasket, Blinkit) | Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)",Townrush (grocery),"Saurya P. Sinha, Tushar Bisht, Ashutosh Banerjee",-,2016,small,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",Aagar.com,,-,2016,small,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Hyperlocal grocery (survivors: BigBasket, Blinkit)",ZopNow,"Mukesh Singh, Bal Krishn Birla",2011,2019,~$10M,Dead but messy (assets to ZopSmart/More),Mukesh Singh -> founded ZopSmart,entrackr.com; startuparticle.com,TARGET,dead/dormant + named founder
"Foodtech (survivors: Zomato, Swiggy)",TinyOwl,Harshvardhan Mandad,2014,2016,~$27.7M,Acquired-dead (merged into Runnr->Zomato),Harshvardhan -> other ventures,thehotstartups.com,TARGET,dead/dormant + named founder
"Foodtech (survivors: Zomato, Swiggy)",Yumist,"Alok Jain, Abhimanyu Maheshwari",2014,2017,~$1M,Dead (clean),-,Prior session research,TARGET,dead/dormant + named founder
"Foodtech (survivors: Zomato, Swiggy)",Dazo (fka TapCibo),"Shashank Shekhar Singhal, Monica Rastogi",2014,2015,~$235K+,Dead (clean),-,Prior session research,TARGET,dead/dormant + named founder
"Foodtech (survivors: Zomato, Swiggy)",SpoonJoy,,-,2015,~$1M,Acqui-hired (Grofers),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Foodtech (survivors: Zomato, Swiggy)",Langhar,,-,~2016,small,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Foodtech (survivors: Zomato, Swiggy)",Eatlo,,-,2016,small,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
"Foodtech (survivors: Zomato, Swiggy)",ZuperMeal,,-,2016,seed only,Dead (clean),-,Prior session research,HOLD,NO_FOUNDER — research row has no named person
