founder,company,wave,founded,shutdown,funding_raised,status,primary_contact,notes
Aprameya Radhakrishna,TaxiForSure,Mobility,2011,2016,~$40M,Acquired-dead (Ola 2015),Y,Aprameya -> Vokal/Koo; Raghunandan -> Zolve
Raghunandan G,TaxiForSure,Mobility,2011,2016,~$40M,Acquired-dead (Ola 2015),,Aprameya -> Vokal/Koo; Raghunandan -> Zolve
Ashutosh Johri,Baxi (74 BC Technologies),Mobility,2015,~2018,~$5-6M,Dead (clean),Y,"Manu Rana -> founder of 6to8, Baxitaxi"
Manu Rana,Baxi (74 BC Technologies),Mobility,2015,~2018,~$5-6M,Dead (clean),,"Manu Rana -> founder of 6to8, Baxitaxi"
Navneet Singh,PepperTap,Hyperlocal grocery,2014,2016,~$51M,Dead (clean),Y,Navneet -> logistics ventures
Milin Jain,PepperTap,Hyperlocal grocery,2014,2016,~$51M,Dead (clean),,Navneet -> logistics ventures
Rashi Choudhary,LocalBanya,Hyperlocal grocery,2012,2016,undisclosed,Dead (clean),Y,-
Amit Naik,LocalBanya,Hyperlocal grocery,2012,2016,undisclosed,Dead (clean),,-
Karan Mehrotra,LocalBanya,Hyperlocal grocery,2012,2016,undisclosed,Dead (clean),,-
Mukesh Singh,ZopNow,Hyperlocal grocery,2011,2019,~$10M,Dead but messy (assets to ZopSmart/More),Y,Mukesh Singh -> founded ZopSmart
Bal Krishn Birla,ZopNow,Hyperlocal grocery,2011,2019,~$10M,Dead but messy (assets to ZopSmart/More),,Mukesh Singh -> founded ZopSmart
Harshvardhan Mandad,TinyOwl,Foodtech,2014,2016,~$27.7M,Acquired-dead (merged into Runnr->Zomato),Y,Harshvardhan -> other ventures
Alok Jain,Yumist,Foodtech,2014,2017,~$1M,Dead (clean),Y,-
Abhimanyu Maheshwari,Yumist,Foodtech,2014,2017,~$1M,Dead (clean),,-
Shashank Shekhar Singhal,Dazo (fka TapCibo),Foodtech,2014,2015,~$235K+,Dead (clean),Y,-
Monica Rastogi,Dazo (fka TapCibo),Foodtech,2014,2015,~$235K+,Dead (clean),,-
Sahil Sheth,Lido Learning,Edtech,2019,2022,~$20M+,Dead (clean),Y,-
Ishaan Preet Singh,FrontRow,Edtech,2020,2023,~$14M,"Dead (clean, considered returning $2.5M)",Y,-
Shubham Malhotra,FrontRow,Edtech,2020,2023,~$14M,"Dead (clean, considered returning $2.5M)",,-
Rohit Jain,DUX Education,Edtech,2020,2023,~Rs2Cr,Dead (clean),Y,Chaturvedi -> CFO Techno Sportswear; Tiwari -> CSO LXL Ideas
Udit Chaturvedi,DUX Education,Edtech,2020,2023,~Rs2Cr,Dead (clean),,Chaturvedi -> CFO Techno Sportswear; Tiwari -> CSO LXL Ideas
Manika Tiwari,DUX Education,Edtech,2020,2023,~Rs2Cr,Dead (clean),,Chaturvedi -> CFO Techno Sportswear; Tiwari -> CSO LXL Ideas
Mukesh Bubna,Monexo,P2P Lending / Fintech NBFC,-,~2024,-,Dead/wound down (RBI show-cause notice),Y,-
Abhinav Sherwal,Finzy,P2P Lending / Fintech NBFC,-,~2024,-,Dead/frozen (RBI show-cause notice),Y,-
Amit More,Finzy,P2P Lending / Fintech NBFC,-,~2024,-,Dead/frozen (RBI show-cause notice),,-
Apoorv Gawde,Finzy,P2P Lending / Fintech NBFC,-,~2024,-,Dead/frozen (RBI show-cause notice),,-
Vishwas Dixit,Finzy,P2P Lending / Fintech NBFC,-,~2024,-,Dead/frozen (RBI show-cause notice),,-
Rahul Agrawal,Mebelkart,Furniture & Home Decor E-comm,~2013,2017,~$20M (via AskMe),Acquired then collapsed (AskMe shut 2016),Y,-
Nikhil Saraf,Mebelkart,Furniture & Home Decor E-comm,~2013,2017,~$20M (via AskMe),Acquired then collapsed (AskMe shut 2016),,-
Jawad Ayaz,Zansaar,Furniture & Home Decor E-comm,2012,~2015,~$6M,Dead (clean),Y,Co-founder -> CapriCoast (later shut too)
Vinod Chandran,Zansaar,Furniture & Home Decor E-comm,2012,~2015,~$6M,Dead (clean),,Co-founder -> CapriCoast (later shut too)
K. Vaitheeswaran,Fabmart/Indiaplaza,Furniture & Home Decor E-comm,1999,2013,angel/VC,"Dead (clean, historic)",Y,K. Vaitheeswaran -> author/consultant
Phaneesh Murthy,Zigy.com (PM Health & Life Care),Online Pharmacy,2015,2016,~$5M,Dead (clean),Y,Phaneesh Murthy -> advisory/PE
Anil Bajpai,Zigy.com (PM Health & Life Care),Online Pharmacy,2015,2016,~$5M,Dead (clean),,Phaneesh Murthy -> advisory/PE
Atit Jain,Pluss,Online Pharmacy,2015,2016,~$1M,Acquired-dead (Netmeds),Y,-
Madhulika Pandey,Pluss,Online Pharmacy,2015,2016,~$1M,Acquired-dead (Netmeds),,-
Tarun Lawadia,Pluss,Online Pharmacy,2015,2016,~$1M,Acquired-dead (Netmeds),,-
Prashant Singh,Medlife,Online Pharmacy,2014,2021,~$39M,Acquired-dead (PharmEasy 2021),Y,Prashant Singh -> other ventures
Tushar Kumar,Medlife,Online Pharmacy,2014,2021,~$39M,Acquired-dead (PharmEasy 2021),,Prashant Singh -> other ventures
Anubhab Goel,Zimmber,Hyperlocal Home Services,2014,2017,~$11M,"Acquired-dead (Quikr, ~$10M all-stock)",Y,-
Gaurav Shrivastava,Zimmber,Hyperlocal Home Services,2014,2017,~$11M,"Acquired-dead (Quikr, ~$10M all-stock)",,-
Amit Kumar,Zimmber,Hyperlocal Home Services,2014,2017,~$11M,"Acquired-dead (Quikr, ~$10M all-stock)",,-
Abhinav Agarwal,Doormint,Hyperlocal Home Services,2014/15,2016,Helion/Kalaari-backed,Dead (assets -> Wassup),Y,-
Naga Chokkanathan,Doormint,Hyperlocal Home Services,2014/15,2016,Helion/Kalaari-backed,Dead (assets -> Wassup),,-
Sunil Goel,Housejoy,Hyperlocal Home Services,2015,~2019,~$27M,Dead/pivoted (construction),Y,-
Arjun Mendu,Housejoy,Hyperlocal Home Services,2015,~2019,~$27M,Dead/pivoted (construction),,-
Saran Chatterjee,Housejoy,Hyperlocal Home Services,2015,~2019,~$27M,Dead/pivoted (construction),,-
Rachit Mathur,FindYahan,Hyperlocal Home Services,2013,2016,small,Acquired-dead (Zimmber),Y,Snehil Khanor -> TrulyMadly
Snehil Khanor,FindYahan,Hyperlocal Home Services,2013,2016,small,Acquired-dead (Zimmber),,Snehil Khanor -> TrulyMadly
Aseem Khare,Taskbob,Hyperlocal Home Services,2015,2017,~$5M,Dead (clean),Y,-
Rakesh Raman,Truebil,Used Car Marketplaces,2015,2020,~$27M,"Acquired-dead (Spinny, Aug 2020)",Y,"Shanu Vivek -> founder Reel Saga, GolBol"
Shanu Vivek,Truebil,Used Car Marketplaces,2015,2020,~$27M,"Acquired-dead (Spinny, Aug 2020)",,"Shanu Vivek -> founder Reel Saga, GolBol"
Suraj Kalwani,Truebil,Used Car Marketplaces,2015,2020,~$27M,"Acquired-dead (Spinny, Aug 2020)",,"Shanu Vivek -> founder Reel Saga, GolBol"
Shubh Bansal,Truebil,Used Car Marketplaces,2015,2020,~$27M,"Acquired-dead (Spinny, Aug 2020)",,"Shanu Vivek -> founder Reel Saga, GolBol"
Sachin Bhatia,Bulbul,Social/Video Commerce,2019,2022,~$18M,Acquired-dead (Good Glamm Group),Y,Sachin Bhatia -> serial founder (ex-MakeMyTrip/TrulyMadly)
Pulkit Agrawal,Trell,Social/Video Commerce,2016,2022,~$57M,"Dead (financial-irregularity allegations, Sequoia exit)",Y,-
Prashant Sachan,Trell,Social/Video Commerce,2016,2022,~$57M,"Dead (financial-irregularity allegations, Sequoia exit)",,-
Bimal Kartheek Rebba,Trell,Social/Video Commerce,2016,2022,~$57M,"Dead (financial-irregularity allegations, Sequoia exit)",,-
Kabeer Biswas,Dunzo,Quick Commerce,2014,2025,$450M+ (incl. Reliance $200M),"Dead (clean, Jan 2025)",Y,Kabeer Biswas -> Flipkart Minutes head
Ankur Agarwal,Dunzo,Quick Commerce,2014,2025,$450M+ (incl. Reliance $200M),"Dead (clean, Jan 2025)",,Kabeer Biswas -> Flipkart Minutes head
