company_name,domain,office_phone,address,city,rating,review_count,place_id,source,discovered_at
1A Infotech,1ainfotech.com,098780 69696,"3rd Floor Part-A, SCO 112-113, Dakshin Marg, Sector 34A, Sector 30, Chandigarh, 160030, India",Mohali,5,38,ChIJc57fd3_tDzkR-L7kxxTqKlk,google_maps,2026-08-04T16:16:34
360 Bytes,360-bytes.com,,"3rd floor, H&H Business Arcade, D-141, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,3.6,94,ChIJxa4GaqoWrjsR7RgFUf1_wfE,google_maps,2026-08-04T16:16:34
360digiexpertz,360digiexpertz.com,070879 76232,"Scf 103, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,5,51,ChIJu3DDudztDzkRbh5S7Gw82rg,google_maps,2026-08-04T16:16:34
Web Design & Development Company - 3D Fuzion,3dfuzion.com,089687 87820,"F-301, 6th floor, Phase, 8B, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,5,26,ChIJzZ7fAlnvDzkRZhtMWtdCRBA,google_maps,2026-08-04T16:16:34
610 Web Lab,610weblab.com,084278 14610,"C-196/A, Times Square Building, 3rd Floor, Sector 74, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.8,40,ChIJx8Rq6qLvDzkRCpJpmiz6d3k,google_maps,2026-08-04T16:16:34
Acuity Web Technologies,acuitywebtechnologies.com,070090 12498,"D-108E, Phase 7, Industrial Area, Balongi, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,5,7,ChIJDXMloynvDzkR9d4Qbm6hkDg,google_maps,2026-08-04T16:16:34
Acumen IT Services,acumenitservices.com,098786 77746,"SCO 188-190, 4th Floor, Sector 34A, Sector 34, Chandigarh, 160022, India",Mohali,5,24,ChIJ6_NL7tHtDzkRUY9ji71XRA4,google_maps,2026-08-04T16:16:34
Adaired Digital Media,adaired.com,089073 00008,"5th Floor, Bestech Business Towers, B-509, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160066, India",Mohali,4.4,129,ChIJd1eMuVztDzkR-YCgAUhEIYo,google_maps,2026-08-04T16:16:34
Chandigarh Digital Marketing Company,adexcelagency.com,093064 83741,"Near, Hotel O GG Residency, Sector 80, Mauli Baidwan, Sahibzada Ajit Singh Nagar, Punjab 140308, India",Mohali,5,81,ChIJd-8jPSvvDzkRz6vjXjOM574,google_maps,2026-08-04T16:16:34
Ai Creatives,aicreatives.com,098888 81684,"SCO 13, TDI SMART CITY, near Tdi Business Centre, Sector 118, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,3.7,22,ChIJt84T2dDvDzkRgp3IjIYGAsA,google_maps,2026-08-04T16:16:34
Airai Technologies,airai.games,098771 50016,"Kailash Tower, F-177, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140308, India",Mohali,5,11,ChIJF6-ddcvvDzkRuX6fT5NW39k,google_maps,2026-08-04T16:16:34
A.K.A CONSTRUCTIONS,akaconstructions.in,075088 54525,"Plot no. 406 ,second floor, Sector 82, Sector 91, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.8,59,ChIJry4JX6rvDzkRXgxqjcrsYvE,google_maps,2026-08-04T16:16:34
Akki Studios,akkistudios.com,086990 09948,"SCO 72, First Floor, Phase 2, Sector 54, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,5,56,ChIJve_jQQruDzkRoOHZDnEJiUw,google_maps,2026-08-04T16:16:34
Aksh Digital Solutions,akshdigitalsolutions.com,097792 81128,"Plot No. 1296, Sector 80, Sahibzada Ajit Singh Nagar, Punjab 140308, India",Mohali,5,15,ChIJETnOJlHvDzkRvDwFpyqSdYk,google_maps,2026-08-04T16:16:34
Alakh Web Solutions,alakhweb.com,097814 88839,"Office No. 15, E-203, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.6,32,ChIJ39M7H5PuDzkRleFUAEK57yw,google_maps,2026-08-04T16:16:34
Algowid Technologies,algowid.net,,"603, TOWER C, 8, SECTOR-88, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.9,68,ChIJ8bIFtOXuDzkR5rhtZcr7bo4,google_maps,2026-08-04T16:16:34
Allsoft Solutions,allsoftsolutions.in,098765 27999,"E-39, Phase-8, Industrial Area, Sector -72, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,4.5,136,ChIJxzynGPfuDzkR-CyHsIQ8zWg,google_maps,2026-08-04T16:16:34
Selenium / Playwright / Rest Assured / Appium / Cypress/ CICD / Core Java / AI Models Automation Testing training,alphabetaops.com,085570 37939,"HL 570, 2nd Floor, Sunny Enclave, SCO 44, Phase 9, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.9,50,ChIJv3_IvVrtDzkRmLDBF-sUrww,google_maps,2026-08-04T16:16:34
Alphanumeric Ideas,alphanumericideas.com,076968 55855,"368/1, Sec-2, Ward No.1 Mundi Kharar, Kharar, nr. Sunny Enclave, Sunny Enclave, Sahibzada Ajit Singh Nagar, Kharar, Punjab 140301, India",Mohali,4,45,ChIJM1fU0ebvDzkRaNlBcxlZyp8,google_maps,2026-08-04T16:16:34
AMBIKA SOFTWARE TECHNOLOGIES,ambikasoftwaretechnologies.com,083603 47878,"Shop no 712, 2nd Floor, Kesho Ram Complex, Burail, Sector 45C, Sector 45, Chandigarh, 160047, India",Mohali,3.6,10,ChIJw0aDAZPuDzkR3D6tkq3crSk,google_maps,2026-08-04T16:16:34
Amrit Web,amritweb.in,097796 58581,"4th Floor, Miran Tower, E-331, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.9,66,ChIJUViGVwfvDzkRLlwUjIWKNY4,google_maps,2026-08-04T16:16:34
AMR Softec,amrsoftec.com,098889 40088,"D-151, Third Floor, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,4.9,27,ChIJxZ1C9cLvDzkREkaAyj7VZgw,google_maps,2026-08-04T16:16:34
Anahatt Technologies,anahatttechnologies.com,099151 69231,"Office 1, Level 3, Plot No 1356, Sector 82, JLPL Industrial Area, Punjab 140308, India",Mohali,4.8,11,ChIJy0oQWwDpDzkRVYfUgwZ0xv8,google_maps,2026-08-04T16:16:34
Anandhish Innovations And Technologies,anandhishtech.com,094669 09600,"chwonk, Sector 112, Landran, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,5,45,ChIJqaKGVfXvDzkRO7IkZ1tqMzg,google_maps,2026-08-04T16:16:34
Appiesoft Web Solutions,appiesoftwebsolutions.com,098786 88681,"SCF 80 FF, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.8,12,ChIJR-8uLITtDzkR0xsWeaw0K6Q,google_maps,2026-08-04T16:16:34
Applify,applify.co,076268 48484,"Applify Tech Private Limited, Unit 908-909, Bestech Towers, TOWER-B, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.4,92,ChIJAy0pVuDrDzkRul5h7Kug2h0,google_maps,2026-08-04T16:16:34
Apptechies,apptechies.com,,"Phase 8A, Teneil IT Tower, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.5,74,ChIJoxp1K-DvDzkRrLNZi3ZoSuM,google_maps,2026-08-04T16:16:34
AppTechProvider,apptechprovider.com,079018 12796,"SCO:4, 2nd Floor Sector 125, Sunny Enclave, Mohali Chandigarh, Jhungiyan, Kharar, Punjab 140301, India",Mohali,4.9,26,ChIJWVnA2_ldLUcRiSDu58FSJWY,google_maps,2026-08-04T16:16:34
APR Techno,aprtechno.com,088377 05079,"SCO 126-127, Sector 34A, Sector 34, Chandigarh, 160022, India",Mohali,5,29,ChIJ1ykoCcvtDzkRMEsGaupIv6k,google_maps,2026-08-04T16:16:34
ARTING DIGITAL,artingdigital.com,084274 18828,"2678, 1, 44C, Sector 44, Chandigarh, 160043, India",Mohali,4.4,7,ChIJecEkyNTtDzkRWTED0WO3gas,google_maps,2026-08-04T16:16:34
Ankush Desizns Studio,artstation.com,070094 36951,"1156, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.9,110,ChIJGWzKd-yUDzkR4pLYLlMfOSQ,google_maps,2026-08-04T16:16:34
Ascella Software Labs,ascella.in,094599 40849,"District one, SCO 48, Sector 68, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,5,64,ChIJbxevKGjvDzkRoUB6V7zE030,google_maps,2026-08-04T16:16:34
AD Software Solutions,askdeveloper.net,088920 37134,"623, Tower-A, Bestech Business Tower, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,5,15,ChIJVwbPDjTrDzkRNR0aPlagBZc,google_maps,2026-08-04T16:16:34
Auspicious Soft Pvt Ltd | Website & Mobile App Development Company in USA,auspicioussoft.com,070189 46603,"1st Floor, Flexi Tower, Plot Number E-288, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 160075, India",Mohali,4.5,85,ChIJ-XcVVPTuDzkRSGcTvpKzB3Y,google_maps,2026-08-04T16:16:34
Avaptech Solutions,avaptech.com,098887 88455,"SCF 38, 2nd & 3rd Floor, near PCA Stadium, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.2,34,ChIJq6qq6vjrDzkRwMdapX29JCU,google_maps,2026-08-04T16:16:34
BayaTree Infocom,bayatree.com,0172 509 5740,"C-139, S.A.S. Nagar, Phase 8, Industrial Area Mohali, Sector 72, Mohali, C-139 Phase, 8, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,3.9,100,ChIJZVhJk_buDzkRddqIEH_mJcw,google_maps,2026-08-04T16:16:34
Beckon Delve,beckondelve.com,097800 10700,"1354, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,3.9,44,ChIJk6qqqlfuDzkRHtK8u4pNVfE,google_maps,2026-08-04T16:16:34
Beetle Media Group- best digital marketing agency in Mohali,beetlemediagroup.com,086994 06221,"SCF-38, 2nd Floor, Phase 7, Sector 61, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.8,5,ChIJwytQH4Z7tWQRby4POm95Ogo,google_maps,2026-08-04T16:16:34
Betasoft Solutions,betasoftsolutions.com,062399 96544,"Ofc 314 , Level 3, Bestech Business Tower, Parkview Residence Colony, Phase 11, Tarf Kumbra, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.3,44,ChIJ733rvAbsDzkRhQpBMYv1MRk,google_maps,2026-08-04T16:16:34
Bhanguz Software Solutions,bhanguz.com,094654 34150,"1510 Sector 82India, Sector 82, JLPL Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 140306, India",Mohali,4.1,48,ChIJAQAAAOHrDzkRb3mEecLylAw,google_maps,2026-08-04T16:16:34
Bizdesire,bizdesire.co,098760 40781,"World Tech 67 ITC 10, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.8,42,ChIJl3umd5anFzkR6UXzg-5nV_M,google_maps,2026-08-04T16:16:34
Blink N Boost- Digital Marketing Company in Mohali,blinknboost.com,090341 31038,"82, Ground Floor, TDI City, 11, Sector 110, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.8,13,ChIJ-YlXSb7vDzkR9tEDyVO7DUk,google_maps,2026-08-04T16:16:34
UTS Global,blogspot.com,085449 90173,"SCO No 679, Second Floor, Office No. F-7, opposite Government Elementary School, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,4.8,4,ChIJ1_RAZuvvDzkR9tCjS27HbLk,google_maps,2026-08-04T16:16:34
Bonzer Web Solutions,bonzerwebsolutions.com,096251 36653,"Kesho Ram Complex, Burail, Ekta Market, Sector 45C, Sector 45, Chandigarh, 160047, India",Mohali,4.4,8,ChIJ0auCuEfsDzkRMEolzeh4ngE,google_maps,2026-08-04T16:16:34
Boxfy,boxfy.co,099150 06369,"SCO 64-65, Sector 34B, Sector 34, Chandigarh, 160022, India",Mohali,4.9,10,ChIJFZa3dKjtDzkRSlunuInGVko,google_maps,2026-08-04T16:16:34
BPO Convergence Pvt.Ltd Mohali,bpoc.in,084275 74174,"BPO Convergence Private Limited, Dibon Building, 5th Floor, IT Park, Plot Number-2, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.4,25,ChIJP2k9mDIn00QRWKXMmFMadTA,google_maps,2026-08-04T16:16:34
Brain Birds Technologies | Web Development in Mohali,brainbirds.in,080542 25122,"#84, second floor, main road, Phase 5, Shahi Majra, Industrial Area, Sector 58, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,5,23,ChIJzzeQaZLuDzkRUzYo2PprKeA,google_maps,2026-08-04T16:16:34
BrandArt,brandartsolutions.com,099889 96003,"H. No: 3196, IT City Rd, Sec 66 B, JLPL Industrial Area, Sahibzada Ajit Singh Nagar, Chachu Majra, Punjab 140306, India",Mohali,5,14,ChIJzw9lbi_rDzkRy731nvwmcCA,google_maps,2026-08-04T16:16:34
Brand Toniq,brandtoniq.com,099880 66099,"EP 92, Emaar, Sector 104, Sahibzada Ajit Singh Nagar, Punjab 140306, India",Mohali,5,20,ChIJuanE8i7pDzkRmHVUH3Y3GCY,google_maps,2026-08-04T16:16:34
Bridging Technologies,bridgingtech.com,085588 25708,"8th & 9th Floor, Zone-1, Site No: 252, Presidential Tower, CP 67, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4,136,ChIJ66qGaubtDzkRHx-l4T7VeFA,google_maps,2026-08-04T16:16:34
Bright Roots Software Solutions,brightroots.in,076964 07336,"Office Space on Rent E-302 Industrial Area, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,3.9,45,ChIJU8kyuwPvDzkROaAfR7SCBvg,google_maps,2026-08-04T16:16:34
Brilliantsweb Technologies,brilliantsweb.com,091073 33338,"E-260, B(A, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,5,15,ChIJp81yTLDvDzkRWtC1eDSxgmo,google_maps,2026-08-04T16:16:34
Bringletech,bringletech.com,075069 84430,"First Floor, Debstarz Dubai Tower, D266A, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.5,96,ChIJSQdGUADvDzkRC1U4FODkxbQ,google_maps,2026-08-04T16:16:34
BronzeByte IT Solutions,bronzebyte.com,077101 13366,"2nd Floor, F-427, Phase 8B, Industrial Area, Sector 91, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,5,3,ChIJPSrnIlHvDzkRgDxpxYX3klo,google_maps,2026-08-04T16:16:34
Buster Apps Solutions,busterapps.com,084009 40046,"Ram Hari Tower, D-266, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,5,57,ChIJiTfkBMXzDzkRkjwRQGjFTN0,google_maps,2026-08-04T16:16:34
Byteverse Technothink Solution,byteversetechnothink.com,089872 23150,"SCO NO 14, National Highway 21, Chandigarh Rd, Sector 126, Model Town, Daun Majra, Kharar, Punjab 140301, India",Mohali,4.6,8,ChIJrWdN4tLvDzkR1_z-IBlcPAM,google_maps,2026-08-04T16:16:34
Callidora Technology,callidoratechnology.com,099155 21444,"SCO 12, Industrial Area, Industrial Area Mohali Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,5,19,ChIJkZMEE3ntDzkR1oLZDuX7ZSs,google_maps,2026-08-04T16:16:34
Career Solution Technology,careersolutiontechnology.com,095308 00544,"3rd floor, OZI Gym Building, C-127, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,4.7,13,ChIJgfw21rbvDzkRzSwhQ6npySU,google_maps,2026-08-04T16:16:34
Caresort Solutions,caresortsolutions.com,0172 509 5099,"C-86 Pannu Tower, Phase 7, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.4,52,ChIJXfMiWRDvDzkR-AOaJvWsoDQ,google_maps,2026-08-04T16:16:34
Carvia Technologies,carvia.tech,078140 58315,"H.No. 927, Sector 80, Sahibzada Ajit Singh Nagar, Punjab 140308, India",Mohali,3.7,3,ChIJ38gg5IbvDzkR4SPD7WVeMv0,google_maps,2026-08-04T16:16:34
Chandigarh IT Solutions,chandigarhitsolutions.com,076962 66921,"2570, Sector 24C, Sector 24, Chandigarh, 160023, India",Mohali,5,120,ChIJ7eN0YETtDzkRihfRjANMMio,google_maps,2026-08-04T16:16:34
ChicMic Studios,chicmicstudios.in,,"F-273, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.3,181,ChIJSy_nza3vDzkR9s04QzeY7n0,google_maps,2026-08-04T16:16:34
City Ultimate Business Marketing,cityultimate.com,062837 81389,"44B, Sector 44, Chandigarh, 160043, India",Mohali,5,11,ChIJA9r5jPXtDzkRf8CQOU7IUIo,google_maps,2026-08-04T16:16:34
Cloud Analogy,cloudanalogy.com,0120 414 7360,"Ground Floor, Plot No, ITC-09, Netsmartz Square, IT Park, near MC office, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,3.8,18,ChIJlcOkLQjvDzkRxF3GbnZD-4c,google_maps,2026-08-04T16:16:34
Cloudcapstone,cloudcapstone.com,077104 37287,"SCO- 48, Sector 124, Sunny Enclave, Kharar, Sahibzada Ajit Singh Nagar, Punjab 140301, India",Mohali,4.4,27,ChIJs0Z8bHnuDzkRBh8Rsak1kQM,google_maps,2026-08-04T16:16:34
CodeGenus Software Solutions,codegenus.com,,"First Floor, Plot No D133C (Manchanda Tower, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,5,13,ChIJM6bJrDvvDzkRLSyrql-UXNM,google_maps,2026-08-04T16:16:34
Code Inc Solutions,codeincsolutions.com,076579 06598,"SCF-47, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.7,22,ChIJ6T_6DC_tDzkRiX0lawIv99I,google_maps,2026-08-04T16:16:34
Codereborn,codereborn.com,090235 17423,"sco 144,145 4th floor, Sector 34B, Sector 34, Chandigarh, 160022, India",Mohali,5,34,ChIJJZhqlkLtDzkRLXlOA6ej_f4,google_maps,2026-08-04T16:16:34
Codesoftic Tech,codesoftic.com,099990 61692,"Office No 306, Tower-A, Bestech Business Tower, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160066, India",Mohali,5,35,ChIJKYD8K-ntDzkREedAeL_909E,google_maps,2026-08-04T16:16:34
CodingCafe,codingcafe.website,062394 10472,"F-316, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,5,91,ChIJFzhgp9WVDzkRUDBRguvPByI,google_maps,2026-08-04T16:16:34
Codmi Technologies,codmitechnologies.com,062067 39946,"Corporate Greens, E-299, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.3,15,ChIJQT5Vz_TvDzkRZfpYzOqm3U8,google_maps,2026-08-04T16:16:34
Codobux IT Services,codobux.com,0172 508 7346,"Plot No. A‐45 Quark Atrium, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.3,76,ChIJCWoOTYLvDzkRe27pSliGQ38,google_maps,2026-08-04T16:16:34
Cogniter Technologies,cogniter.com,0172 262 0353,"SCO-353-355, Second floor, Sector 34A, Sector 34, Chandigarh, 160022, India",Mohali,4,124,ChIJ9cpDbLLtDzkR9r4Fbl2SR4Y,google_maps,2026-08-04T16:16:34
Coli Spaces Co-ed Hostel in Mohali Sector 74/92,colispaces.com,,"Coli Spaces, Sector 74/92, opp. Acme Heights 92, near White City, Chapar Chiri Kalan, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.3,15,ChIJzeMNx5XvDzkRoFVNUGpylzI,google_maps,2026-08-04T16:16:34
Compac Technologies India Limited Mohali,compactech.co.in,0172 464 0332,"Plot No. 409, Industrial Area, Industrial Area Mohali Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.3,14,ChIJy_9JX5LsDzkRyRWbh1qqYuk,google_maps,2026-08-04T16:16:34
Competent Groove - Software Company in Mohali,competentgroove.com,090417 79797,"C157 Phase, 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.2,73,ChIJ-4p2olfuDzkR8DV5egHblJQ,google_maps,2026-08-04T16:16:34
Conjoinix Total Solutions,conjoinix.com,,"303, SCO 148-149, Sector 34B, Sector 34, Chandigarh, 160022, India",Mohali,4.5,17,ChIJ05dLrHLtDzkRcp72jdkp4HQ,google_maps,2026-08-04T16:16:34
Covalience India,covalience.io,0172 460 5940,"Sebiz Square 4th Floor C6 It Park, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.8,17,ChIJE6CjTq_uDzkRP6RWhYtJtGE,google_maps,2026-08-04T16:16:34
Creative Junkyard Web & Graphic Design,creativejunkyard.in,098880 24599,"3022, Near, Market, 35A, Sector 35, Chandigarh, 160022, India",Mohali,4.9,54,ChIJVx5znMntDzkRwYD0REX1H7s,google_maps,2026-08-04T16:16:34
