distress,engage_score,ops_fit,company,campaign_email,campaign_email_type,domain,employees,founded,age_years,city,state,sector,business_model,stage,website_status,revenue_usd,net_profit_usd,funding_usd,key_people,key_people_emails,company_emails,company_phones,key_people_profiles,linkedin,website,tracxn_url
0.0,100,82.2,FYERS,tejas@fyers.in,person (Tracxn),fyers.in,395,2015,11,Bengaluru,Karnataka,FinTech,Investment Tech > Online Trading Platforms > Stocks > Regular Trading > Brokers,Unfunded,200,37020787,6224007,,"Shreyas Khoday; Co-Founder & Director of Strategy; Co-Founder & Director of Strategy-FYERS
 Yashas Khoday; Co-Founder & CPO; Christ University Bangalore 2014
 Tejas Khoday; Co-Founder & CEO; tejas@fyers.in; Co-Founder FYERS Asset Management, BSE Brokers' Forum. JAIN College BBM 2010",tejas@fyers.in,sales-complaints@fyers.in,-8060001020,https://linkedin.com/in/tejaskhoday,https://linkedin.com/company/fyers-securities-pvt-ltd,https://fyers.in,https://platform.tracxn.com/companies/jaQ61Ad13d4WNUYDoklVQ4WXbXyOjhNTGULbju4eSU8/fyers.in
0.0,100,75.0,Electromech Infraprojects,varun.maniar@electromech-infra.com,person (Tracxn),electromech-infra.com,265,2013,13,Mumbai,Maharashtra,Industrial Goods and Manufacturing,"Facility Management Services > Hard Services > Diversified,
 Industrial Safety > Hardware > Machinery and Asset Safety >",Unfunded,200,48602173,3487520,,"Harshad Kapadia; Founder; MSU BE
 Varun Maniar; Managing Director; varun.maniar@electromech-infra.com; Ex-Schroders. Georgia Institute of Technology BS 2008",varun.maniar@electromech-infra.com,info@electromech-infra.com,-2225220899,"https://linkedin.com/in/harshad-kapadia-91896855,
 https://linkedin.com/in/varunmaniar",https://linkedin.com/company/electromech-infraprojects-pvt-ltd,https://electromech-infra.com,https://platform.tracxn.com/companies/2HqV_g9CP2gz4miFfNw4tAyqCl7hSXDFH9Lp1kkYnGo/electromech-infra.com
0.0,100,72.3,Andamen,satvika.suri@andamen.com,person (Tracxn),andamen.com,317,2016,10,Gurugram,Haryana,Consumer Goods,"Fashion Tech > B2C Commerce > Apparel > Luxury > Multi Category > Men > Internet First Brand,
 Apparel Brands > Luxury >",Unfunded,200,92568009,421020,,"Satvika Suri; Co-Founder; satvika.suri@andamen.com; Co-Founder-Andamen | Indian School of Business MBA 2009
 Siddharth Suri; Co-Founder & CEO; sid.suri@andamen.com; Co-Founder & CEO-Andamen | Ex-Impulse,EY | St. Stephen's College, Delhi BA 2006,The Wharton School MBA 2014","satvika.suri@andamen.com,
 sid.suri@andamen.com
 siddharth@andamen.com",contact@andamen.com,-9555263172,"https://linkedin.com/in/satvika-saboo-56a65538,
 https://linkedin.com/in/siddharth-suri-665b8365",https://linkedin.com/company/andamen,https://www.andamen.com/,https://platform.tracxn.com/companies/iKcMH9LTZXaDgs_BmhmYVN33eEhoyS9S-BlVOaidt7s/andamen.com
0.0,100,71.0,Wedtree,anand@wedtree.com,person (Tracxn),wedtree.com,276,2015,11,Chennai,Tamil Nadu,Consumer,Online Gifting > Ecommerce > Horizontal > Retailer,Unfunded,200,25161143,645063,,"Anand Krishnamoorthy; Co-Founder; anand@wedtree.com; Co-Founder & CEO-Prashanti Sarees,Wedtree | Ex-LeasePlan,CRISIL,Dun & Bradstreet,ICICI Bank | Anna University Chennai BE 2005",anand@wedtree.com,support@wedtree.com,-9962214909,https://www.linkedin.com/in/anand-krishnamoorthy-57a1a9a/,https://linkedin.com/company/wedtree,https://www.wedtree.com/,https://platform.tracxn.com/companies/HgxWYvs2MdrQoclH6ywbj_1mPqMQse_vb1iMG2VCHeQ/wedtree.com
0.0,100,70.1,OneXtel,arjun.puranik@onextel.com,person (Tracxn),onextel.com,240,2014,12,Noida,Uttar Pradesh,Enterprise Applications,Customer Success Management > CPaaS,Unfunded,200,75956346,3964351,,"Arjun Puranik; Director - Sales; arjun.puranik@onextel.com; Ex-Kaleyra, MintM Inc., Mobikon Asia Pte.. PES University MBA 2012, RLSc College, Belgaum BCA, Computers 2010
 Abrar Chunawala; CEO; abrar@onextel.com; CEO-OneXtel, Foudner & CEO-Onextel Technologies | Ex-Avaya India, Oracle, Symantec | Periyar University BCA 2014, MBA 2017, Tilak Maharashtra Vidyapeeth, Pune LLB 2022","arjun.puranik@onextel.com,
 abrar@onextel.com",enquiry@onextel.com,-9711750659,"https://www.linkedin.com/in/arjun-puranik-98635921/,
 https://linkedin.com/in/abrar-chunawala-05883a6",https://linkedin.com/company/onextelmedia,https://onextel.com,https://platform.tracxn.com/companies/stE5ADDd38wrZV9kNMf925X-kEvgni9ILeqXnOBX0ew/onextel.com
0.0,100,70.0,NeceSera,riddhi.jain@necesera.com,person (Tracxn),necesera.com,319,2017,9,Delhi,Delhi,Consumer Goods,"Fashion Tech > B2C Commerce > Apparel > Casual Wear > Multi Category > Women > Internet First Brand,
 Apparel Brands > C",Unfunded,200,11524648,2611695,,"Sudiksha Jain; Co-Founder| COO; Necesera, ex-Jm Financial, ex-Deloitte, University of Virginia, 2017
 Riddhi Jain; Co-Founder; riddhi.jain@necesera.com; Mangalam Ventures, ex-KPMG. Emory University Goizueta Business School BBA 2016",riddhi.jain@necesera.com,hello@necesera.com,-9810622195,"https://linkedin.com/in/sudiksha-jain-4579749a,
 https://linkedin.com/in/riddhi-jain-7b8780a3",https://linkedin.com/company/necesera,https://www.necesera.com/,https://platform.tracxn.com/companies/errlWZ3sKC4is-XOPjhR6nhjU9UJ62LDAGRGKiXtYrc/necesera.com
0.0,100,66.0,ZiMetrics,vikasv@zimetrics.com,person (Tracxn),zimetrics.com,351,2015,11,Pune,Maharashtra,Business Services,"Digital Transformation Services > Data Management,
 IT Services > Analytics > Horizontal",Unfunded,200,11411637,954728,,"Vikas Verma; Founder & CEO; vikasv@zimetrics.com; Ex-Cybage, Ruksun Software. Nagpur University BE 1998, BITS Pilani MS 2013",vikasv@zimetrics.com,biz@zimetrics.com,-8237788240,https://linkedin.com/in/veekvee,https://linkedin.com/company/zimetrics,https://zimetrics.com,https://platform.tracxn.com/companies/U4IvKBw87kEk6bUL2zdtHhG4B-GMCr5Kq2NPA8bUVsU/zimetrics.com
0.0,100,65.9,Meritto,suraj.sapra@meritto.com,person (Tracxn),meritto.com,275,2017,9,Gurugram,Haryana,Enterprise Applications,"Sales Force Automation > CRM > Enterprise Suite > Education,
 Pre-K EdTech > Pre K School IT > CRM for Pre K,
 K-12 EdTe",Unfunded,200,11337110,222623,,"Suraj Sapra; Co-Founder & CSO; suraj.sapra@meritto.com; Ex- Info Edge India, vCustomer. DAV Institute of Management Studies BCA, Indian Institute of Planning and Management PGDM
 Naveen Goyal; Founder & CEO; Meritto, ex-Careers360, ex-Vriti, The Technological Institute of Textile And Sciences, 2008",suraj.sapra@meritto.com,connect@meritto.com,-7303393119,"https://www.linkedin.com/in/suraj-sapra/,
 https://www.linkedin.com/in/naveengoyal/",https://linkedin.com/company/meritto,https://www.meritto.com/,https://platform.tracxn.com/companies/tGbbZbe0AovENcuHC7rMP69Gt7B3OA7Hktu-sW7rSio/meritto.com
0.0,100,62.4,Tumbledry Solutions,gaurav.teotia@tumbledry.in,person (Tracxn),tumbledry.in,291,2019,7,Noida,Uttar Pradesh,Consumer,Local Services > Laundry > Asset-heavy,Unfunded,200,11436727,226255,,"Tarun Arora; Co-Founder & Head – Franchise Network; Co-Founder-Tumbledry Solutions
 Gaurav Teotia; Co-Founder & Business Head; gaurav.teotia@tumbledry.in; Co-Founder duckduckbaby, ex-Lava International, Firestar Diamond Group, Airtel, DRDO. IIT Dhanbad BTech 2009, IIM Ahmedabad MBA 2013
 Navin Chawla; Co-Founder; navin.chawla@tumbledry.in; Ex-Airtel, Britannia, Reliance, LAVA
 Anuj Gupta; Co-Founder & Head – Brand and Digital; Tumbledry, ex-Lava International, ex-Infosys, Great Lakes Institute of Management, Chennai, 2015","gaurav.teotia@tumbledry.in,
 navin.chawla@tumbledry.in",hello@tumbledry.in,-7677250159,"https://linkedin.com/in/tarun-arora-bb72861a6,
 https://www.linkedin.com/in/reach-anuj-gupta-profile/",https://linkedin.com/company/tumbledry,https://tumbledry.in,https://platform.tracxn.com/companies/G0fZmG6o30_fPODQEVEs2aLs4KYSO2CaUZ9gaFbZN7Q/tumbledry.in
0.0,100,61.3,trulySafe,sumanyu@trulysafe.in,person (Tracxn),trulysafe.in,183,2013,13,Pune,Maharashtra,High Tech,"Security & Surveillance Technology > Surveillance > Video Surveillance > Integrated System,
 In Store Retail Tech > Stor",Unfunded,200,3342955,395197,,Sumanyu Vashistha; Founder & CEO; sumanyu@trulysafe.in; Founder ZYGAL.,sumanyu@trulysafe.in,info@trulysafe.in,-9168008406,http://linkedin.com/in/sumanyu-vashistha-b05113a,https://linkedin.com/company/trulysafe/about,https://trulysafe.in,https://platform.tracxn.com/companies/rO3DCi-2Oo8BDLtXOdPT-Y7mbtObB9UTyuK_yXNnuRA/trulysafe.in
