name,domain,sources,flag
Gokaraju Rangaraju Institute of Engineering and Technology,griet.ac.in,HYSEA,non-icp
GoodMind Care Foundation,goodmind.app,HYSEA,non-icp
ImpactGuru Foundation,impactgurufoundation.org,HYSEA,non-icp
ltimindtree,ltimindtree.com,HYSEA,giant
Marvelloux UI/UX/CX Design Studio,,GTECH,no-domain
Tata Elxsi,tataelxsi.com,GTECH,giant
Kernox Learning Systems Pvt. Ltd.,,GTECH,no-domain
Perfomatix Solutions Pvt. Ltd.,,GTECH,no-domain
Infenox Technologies India Private Limited,,GTECH,no-domain
EDUBEX LEARNING PRIVATE LIMITED,,GTECH,no-domain
Thoughtlinedigital,,GTECH,no-domain
INNOVATISE Technology Pvt Ltd,,GTECH,no-domain
Macrosoft IT Solution India Pvt Ltd,,GTECH,no-domain
Stabilix Solutions Pvt.Ltd.,,GTECH,no-domain
Doubt Box,,GTECH,no-domain
hsbc,hsbc.co.in,ITAAP,giant
360 ONE Distribution Services Limited,,DSCI,no-domain
63SATS Cybertech Limited,,DSCI,no-domain
Aditya Birla Financial Shared Services Limited,,DSCI,giant
Aditya Birla Management Corporation Pvt. Ltd.,,DSCI,giant
Aditya Infotech Limited,,DSCI,no-domain
Agratas Energy Storage Solutions Pvt Ltd,,DSCI,no-domain
Airtel Payments Bank,,DSCI,giant
AKR ENGG & PROJECTS,,DSCI,no-domain
Alterego Technology Limited,,DSCI,no-domain
