rank,prelim_score,name,domain,sources,sector,city,flag
1,12,Kireeti Soft Technologies Ltd.,kireetisoft.com,HYSEA+ITAAP,,,ok
2,10,Cerebra IT Services Private Limited,cerebra-consulting.com,HYSEA+ITAAP,,,ok
3,8,Assuretech Business Solutions Pvt. Ltd.,assuretech.in,GTECH,,,ok
4,8,Cloud Vertex Technologies India Private Limited,cloudvertex.in,HYSEA,,,ok
5,8,Digital Equity,digitalequity.in,HYSEA,,,ok
6,8,Eram Infotech Pvt Ltd,eraminfotech.in,GTECH,,,ok
7,8,IDEALABS FUTURETECH VENTURES,idealabsftv.in,HYSEA,,,ok
8,8,Netisoft Consultants Pvt. Ltd.,netisoft.in,HYSEA,,,ok
9,8,Orisys,orisys.in,GTECH,,,ok
10,8,PACT SOFTWARE SERVICES PRIVATE LIMITED,pactsoft.in,HYSEA,,,ok
11,8,Softland India Limited,softlandindia.co.in,GTECH,,,ok
12,8,Techmojo Solutions Pvt. Ltd.,techmojo.in,HYSEA,,,ok
13,8,acestech,acestech.in,ITAAP,,,ok
14,8,byteweb,byteweb.in,GESIA,,,ok
15,8,datamill,datamill.in,ITAAP,,,ok
16,8,datapro,datapro.in,ITAAP,,,ok
17,8,harmonyinfotech,harmonyinfotech.in,ITAAP,,,ok
18,8,morntechnologies,morntechnologies.in,ITAAP,,,ok
19,8,technosoftsolutions,technosoftsolutions.co.in,ITAAP,,,ok
20,8,vsoft,vsoft.co.in,ITAAP,,,ok
21,6,8FX,8fx.in,HYSEA,,,ok
22,6,ARTCAFE PRIVATE LIMITED,artcafe.in,HYSEA,,,ok
23,6,AV Zero Touch Pvt. Ltd,zerotouch.in,HYSEA,,,ok
24,6,Alfa electronic services India pvt ltd IMAGE NOT AVAILABLE,alfaelectronics.in,ITAAP,,,ok
25,6,Alokin Software Pvt. Ltd.,alokin.in,GTECH,,,ok
26,6,Aufait Technologies,aufait.in,GTECH,,,ok
27,6,Aurora Higher Education and Research Acdemy,aurora.edu.in,HYSEA,,,ok
28,6,EI Dupont Services Center India Pvt. Ltd.,dupont.co.in,HYSEA,,,ok
29,6,Ecomm India Cloud It,ecomm.in,HYSEA,,,ok
30,6,FOCUS IT TECH SYSTEMS PRIVATE LIMITED,focusit.in,HYSEA,,,ok
31,6,Finakon Technologies Pvt Ltd,finakon.in,HYSEA,,,ok
32,6,Futureblox Technologies Pvt Ltd,futureblox.in,GTECH,,,ok
33,6,Futuremug(REVELADO INNOVATIONS PVT. LTD),futuremug.co.in,GTECH,,,ok
34,6,GoodBits Tech Pvt Ltd,goodbits.in,GTECH,,,ok
35,6,HTCS Consultant,htcs.in,HYSEA,,,ok
36,6,IDENTIS TECH SOLUTIONS PVT LTD,identis.in,HYSEA,,,ok
37,6,IT4Yourbusiness Private Limited,it4yourbusiness.in,HYSEA,,,ok
38,6,InOps IT Solutions Pvt. Ltd,inops.in,HYSEA,,,ok
39,6,Infinite Open Source Solutions LLP,ioss.in,GTECH,,,ok
40,6,L&T Metro Rail (Hyderabad) Limited,ltmetro.in,HYSEA,,,ok
41,6,Learnpedia Edutech Pvt. Ltd.,learnpedia.in,HYSEA,,,ok
42,6,Lex Nimble Solutions Ltd.,lexnimble.in,HYSEA,,,ok
43,6,Minkan Agro Industries Private Limited,minkan.in,HYSEA,,,ok
44,6,NEOSTRATEGY CONSULTING LLP,neostrategy.in,HYSEA,,,ok
45,6,NSSK Corporate Advisors Pvt Ltd,nsskca.in,HYSEA,,,ok
46,6,Neovibe Innovative Technologies (P) Ltd,neovibe.in,GTECH,,,ok
47,6,Next Skills 360 EdTech Private Limited,nextskills360.in,HYSEA,,,ok
48,6,ORGANO ECO HABITATS PRIVATE LIMITED,organo.co.in,HYSEA,,,ok
49,6,PEAKIN LEARNING TECHNOLOGIES PVT LTD,peakin.in,HYSEA,,,ok
50,6,ProLedger Consulting LLP,proledger.in,HYSEA,,,ok
51,6,S Infinity Solutions,sinfinity.co.in,HYSEA,,,ok
52,6,SARIGA INITIATIVES,sariga.in,HYSEA,,,ok
53,6,SATRA Services and Solutions Private Limited,satragroup.in,HYSEA,,,ok
54,6,STEADFAST BUSINESS CONSULTING LLP,steadfastconsultants.in,HYSEA,,,ok
55,6,SimplyBiz Private Limited,simplybiz.in,HYSEA,,,ok
56,6,Syntrio Technologies,syntrio.in,GTECH,,,ok
57,6,TRIBHUJA TECHNOLOGIES PRIVATE LIMITED IMAGE NOT AVAILABLE,tribhuja.in,ITAAP,,,ok
58,6,Velosit Info Lab Pvt Ltd,velosit.in,GTECH,,,ok
59,6,Verity Knowledge Solutions,verity.co.in,HYSEA,,,ok
60,6,Visual IT Solutions Private Limited,visualit.in,HYSEA,,,ok
61,6,XRG Consulting Pvt Ltd,xrg.in,HYSEA,,,ok
62,6,Zaggle Prepaid Ocean Services Pvt. Ltd.,zaggle.in,HYSEA,,,ok
63,6,accuratepms,accuratepms.in,GESIA,,,ok
64,6,charusat,charusat.ac.in,GESIA,,,ok
65,6,drcomputer,drcomputer.in,ITAAP,,,ok
66,6,edgystyle,edgystyle.in,ITAAP,,,ok
67,6,elegantVie Consults and Designs,elegantvie.in,GTECH,,,ok
68,6,fedserv,fedserv.co.in,ITAAP,,,ok
69,6,guni,guni.ac.in,GESIA,,,ok
70,6,hkcindia,hkcindia.in,GESIA,,,ok
71,6,hrfirst,hrfirst.in,ITAAP,,,ok
72,6,i-tax,i-tax.in,GESIA,,,ok
73,6,incaplimited,incaplimited.in,ITAAP,,,ok
74,6,indigenius,indigenius.co.in,ITAAP,,,ok
75,6,inovantics,inovantics.in,ITAAP,,,ok
76,6,jguni,jguni.in,GESIA,,,ok
77,6,magnis,magnis.in,ITAAP,,,ok
78,6,microhard,microhard.in,GESIA,,,ok
79,6,mjomegasolution,mjomegasolution.in,GESIA,,,ok
80,6,myvi,myvi.in,GESIA,,,ok
81,6,nanomindz,nanomindz.in,ITAAP,,,ok
82,6,nuv,nuv.ac.in,GESIA,,,ok
83,6,paruluniversity,paruluniversity.ac.in,GESIA,,,ok
84,6,pbsiddhartha,pbsiddhartha.ac.in,ITAAP,,,ok
85,6,phytec,phytec.in,ITAAP,,,ok
86,6,pixelrun,pixelrun.in,ITAAP,,,ok
87,6,pixoplay,pixoplay.in,ITAAP,,,ok
88,6,sendsafe,sendsafe.in,ITAAP,,,ok
89,6,stio,stio.in,ITAAP,,,ok
90,6,synectic,synectic.in,ITAAP,,,ok
91,5,AEONX TECHNOLOGY SOLUTIONS PRIVATE LIMITED,aeonx.digital,HYSEA,,,ok
92,5,AMNET DIGITAL PRIVATE LIMITED,amnetdigital.com,HYSEA,,,ok
93,5,APPEN AI INDIA PRIVATE LIMITED,appen.com,HYSEA,,,ok
94,5,Abda Digital,abdadigital.com,HYSEA,,,ok
95,5,Acheron Software Consultancy Pvt. Ltd.,acheron-tech.com,HYSEA,,,ok
96,5,Alpine Techq Incorporated,alpinetechq.com,HYSEA,,,ok
97,5,Amyntor Tech Solutions Pvt Ltd,amyntortech.com,GTECH,,,ok
98,5,Ananth Technologies Ltd,ananthtech.com,HYSEA,,,ok
99,5,Android Porting and Customization,primesoft.net,HYSEA,,,ok
100,5,Applexus Technologies Pvt. Ltd.,applexus.com,GTECH,,,ok
101,5,Application Management Services,nttdata-solutions.com,HYSEA,,,ok
102,5,Azinova Technologies Pvt. Ltd.,azinovatechnologies.com,GTECH,,,ok
103,5,Bcdc cloud centers Pvt ltd,bharathcloud.com,HYSEA,,,ok
104,5,Bosch Global Software Technologies Private Ltd,bosch-softwaretechnologies.com,HYSEA,,,ok
105,5,CPZ TECH Private Limited,cpztech.com,HYSEA,,,ok
106,5,Callaway Digital Technologies Pvt Ltd,callawaydigitech.com,HYSEA,,,ok
107,5,Canza Technology Consultants,canzatech.com,GTECH,,,ok
108,5,Cesta Technologies Pvt Ltd,cestasoft.co.za,HYSEA,,,ok
109,5,Cloud4C Services Pvt. Ltd.,cloud4c.com,HYSEA,,,ok
110,5,Codegnan IT solutions,codegnan.com,HYSEA,,,ok
111,5,Convey Tech Labs India Private Limited,conveytechlabs.com,HYSEA,,,ok
112,5,Cybercommand Private Limited,cybercommand.tech,HYSEA,,,ok
113,5,Cybrosys Techno Solutions Pvt. Ltd.,cybrosys.com,GTECH,,,ok
114,5,DST Worldwide Services India Pvt. Ltd.,dstsystems.com,HYSEA,,,ok
115,5,Daiviksoft Technologies Private Limited.,daiviksoft.com,GTECH,,,ok
116,5,Dinero Tech Labs Pvt Ltd,dinerotechlabs.com,GTECH,,,ok
117,5,ECESIS BPO SERVICES PVT LTD,ecesistech.com,GTECH,,,ok
118,5,Edify Datascience Pvt Ltd,edifydata.com,GTECH,,,ok
119,5,Energytech Global Pvt. Ltd.,energytech-global.com,HYSEA,,,ok
120,5,Enfin Technologies India Pvt. Ltd.,enfintechnologies.com,GTECH,,,ok
121,5,Faith Infotech India Pvt. Ltd.,faithinfotechcorp.com,GTECH,,,ok
122,5,Fin Infocom Pvt. Ltd.,fininfocom.com,HYSEA,,,ok
123,5,Future Tech Information Systems Pvt. Ltd.,futuretechinfo.com,HYSEA,,,ok
124,5,GEMINI Software Solutions Pvt. Ltd.,geminisoftware.com,GTECH,,,ok
125,5,HYBCLOUD TECHNOLOGIES (CLOUD CONTROL),ecloudcontrol.com,GTECH,,,ok
126,5,Helius Computech India Private Limited,helius-tech.com,HYSEA,,,ok
127,5,Husys Consulting Limited,husys.com,HYSEA,,,ok
128,5,INFOPEOPLE GLOBAL,infopeoplecorp.com,HYSEA,,,ok
129,5,IPIX Tech Services Pvt Ltd,ipixtechnologies.com,GTECH,,,ok
130,5,Infopeers Solutions Private Limited,infopeers.com,HYSEA,,,ok
131,5,Infor (India) Private Limited,infor.com,HYSEA,,,ok
132,5,Informatica Business Solutions Pvt. Ltd.,informatica.com,HYSEA,,,ok
133,5,Informatics India,informaticsindia.com,HYSEA,,,ok
134,5,Infospica Consultancy Services LLP,infospica.com,GTECH,,,ok
135,5,Infoview Systems Incorporated,infoviewsystems.com,HYSEA,,,ok
136,5,Jiva Internet Solutions Pvt. Ltd.,jivainfotech.com,HYSEA,,,ok
137,5,Loginsoft Pvt. Ltd.,loginsoft.com,HYSEA,,,ok
138,5,M2H Infotech LLP,m2hinfotech.com,GTECH,,,ok
139,5,MERGESOFT TECHNOLOGIES PVT LTD IMAGE NOT AVAILABLE,merzesoft.com,ITAAP,,,ok
140,5,Magnicode Solutions Pvt. Ltd.,magnificentcode.com,GTECH,,,ok
141,5,Magpii Innovations Private Limited,magpiitech.com,GTECH,,,ok
142,5,Maq Softawre,maqsoftware.com,HYSEA,,,ok
143,5,Mastech Digital Private Limited,mastechdigital.com,HYSEA,,,ok
144,5,Metasoft Solutions,metasoftsolutions.com,HYSEA,,,ok
145,5,Millennium Infologic,millinfo.net,GTECH,,,ok
146,5,Motivity Labs Private Limited,motivitylabs.com,HYSEA,,,ok
147,5,N LABS AI PRIVATE LIMITED,n-labs.ai,HYSEA,,,ok
148,5,NIIT Incessant Technologies,incessanttechnologies.com,HYSEA,,,ok
149,5,NIMAISOFT SYSTEMS PVT LTD,nimaisoft.com,ITAAP,,,ok
150,5,NTT Data Global Delivery Services Pvt. Ltd.,us.nttdata.com,HYSEA,,,ok
151,5,NilaSoft Pvt Ltd,nila-soft.com,GTECH,,,ok
152,5,Noon Technologies,noontechnologies.com,GTECH,,,ok
153,5,OSI Digital,osidigital.com,HYSEA,,,ok
154,5,PMR Softtech Pvt Ltd Innovative Information Technologies,innovativeinfotech.com,HYSEA,,,ok
155,5,Parnandi Technology Solutions Pvt. Ltd.,parnanditech.com,HYSEA,,,ok
156,5,Plural Technology Private Limited,pluraltechnology.com,HYSEA,,,ok
157,5,Polus Software Pvt. Ltd.,polussoftware.com,GTECH,,,ok
158,5,QMIS SYSTEMS PRIVATE LIMITED,qmissystems.com,GTECH,,,ok
159,5,REQOLENT QUALITY LABS PVT LTD,qualitlabs.com,HYSEA,,,ok
160,5,RamInfo Limited,raminfo.com,HYSEA,,,ok
161,5,RanchHill Software Solutions,navasoftware.com,HYSEA,,,ok
162,5,Revalsys Technologies India Private Limited,revalsys.com,HYSEA,,,ok
163,5,S2Tech.Com India Pvt. Ltd.,s2tech.com,HYSEA,,,ok
164,5,SBase Technologies,sbasetech.net,HYSEA,,,ok
165,5,SCIENTIFIC VISION PRIVATE LIMITED,svsoftware.org,GTECH,,,ok
166,5,Saven Nova Technologies Pvt Ltd,saventech.com,HYSEA,,,ok
167,5,Selectsys India Pvt. Ltd.,selectsysindia.com,HYSEA,,,ok
168,5,Silicon Labs,silabs.com,HYSEA,,,ok
169,5,Skysmile Technologies Private Limited,skysmiletechnologies.com,GTECH,,,ok
170,5,Smart Data Factory,smart-data-factory.de,GTECH,,,ok
171,5,TECHGENE SOLUTIONS PVT LTD,techgene.com,HYSEA,,,ok
172,5,TECHMAVEN IT SOLUTIONS PRIVATE LIMITED,techmavenit.com,GTECH,,,ok
173,5,TGH Software Solutions Private Limited,techygeekhub.com,HYSEA,,,ok
174,5,THOUGHTLINE DIGITAL PRIVATE LIMITED,thoughtlinedigital.com,GTECH,,,ok
175,5,TOSIL Systems Private Limited,tosil-systems.com,GTECH,,,ok
176,5,TRACERT SERVICES PRIVATE LIMITED,tracert.digital,HYSEA,,,ok
177,5,TTEC Digital Innovation Studio,ttecdigital.com,HYSEA,,,ok
178,5,Technaureus Info Solutions Private Limited,technaureus.com,GTECH,,,ok
179,5,Technocuz Software Solutions Pvt. Ltd.,technocuz.com,GTECH,,,ok
180,5,Techstas Info Solutions,techstas.com,GTECH,,,ok
181,5,Techversant Infotech Pvt. Ltd.,techversantinfotech.com,GTECH,,,ok
182,5,Tetrasoft India Pvt Ltd,tetrasoft.us,HYSEA,,,ok
183,5,ThoughtLine Technologies Pvt. Ltd.,thoughtlinetech.com,GTECH,,,ok
184,5,Tilt Labs,tiltlabs.io,GTECH,,,ok
185,5,Tripod Software Solutions Pvt Ltd,tripodtech.net,HYSEA,,,ok
186,5,VENDEEP TECHNOIDENTITY SOLUTIONS PRIVATE LIMIT,technoidentity.com,HYSEA,,,ok
187,5,Vasavi Prosoft Transcription Ltd.,vasaviprosoft.com,HYSEA,,,ok
188,5,Wings Infonet Private Limited,wingsinfo.net,HYSEA,,,ok
189,5,Zestybeanz Technologies,zbeanztech.com,GTECH,,,ok
190,5,amaravathisoftware,amaravathisoftware.com,ITAAP,,,ok
191,5,appsdreamz,appsdreamz.com,ITAAP,,,ok
192,5,appsrow,appsrow.com,GESIA,,,ok
193,5,augmentedtechlabs,augmentedtechlabs.com,GESIA,,,ok
194,5,bluebytetechnologies,bluebytetechnologies.com,ITAAP,,,ok
195,5,bposystems,bposystems.com,ITAAP,,,ok
196,5,camsysind,camsysind.com,ITAAP,,,ok
197,5,chatrtech,chatrtech.com,ITAAP,,,ok
198,5,cizotech,cizotech.com,GESIA,,,ok
199,5,cloudmaaya,cloudmaaya.com,ITAAP,,,ok
200,5,clovetech,clovetech.com,ITAAP,,,ok
201,5,corporate website design,presentation.revalsys.com,HYSEA,,,ok
202,5,cygnetinfotech,cygnetinfotech.com,GESIA,,,ok
203,5,datasoftcomnet,datasoftcomnet.com,ITAAP,,,ok
204,5,deltainfosoft,deltainfosoft.com,GESIA,,,ok
