[rdap] 672 in lane, 0 done, 672 to go, 5 workers
[rdap] batch 1/27 — 25 done, 64/min, ~10 min left
[rdap] batch 2/27 — 50 done, 66/min, ~9 min left
[rdap] batch 3/27 — 75 done, 67/min, ~9 min left
[rdap] batch 4/27 — 100 done, 66/min, ~9 min left
[rdap] batch 5/27 — 125 done, 71/min, ~8 min left
[rdap] batch 6/27 — 150 done, 69/min, ~8 min left
[rdap] batch 7/27 — 175 done, 69/min, ~7 min left
[rdap] batch 8/27 — 200 done, 68/min, ~7 min left
[rdap] batch 9/27 — 225 done, 70/min, ~6 min left
[rdap] batch 10/27 — 250 done, 69/min, ~6 min left
[rdap] batch 11/27 — 275 done, 68/min, ~6 min left
[rdap] batch 12/27 — 300 done, 70/min, ~5 min left
[rdap] batch 13/27 — 325 done, 69/min, ~5 min left
[rdap] batch 14/27 — 350 done, 69/min, ~5 min left
[rdap] batch 15/27 — 375 done, 68/min, ~4 min left
[rdap] batch 16/27 — 400 done, 70/min, ~4 min left
[rdap] batch 17/27 — 425 done, 68/min, ~4 min left
[rdap] batch 18/27 — 450 done, 69/min, ~3 min left
[rdap] batch 19/27 — 475 done, 69/min, ~3 min left
[rdap] batch 20/27 — 500 done, 68/min, ~3 min left
[rdap] batch 21/27 — 525 done, 68/min, ~2 min left
[rdap] batch 22/27 — 550 done, 68/min, ~2 min left
[rdap] batch 23/27 — 575 done, 69/min, ~1 min left
[rdap] batch 24/27 — 600 done, 68/min, ~1 min left
[rdap] batch 25/27 — 625 done, 68/min, ~1 min left
[rdap] batch 26/27 — 650 done, 68/min, ~0 min left
[rdap] COMPLETE — 672 processed in 10.0 min
