[wayback] 672 in lane, 0 done, 672 to go, 1 workers
[wayback] batch 1/27 — 25 done, 2/min, ~278 min left
[wayback] batch 2/27 — 50 done, 1/min, ~995 min left
[wayback] batch 3/27 — 75 done, 1/min, ~723 min left
[wayback] batch 4/27 — 100 done, 1/min, ~581 min left
[wayback] batch 5/27 — 125 done, 1/min, ~492 min left
[wayback] batch 6/27 — 150 done, 1/min, ~429 min left
[wayback] batch 7/27 — 175 done, 1/min, ~381 min left
[wayback] batch 8/27 — 200 done, 1/min, ~342 min left
[wayback] batch 9/27 — 225 done, 1/min, ~309 min left
[wayback] batch 10/27 — 250 done, 1/min, ~282 min left
[wayback] batch 11/27 — 275 done, 2/min, ~257 min left
[wayback] batch 12/27 — 300 done, 2/min, ~238 min left
[wayback] batch 13/27 — 325 done, 2/min, ~217 min left
[wayback] batch 14/27 — 350 done, 2/min, ~196 min left
[wayback] batch 15/27 — 375 done, 2/min, ~178 min left
[wayback] batch 16/27 — 400 done, 2/min, ~153 min left
[wayback] batch 17/27 — 425 done, 2/min, ~135 min left
[wayback] batch 18/27 — 450 done, 2/min, ~120 min left
[wayback] batch 19/27 — 475 done, 2/min, ~106 min left
[wayback] batch 20/27 — 500 done, 2/min, ~90 min left
[wayback] batch 21/27 — 525 done, 2/min, ~75 min left
[wayback] batch 22/27 — 550 done, 2/min, ~62 min left
[wayback] batch 23/27 — 575 done, 2/min, ~49 min left
[wayback] batch 24/27 — 600 done, 2/min, ~35 min left
[wayback] batch 25/27 — 625 done, 2/min, ~23 min left
[wayback] batch 26/27 — 650 done, 2/min, ~10 min left
[wayback] COMPLETE — 672 processed in 307.4 min
