rank,score,name,domain,source,pre2024_grade,corroborators,owned_ip,dev_wording,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,years_active,extraction_verified,final_url,ownip_quote,city
1,75,oneclickitsolution,oneclickitsolution.com,ASSOC:GESIA,PROVEN_EQUIV,wayback,True,True,19271,1,0,1,0,False,https://www.oneclickitsolution.com/,e Automation techniques to ensure quality of our products and services are of best quality,
2,75,venusgeo,venusgeo.com,ASSOC:ITAAP,PROVEN_EQUIV,copyright+wayback,True,True,7900,1,0,1,0,False,https://www.venusgeo.com/,gility to: ADAPT | Rapid acquisition of your proprietary platform knowledge INNOVATE | Run,
3,70,TRIVAND TECHNOLOGIES PRIVATE LIMITED,trivand.com,ASSOC:GTECH,PROVEN_EQUIV,copyright+wayback,True,True,59970,8,0,0,0,False,https://trivand.com,built a team of specialists that will take your product idea to the next level. A vertical,
4,60,krify,krify.co,ASSOC:ITAAP,PROVEN_EQUIV,wayback,True,True,55156,0,0,0,0,True,https://krify.co,nfra Case Study JP Constructions Avisdevente Our Products Feedback App Pharisee App Dental,
5,60,princetonits,princetonits.com,ASSOC:ITAAP,PROVEN_EQUIV,wayback,True,True,38568,0,0,0,0,True,https://princetonits.com,e Marketplace and Microsoft AppSource) puts your SaaS application in front of enterprise..,
6,55,VENDEEP TECHNOIDENTITY SOLUTIONS PRIVATE LIMIT,technoidentity.com,ASSOC:HYSEA,NONE,-,True,True,68725,8,0,1,0,False,https://www.technoidentity.com/,dentity is an essential partner in iterating our products with high cadence and quality. T,
7,55,TransGraph Consulting Private Limited,transgraph.com,ASSOC:HYSEA,SOURCE_ONLY,copyright,True,False,68725,8,0,1,0,False,https://www.transgraph.com/,"cisions. R Unique Research Methodology – Our proprietary framework, “Mapping the Market Th",
8,55,Travancore Analytics Pvt. Ltd.,travancoreanalytics.com,ASSOC:GTECH,PROVEN_EQUIV,wayback,True,True,14778,0,0,0,0,True,https://www.travancoreanalytics.com/,ered to meet evolving business needs Explore Our Products DataLens The Best Data Intellige,
9,55,kiwiqa,kiwiqa.com,ASSOC:GESIA,PROVEN_EQUIV,wayback,True,True,12975,0,0,0,0,True,https://www.kiwiqa.com/,e Script 500 K+ Mobile Devices Certified Our proprietary Framework KiwiQA execute and mana,
10,55,triforce-inc,triforce-inc.com,ASSOC:GESIA,PROVEN_EQUIV,wayback,True,True,11306,0,0,0,0,True,https://triforce-inc.com,uild and growth plans. Learn More → Products Our Saas Products Tri-Force offers Variety of,
