source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
ASSOC:GTECH,Futureblox Technologies Pvt Ltd,,https://futureblox.in,futureblox.in,,,,,True,False,False,redirects to https://futureblox.com/
ASSOC:GESIA,guni,,https://guni.ac.in,guni.ac.in,,,,,True,False,False,redirects to https://www.ganpatuniversity.ac.in/
ASSOC:ITAAP,incaplimited,,https://incaplimited.in,incaplimited.in,,,,,True,False,False,redirects to https://incaplimited.com/
ASSOC:ITAAP,pixoplay,,https://pixoplay.in,pixoplay.in,,,,,True,False,False,redirects to https://pgslot.li/
ASSOC:HYSEA,DST Worldwide Services India Pvt. Ltd.,,https://dstsystems.com,dstsystems.com,,,,,True,False,False,redirects to https://www.ssctech.com/
ASSOC:GTECH,Faith Infotech India Pvt. Ltd.,,https://faithinfotechcorp.com,faithinfotechcorp.com,,,,,True,False,False,redirects to https://faithinfotechacademy.com/
ASSOC:GTECH,Cinch Business Solutions Pvt. Ltd.,,https://gogch.com,gogch.com,,,,,True,False,False,redirects to https://www.kimmerskennel.com/
ASSOC:GTECH,Fly txt,,https://flytxt.com,flytxt.com,,,,,True,False,False,redirects to https://flytxt.ai/
ASSOC:HYSEA,Insideview Technologies India Pvt. Ltd.,,https://insideview.com,insideview.com,,,,,True,False,False,redirects to https://www.demandbase.com/
ASSOC:GTECH,MINDCURV TECHNOLOGY SOLUTIONS PRIVATE LIMITED,,https://mindcurv.com,mindcurv.com,,,,,True,False,False,redirects to https://www.accenture.com/us-en/services/sales-commerce/comm
ASSOC:HYSEA,Millennium Technosoft Ltd.,,https://mtslindia.com,mtslindia.com,,,,,True,False,False,redirects to http://millenniumtechnosoft.com/
ASSOC:HYSEA,OwnBackup India Private Limited,,https://ownbackup.com,ownbackup.com,,,,,True,False,False,redirects to https://www.owndata.com/
ASSOC:GTECH,Quadance Technologies,,https://quadance.com,quadance.com,,,,,True,False,False,redirects to https://quadance.ai/
ASSOC:ITAAP,mastersteck,,https://mastersteck.com,mastersteck.com,,,,,True,False,False,redirects to https://www.picnicsg.com/
ASSOC:ITAAP,patraindia,,https://patraindia.com,patraindia.com,,,,,True,False,False,redirects to https://www.patracorp.com/
ASSOC:ITAAP,pronixinc,,https://pronixinc.com,pronixinc.com,,,,,True,False,False,redirects to https://pronix.ai/
ASSOC:ITAAP,yalamanchili,,https://yalamanchili.com.sg,yalamanchili.com.sg,,,,,True,False,False,redirects to https://www.ysppayments.com/
ASSOC:ITAAP,zebi,,https://zebi.io,zebi.io,,,,,True,False,False,redirects to https://amp.leodingilla.shop/
