source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
ASSOC:HYSEA,Cloud Vertex Technologies India Private Limited,,https://cloudvertex.in,cloudvertex.in,,,,,True,False,False,home:http404
ASSOC:GTECH,Eram Infotech Pvt Ltd,,https://eraminfotech.in,eraminfotech.in,,,,,True,False,False,home:timeout
ASSOC:HYSEA,Techmojo Solutions Pvt. Ltd.,,https://techmojo.in,techmojo.in,,,,,True,False,False,home:http403
ASSOC:ITAAP,harmonyinfotech,,https://harmonyinfotech.in,harmonyinfotech.in,,,,,True,False,False,home:http500
ASSOC:ITAAP,morntechnologies,,https://morntechnologies.in,morntechnologies.in,,,,,True,False,False,home:URLError
ASSOC:HYSEA,Aurora Higher Education and Research Acdemy,,https://aurora.edu.in,aurora.edu.in,,,,,True,False,False,home:URLError
ASSOC:HYSEA,HTCS Consultant,,https://htcs.in,htcs.in,,,,,True,False,False,home:http403
ASSOC:HYSEA,InOps IT Solutions Pvt. Ltd,,https://inops.in,inops.in,,,,,True,False,False,home:http308
ASSOC:HYSEA,S Infinity Solutions,,https://sinfinity.co.in,sinfinity.co.in,,,,,True,False,False,home:URLError
ASSOC:GTECH,Velosit Info Lab Pvt Ltd,,https://velosit.in,velosit.in,,,,,True,False,False,home:URLError
ASSOC:GESIA,charusat,,https://charusat.ac.in,charusat.ac.in,,,,,True,False,False,home:http308
ASSOC:ITAAP,edgystyle,,https://edgystyle.in,edgystyle.in,,,,,True,False,False,home:URLError
ASSOC:ITAAP,inovantics,,https://inovantics.in,inovantics.in,,,,,True,False,False,home:URLError
ASSOC:GESIA,mjomegasolution,,https://mjomegasolution.in,mjomegasolution.in,,,,,True,False,False,home:URLError
ASSOC:ITAAP,pixelrun,,https://pixelrun.in,pixelrun.in,,,,,True,False,False,home:http403
ASSOC:ITAAP,sendsafe,,https://sendsafe.in,sendsafe.in,,,,,True,False,False,home:URLError
ASSOC:ITAAP,synectic,,https://synectic.in,synectic.in,,,,,True,False,False,home:URLError
ASSOC:HYSEA,Abda Digital,,https://abdadigital.com,abdadigital.com,,,,,True,False,False,home:http503
ASSOC:HYSEA,Alpine Techq Incorporated,,https://alpinetechq.com,alpinetechq.com,,,,,True,False,False,home:http500
