source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
ASSOC:HYSEA+ITAAP,Cerebra IT Services Private Limited,,https://cerebra-consulting.com,cerebra-consulting.com,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:ITAAP,acestech,,https://acestech.in,acestech.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:GESIA,byteweb,,https://byteweb.in,byteweb.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:HYSEA,8FX,,https://8fx.in,8fx.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:ITAAP,Alfa electronic services India pvt ltd IMAGE NOT AVAILABLE,,https://alfaelectronics.in,alfaelectronics.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:HYSEA,Ecomm India Cloud It,,https://ecomm.in,ecomm.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:GTECH,GoodBits Tech Pvt Ltd,,https://goodbits.in,goodbits.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:HYSEA,L&T Metro Rail (Hyderabad) Limited,,https://ltmetro.in,ltmetro.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:HYSEA,Minkan Agro Industries Private Limited,,https://minkan.in,minkan.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:HYSEA,NEOSTRATEGY CONSULTING LLP,,https://neostrategy.in,neostrategy.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:HYSEA,Next Skills 360 EdTech Private Limited,,https://nextskills360.in,nextskills360.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:HYSEA,SARIGA INITIATIVES,,https://sariga.in,sariga.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:HYSEA,Verity Knowledge Solutions,,https://verity.co.in,verity.co.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:ITAAP,drcomputer,,https://drcomputer.in,drcomputer.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ASSOC:GTECH,elegantVie Consults and Designs,,https://elegantvie.in,elegantvie.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:GESIA,hkcindia,,https://hkcindia.in,hkcindia.in,,,,,True,False,False,"grade=NONE, jd=0"
ASSOC:GESIA,jguni,,https://jguni.in,jguni.in,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
