source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
ASSOC:HYSEA+ITAAP,Kireeti Soft Technologies Ltd.,,https://kireetisoft.com,kireetisoft.com,,,,,True,False,False
ASSOC:HYSEA+ITAAP,Cerebra IT Services Private Limited,,https://cerebra-consulting.com,cerebra-consulting.com,,,,,True,False,False
ASSOC:GTECH,Assuretech Business Solutions Pvt. Ltd.,,https://assuretech.in,assuretech.in,,,,,True,False,False
ASSOC:HYSEA,Cloud Vertex Technologies India Private Limited,,https://cloudvertex.in,cloudvertex.in,,,,,True,False,False
ASSOC:HYSEA,Digital Equity,,https://digitalequity.in,digitalequity.in,,,,,True,False,False
ASSOC:GTECH,Eram Infotech Pvt Ltd,,https://eraminfotech.in,eraminfotech.in,,,,,True,False,False
ASSOC:HYSEA,IDEALABS FUTURETECH VENTURES,,https://idealabsftv.in,idealabsftv.in,,,,,True,False,False
ASSOC:HYSEA,Netisoft Consultants Pvt. Ltd.,,https://netisoft.in,netisoft.in,,,,,True,False,False
ASSOC:GTECH,Orisys,,https://orisys.in,orisys.in,,,,,True,False,False
ASSOC:HYSEA,PACT SOFTWARE SERVICES PRIVATE LIMITED,,https://pactsoft.in,pactsoft.in,,,,,True,False,False
ASSOC:GTECH,Softland India Limited,,https://softlandindia.co.in,softlandindia.co.in,,,,,True,False,False
ASSOC:HYSEA,Techmojo Solutions Pvt. Ltd.,,https://techmojo.in,techmojo.in,,,,,True,False,False
ASSOC:ITAAP,acestech,,https://acestech.in,acestech.in,,,,,True,False,False
ASSOC:GESIA,byteweb,,https://byteweb.in,byteweb.in,,,,,True,False,False
ASSOC:ITAAP,datamill,,https://datamill.in,datamill.in,,,,,True,False,False
ASSOC:ITAAP,datapro,,https://datapro.in,datapro.in,,,,,True,False,False
ASSOC:ITAAP,harmonyinfotech,,https://harmonyinfotech.in,harmonyinfotech.in,,,,,True,False,False
ASSOC:ITAAP,morntechnologies,,https://morntechnologies.in,morntechnologies.in,,,,,True,False,False
ASSOC:ITAAP,technosoftsolutions,,https://technosoftsolutions.co.in,technosoftsolutions.co.in,,,,,True,False,False
ASSOC:ITAAP,vsoft,,https://vsoft.co.in,vsoft.co.in,,,,,True,False,False
ASSOC:HYSEA,8FX,,https://8fx.in,8fx.in,,,,,True,False,False
ASSOC:HYSEA,ARTCAFE PRIVATE LIMITED,,https://artcafe.in,artcafe.in,,,,,True,False,False
ASSOC:HYSEA,AV Zero Touch Pvt. Ltd,,https://zerotouch.in,zerotouch.in,,,,,True,False,False
ASSOC:ITAAP,Alfa electronic services India pvt ltd IMAGE NOT AVAILABLE,,https://alfaelectronics.in,alfaelectronics.in,,,,,True,False,False
ASSOC:GTECH,Alokin Software Pvt. Ltd.,,https://alokin.in,alokin.in,,,,,True,False,False
ASSOC:GTECH,Aufait Technologies,,https://aufait.in,aufait.in,,,,,True,False,False
ASSOC:HYSEA,Aurora Higher Education and Research Acdemy,,https://aurora.edu.in,aurora.edu.in,,,,,True,False,False
ASSOC:HYSEA,EI Dupont Services Center India Pvt. Ltd.,,https://dupont.co.in,dupont.co.in,,,,,True,False,False
ASSOC:HYSEA,Ecomm India Cloud It,,https://ecomm.in,ecomm.in,,,,,True,False,False
ASSOC:HYSEA,FOCUS IT TECH SYSTEMS PRIVATE LIMITED,,https://focusit.in,focusit.in,,,,,True,False,False
ASSOC:HYSEA,Finakon Technologies Pvt Ltd,,https://finakon.in,finakon.in,,,,,True,False,False
ASSOC:GTECH,Futureblox Technologies Pvt Ltd,,https://futureblox.in,futureblox.in,,,,,True,False,False
ASSOC:GTECH,Futuremug(REVELADO INNOVATIONS PVT. LTD),,https://futuremug.co.in,futuremug.co.in,,,,,True,False,False
ASSOC:GTECH,GoodBits Tech Pvt Ltd,,https://goodbits.in,goodbits.in,,,,,True,False,False
ASSOC:HYSEA,HTCS Consultant,,https://htcs.in,htcs.in,,,,,True,False,False
ASSOC:HYSEA,IDENTIS TECH SOLUTIONS PVT LTD,,https://identis.in,identis.in,,,,,True,False,False
ASSOC:HYSEA,IT4Yourbusiness Private Limited,,https://it4yourbusiness.in,it4yourbusiness.in,,,,,True,False,False
ASSOC:HYSEA,InOps IT Solutions Pvt. Ltd,,https://inops.in,inops.in,,,,,True,False,False
ASSOC:GTECH,Infinite Open Source Solutions LLP,,https://ioss.in,ioss.in,,,,,True,False,False
ASSOC:HYSEA,L&T Metro Rail (Hyderabad) Limited,,https://ltmetro.in,ltmetro.in,,,,,True,False,False
ASSOC:HYSEA,Learnpedia Edutech Pvt. Ltd.,,https://learnpedia.in,learnpedia.in,,,,,True,False,False
ASSOC:HYSEA,Lex Nimble Solutions Ltd.,,https://lexnimble.in,lexnimble.in,,,,,True,False,False
ASSOC:HYSEA,Minkan Agro Industries Private Limited,,https://minkan.in,minkan.in,,,,,True,False,False
ASSOC:HYSEA,NEOSTRATEGY CONSULTING LLP,,https://neostrategy.in,neostrategy.in,,,,,True,False,False
ASSOC:HYSEA,NSSK Corporate Advisors Pvt Ltd,,https://nsskca.in,nsskca.in,,,,,True,False,False
