deal_id,dealname,pipeline,pipeline_label,dealstage,stage_label,stage_order,stage_probability,is_closed_won,is_dead,owner_id,owner_name,lead_source,loc,pr_count,loc_per_pr,tier1_ratio_ok,num_repos,num_projects,amount,createdate_ist,create_day,create_week,closedate_ist,close_day,close_week,days_to_close_calc,n_stage_moves,n_human_moves,max_stage_order_reached,max_stage_label_reached,first_human_move_day,last_move_day,n_notes,n_tasks,n_contacts,n_companies,ai_lifecycle_stage,amount_in_home_currency,calendly_link_sent,call_attempt_count,call_notes,call_outcome,callback_datetime,closed_lost_reason,closed_won_reason,cost,data_delivery_timeline,dataset_customization_required,days_to_close,deal_currency_code,deal_value_range,dealtype,description,distress_flags,distress_reasons,distress_score,distress_tier,email_version_sent,engagements_last_meeting_booked,engagements_last_meeting_booked_campaign,engagements_last_meeting_booked_medium,engagements_last_meeting_booked_source,flag_deadpooled,flag_funding_aging,flag_funding_stale,flag_layoff_or_shutdown,flag_negative_profit,flag_no_revenue,flag_tiny_headcount,flag_website_dead,followup_date,funding_status,gmeet1_date,gmeet1_link,gmeet1_outcome,hs_actual_duration,hs_acv,hs_all_accessible_team_ids,hs_all_assigned_business_unit_ids,hs_all_collaborator_owner_ids,hs_all_deal_split_owner_ids,hs_all_owner_ids,hs_all_team_ids,hs_analytics_latest_source,hs_analytics_latest_source_company,hs_analytics_latest_source_contact,hs_analytics_latest_source_data_1,hs_analytics_latest_source_data_1_company,hs_analytics_latest_source_data_1_contact,hs_analytics_latest_source_data_2,hs_analytics_latest_source_data_2_company,hs_analytics_latest_source_data_2_contact,hs_analytics_latest_source_timestamp,hs_analytics_latest_source_timestamp_company,hs_analytics_latest_source_timestamp_contact,hs_analytics_source,hs_analytics_source_data_1,hs_analytics_source_data_2,hs_arr,hs_associated_deal_registration_deal_type,hs_associated_deal_registration_product_interests,hs_attributed_team_ids,hs_average_call_duration,hs_average_deal_owner_duration_in_current_stage,hs_campaign,hs_closed_amount,hs_closed_amount_in_home_currency,hs_closed_deal_close_date,hs_closed_deal_create_date,hs_closed_won_count,hs_closed_won_date,hs_created_by_user_id,hs_createdate,hs_cross_account_note,hs_cross_sell_opportunity,hs_days_to_close_raw,hs_deal_amount_calculation_preference,hs_deal_registration_mrr,hs_deal_registration_mrr_currency_code,hs_deal_score,hs_deal_stage_probability,hs_deal_stage_probability_shadow,hs_exchange_rate,hs_forecast_amount,hs_forecast_probability,hs_form_id,hs_has_empty_conditional_stage_properties,hs_has_last_conversation_follow_ups,hs_has_last_meeting_followups,hs_is_active_shared_deal,hs_is_closed,hs_is_closed_count,hs_is_closed_lost,hs_is_closed_won,hs_is_deal_split,hs_is_in_first_deal_stage,hs_is_open_count,hs_is_stalled,hs_is_stalled_after_timestamp,hs_last_call_id_with_followups,hs_last_conversation_with_followups_object_coordinates,hs_last_email_with_followups_object_coordinates,hs_last_gs_shared_message,hs_last_meeting_id_with_followups,hs_last_partner_shared_message_date,hs_last_shared_message_create_date,hs_lastmodifieddate,hs_latest_approval_status,hs_latest_approval_status_approval_id,hs_latest_marketing_email_click_date,hs_latest_marketing_email_open_date,hs_latest_marketing_email_reply_date,hs_latest_meeting_activity,hs_latest_sales_email_click_date,hs_latest_sales_email_open_date,hs_latest_sales_email_reply_date,hs_likelihood_to_close,hs_line_item_global_term_hs_discount_percentage,hs_line_item_global_term_hs_discount_percentage_enabled,hs_line_item_global_term_hs_recurring_billing_period,hs_line_item_global_term_hs_recurring_billing_period_enabled,hs_line_item_global_term_hs_recurring_billing_start_date,hs_line_item_global_term_hs_recurring_billing_start_date_enabled,hs_line_item_global_term_recurringbillingfrequency,hs_line_item_global_term_recurringbillingfrequency_enabled,hs_manual_campaign_ids,hs_manual_forecast_category,hs_merged_object_ids,hs_mrr,hs_net_pipeline_impact,hs_next_meeting_id,hs_next_meeting_name,hs_next_meeting_start_time,hs_next_step,hs_next_step_updated_at,hs_notes_last_activity,hs_notes_next_activity,hs_notes_next_activity_type,hs_num_associated_active_deal_registrations,hs_num_associated_deal_registrations,hs_num_associated_deal_splits,hs_num_of_associated_line_items,hs_num_target_accounts,hs_number_of_call_engagements,hs_number_of_inbound_calls,hs_number_of_outbound_calls,hs_number_of_overdue_tasks,hs_number_of_scheduled_meetings,hs_object_id,hs_object_source,hs_object_source_detail_1,hs_object_source_detail_2,hs_object_source_detail_3,hs_object_source_id,hs_object_source_label,hs_object_source_user_id,hs_open_amount_in_home_currency,hs_open_deal_create_date,hs_owning_teams,hs_partner_tech_win,hs_pinned_engagement_id,hs_predicted_amount,hs_predicted_amount_in_home_currency,hs_primary_associated_company,hs_primary_quote_data_updated_at,hs_priority,hs_projected_amount,hs_projected_amount_in_home_currency,hs_read_only,hs_sales_email_last_replied,hs_shared_team_ids,hs_shared_user_ids,hs_source_object_id,hs_submission_idempotent_id,hs_synced_deal_owner_name_and_email,hs_tag_ids,hs_tcv,hs_unique_creation_key,hs_updated_by_user_id,hs_user_ids_of_all_notification_followers,hs_user_ids_of_all_notification_recipients,hs_user_ids_of_all_notification_unfollowers,hs_user_ids_of_all_owners,hs_v2_time_in_current_stage,hs_was_imported,hs_weighted_pipeline_in_company_currency,hubspot_owner_assigneddate,hubspot_team_id,lh2_distress_key,lh2_domain,linkedin_url,metadata_link,needs_number_lookup,negotiation_notes,notes_last_contacted,notes_last_updated,notes_next_activity_date,num_associated_contacts,num_contacted_notes,num_notes,number_of_datasets,outflo_connected_at,outflo_replied_at,outflo_request_sent,pipeline_source,poc,scraped_type,script_link,script_output_link,script_status,source_tab,hs_v2_date_entered_current_stage
335954042596,AIVEDA,default,Scraped,4036687547,Dead/ColdCall/WrongFit,14,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-21 14:18:31,2026-07-21,2026-07-20,6,4,2,14,Dead/ColdCall/WrongFit,2026-07-21,2026-07-23,0,0,2,1,,,,0,,,,,,,,,5,,,,,,,,,None,,,,,,,,,,,,,,,,,,495903709,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784623711171,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,5.739626,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,335954042596,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158639,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-23T07:54:43.647Z,,0,2026-07-21T08:23:41.085Z,,,aiveda.io,,,,,,,,2,,0,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:43.647Z
335954042601,AgileCube Technologies,default,Scraped,4036687547,Dead/ColdCall/WrongFit,14,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-21 15:16:25,2026-07-21,2026-07-20,6,4,2,14,Dead/ColdCall/WrongFit,2026-07-21,2026-07-23,1,0,1,1,,,,0,,,,,,,,,5,,,,,,,,,None,,,,,,,,,,,,,,,,,,499378010,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784627185472,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,5.779838,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-384878830287,,,0,0,0,0,0,0,0,0,0,,335954042601,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158628,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-23T07:54:43.647Z,,0,2026-07-21T08:23:18.767Z,,,agilecube.com,,,,,,2026-07-21T09:47:37.477Z,,1,,1,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:43.647Z
335954042576,AlphaKlick Solutions,default,Scraped,4036687547,Dead/ColdCall/WrongFit,14,0.0,False,True,,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-22 11:37:32,2026-07-22,2026-07-20,7,4,2,14,Dead/ColdCall/WrongFit,2026-07-22,2026-07-23,1,0,1,1,,,,0,,,,,,,,,6,,,,,,,,,None,,,,,,,,,,,,,,,,,,572645197,,,,,,,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784700452659,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,6.627838,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-385174557406,,,0,0,0,0,0,0,0,0,0,,335954042576,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158646,,,,,,,,,,,,,,,166420402,,,,,2026-07-23T07:54:43.647Z,,0,,,,alphaklick.com,,,,,,2026-07-22T06:07:47.495Z,,1,,1,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:43.647Z
335954043580,Aapna Infotech,default,Scraped,4036632310,Dead/ColdCall/Not Interested,13,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-29 14:32:08,2026-07-29,2026-07-27,14,4,3,13,Dead/ColdCall/Not Interested,2026-07-21,2026-07-29,1,0,2,1,,,,0,,,,,,,,,13,,,,,,,,,None,,,,,,,,,,,,,,,,,,1187921489,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1785315728951,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,13.749091,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-384682375926,,,0,0,0,0,0,0,0,0,0,,335954043580,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158604,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-29T09:02:08.951Z,,0,2026-07-21T07:29:37.815Z,,,aapnainfotech.com,,,,,,2026-07-21T07:49:56.119Z,,2,,1,,,,,,,ITservices,,,Not Started,,2026-07-29T09:02:08.951Z
335954042584,Adsum Originator LLP,default,Scraped,3992480465,Interested,2,0.2,False,False,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-21 17:09:56,2026-07-21,2026-07-20,6,5,3,2,Interested,2026-07-21,2026-07-22,3,0,2,1,,,,0,,,,,,,,,5,,,,,,,,,None,,,,,,,,,,,,,,,,,,506189441,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,0,0,0,,,2026-07-15T15:03:27.462Z,,,5.858674,,,,,0.200000000000000011102230246251565404236316680908203125,0.200000000000000011102230246251565404236316680908203125,,,,,,false,false,,false,0,false,false,false,false,1,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-387002095340,,,0,0,0,0,0,0,0,0,0,,335954042584,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,,1784127807462,,,,,,333349158623,,,,,,,,,,,,69077676,,,166420402,,166420402,,166420402,2026-07-22T07:51:22.946Z,,,2026-07-21T11:37:25.873Z,,,adsumoriginator.com,,,,,,2026-07-29T07:07:52.271Z,,2,,3,,,,,,,ITservices,,,Not Started,,2026-07-22T07:51:22.946Z
335954042614,Accucia,default,Scraped,4036632310,Dead/ColdCall/Not Interested,13,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-29 13:19:09,2026-07-29,2026-07-27,14,5,3,13,Dead/ColdCall/Not Interested,2026-07-21,2026-07-29,1,0,1,1,,,,0,,,,,,,,,13,,,,,,,,,None,,,,,,,,,,,,,,,,,,1183541668,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,2026-07-14T11:33:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1785311349130,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,13.698399,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-384682408674,,,0,0,0,0,0,0,0,0,0,,335954042614,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158610,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-29T07:49:09.130Z,,0,2026-07-21T07:29:18.408Z,,,accucia.com,,,,,,2026-07-21T08:04:34.700Z,,1,,1,,,,,,,ITservices,,,Not Started,,2026-07-29T07:49:09.130Z
335954042555,Aculance IT Solutions,default,Scraped,4036687547,Dead/ColdCall/WrongFit,14,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-22 11:53:56,2026-07-22,2026-07-20,7,4,2,14,Dead/ColdCall/WrongFit,2026-07-22,2026-07-23,1,0,2,1,,,,0,,,,,,,,,6,,,,,,,,,None,,,,,,,,,,,,,,,,,,573628773,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784701436235,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,6.639222,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-385167987402,,,0,0,0,0,0,0,0,0,0,,335954042555,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158619,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-23T07:54:43.647Z,,0,2026-07-22T06:24:10.683Z,,,aculance.com,,,,,,2026-07-22T06:24:28.694Z,,2,,1,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:43.647Z
335922425584,3ELIXIR SOLUTIONS,default,Scraped,4104051404,No Pickup,1,0.12,False,False,166322228,Ishpreet Sood,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:31:29,2026-07-15,2026-07-13,,,,,3,1,100,Call Attempted (retired),2026-07-20,2026-08-05,1,0,2,1,,,,0,,,,,,,,,0,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,166322228,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:01:00Z,2026-07-15T15:01:00Z,2026-07-15T15:01:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,0,0,0,,,2026-07-15T15:01:29.632Z,,,0,,,,24.0,0.11999999999999999555910790149937383830547332763671875,0.11999999999999999555910790149937383830547332763671875,,,,,,false,false,,false,0,false,false,false,false,1,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-384294210268,,,0,0,0,0,0,0,0,0,0,,335922425584,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,,1784127689632,,,,,,333349158597,,,,,,,,,,,,,,,166322228,,166322228,,166322228,2026-08-05T14:55:15.927Z,,,2026-07-20T07:29:11.172Z,,,3elixir.com,,,,,,2026-07-20T07:35:26.378Z,,2,,1,,,,,,,ITservices,,,Not Started,,2026-08-05T14:55:15.927Z
335954042578,ALT-D Technologies LLP,default,Scraped,4036687547,Dead/ColdCall/WrongFit,14,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-22 11:30:11,2026-07-22,2026-07-20,7,4,2,14,Dead/ColdCall/WrongFit,2026-07-22,2026-07-23,1,0,2,1,,,,0,,,,,,,,,6,,,,,,,,,None,,,,,,,,,,,,,,,,,,572204530,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784700011992,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,6.622738,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-385167968960,,,0,0,0,0,0,0,0,0,0,,335954042578,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158649,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-23T07:54:43.647Z,,0,2026-07-22T06:00:20.834Z,,,altd.in,,,,,,2026-07-22T06:00:45.131Z,,2,,1,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:43.647Z
335954042590,Aaryavarta Technologies,default,Scraped,4036632310,Dead/ColdCall/Not Interested,13,0.0,False,True,166420402,,Scraping Algo ( IT services ),,,,,,,,2026-07-15 20:33:27,2026-07-15,2026-07-13,2026-07-21 17:11:20,2026-07-21,2026-07-20,6,4,2,13,Dead/ColdCall/Not Interested,2026-07-21,2026-07-23,1,0,2,1,,,,0,,,,,,,,,5,,,,,,,,,None,,,,,,,,,,,,,,,,,,506272807,,,,,,166420402,,OFFLINE,OFFLINE,OFFLINE,INTEGRATION,INTEGRATION,INTEGRATION,45691693,45691693,45691693,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,2026-07-15T15:02:00Z,OFFLINE,INTEGRATION,45691693,,,,,,,,0,0,1784634080269,1784127807462,0,,,2026-07-15T15:03:27.462Z,,,5.859639,,,,,0,0,,,,,,false,false,,true,1,true,false,false,false,0,false,,,,,,,,,2026-08-06T03:04:26.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-46-384682578644,,,0,0,0,0,0,0,0,0,0,,335954042590,INTEGRATION,LH2 Pipeline Sync,,,45691693,INTEGRATION,,0,0,,,,,,333349158606,,,,,,,,,,,,,,,166420402,,166420402,,166420402,2026-07-23T07:54:41.907Z,,0,2026-07-21T11:37:41.884Z,,,aaryavarta.com,,,,,,2026-07-21T11:41:33.155Z,,2,,1,,,,,,,ITservices,,,Not Started,,2026-07-23T07:54:41.907Z
