run_id,actor,status,started_at,finished_at,usage_usd
sMbe0bVto1d1Py12d,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-25T10:56:06.058Z,2026-08-25T10:57:26.149Z,0.72
Bqebup2xiBHDGzljf,harvestapi/linkedin-company,SUCCEEDED,2026-08-25T10:58:22.301Z,2026-08-25T10:59:10.124Z,0.6960500000000001
AwaxwdVhr4lT6omOA,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-25T11:18:10.842Z,2026-08-25T11:21:00.938Z,1.308
mOwIrLiuVRELx2mQY,harvestapi/linkedin-company,SUCCEEDED,2026-08-25T11:21:18.450Z,2026-08-25T11:22:32.860Z,1.1320500000000002
kb26fN3PwjGZlDkA2,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-25T11:53:45.925Z,2026-08-25T11:59:20.618Z,2.724
pLIqhSXrP8PDAZpHL,harvestapi/linkedin-company,SUCCEEDED,2026-08-25T11:59:35.708Z,2026-08-25T12:02:56.335Z,2.46005
Z3yY70hA9T4VLpYfr,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-26T05:28:33.752Z,2026-08-26T05:28:43.128Z,0.06
nb4HnH3ZAZswXgyfX,harvestapi/linkedin-company,SUCCEEDED,2026-08-26T05:28:45.415Z,2026-08-26T05:28:52.864Z,0.06005
Ev0UpKIGBuzuS2ecW,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-26T05:39:15.834Z,2026-08-26T05:42:24.731Z,1.8
diDhdlAKXxkiHoV3P,harvestapi/linkedin-company,SUCCEEDED,2026-08-26T05:42:42.847Z,2026-08-26T05:44:04.784Z,1.3640500000000002
USzF2ebBwjPDbhaaR,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-26T10:43:25.536Z,2026-08-26T10:43:31.989Z,0.004
7ferWKfXUq6fvmMrt,harvestapi/linkedin-company,SUCCEEDED,2026-08-26T10:43:54.199Z,2026-08-26T10:44:00.638Z,0.00405
Uoq9NOWBqEQCs1iZ5,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:35:50.166Z,2026-08-26T11:36:17.637Z,0.036
8t9P2I8zVkce478q1,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:38:09.642Z,2026-08-26T11:38:30.469Z,0.075
eBOz5xW5bTGh3pWEx,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:38:34.058Z,2026-08-26T11:39:15.361Z,0.075
97ZpdauapKsqBd52o,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:39:19.223Z,2026-08-26T11:39:51.656Z,0.075
YfnRqidFL0VC4s0JM,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:39:55.449Z,2026-08-26T11:40:01.760Z,0.075
nw672MXpjcmrlr4al,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:40:05.977Z,2026-08-26T11:40:15.128Z,0.075
vN7svHUEcz35pTISs,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:40:19.814Z,2026-08-26T11:40:28.357Z,0.075
0CDXHQUBMysElxunc,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:40:29.351Z,2026-08-26T11:40:46.706Z,0.075
tyWva4eygfQNsTvSC,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:40:49.172Z,2026-08-26T11:41:05.143Z,0.0516
HDb3jcoQhc9zijyph,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:41:07.064Z,2026-08-26T11:41:15.314Z,0.075
gSp1gBn15QbQpdTWo,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:41:17.555Z,2026-08-26T11:41:30.905Z,0.075
WxhzNszEEyeu1Uaza,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:41:32.401Z,2026-08-26T11:41:40.769Z,0.075
WjguSsm0UX9Y91pZ5,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T11:41:42.717Z,2026-08-26T11:41:52.705Z,0.075
jQxBdBSnS7wrduxtf,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:32:30.915Z,2026-08-26T12:32:42.202Z,0.075
w6hqZSswdPk2IUU5k,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:32:44.810Z,2026-08-26T12:33:02.997Z,0.075
9fTGAR9sgQovycMxA,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:33:04.110Z,2026-08-26T12:33:18.761Z,0.075
06JxlOXMHiGB91S0K,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:33:23.302Z,2026-08-26T12:33:32.577Z,0.075
