company,domain,cin,founder_name,din,title,linkedin_url,source_1_url,source_1_quote,source_2_url,confidence,identity_status
Techforce Global,techforceglobal.com,,,,,,,,,,no_cin
Direction Software LLP,direction.biz,,,,,,,,,,no_cin
Techies Infotech,iamtechie.com,,,,,,,,,,no_cin
Codemech Solutions,codemechsolutions.com,,,,,,,,,,no_cin
Avya Technology Pvt Ltd,avyatech.com,,,,,,,,,,no_cin
Zluck Solutions,zluck.com,,,,,,,,,,no_cin
XongoLab Technologies LLP,xongolab.com,,,,,,,,,,no_cin
Quickensol,quickensol.com,,,,,,,,,,no_cin
Shine Infosoft,shineinfosoft.in,,,,,,,,,,no_cin
Xinthe Technologies Private Limited,xinthe.com,U72200AP2001PTC036337,Sridhar Panuganti,00557699,Managing Director,,https://www.falconebiz.com/company/XINTHE-TECHNOLOGIES-PRIVATE-LIMITED-U72200AP2001PTC036337,"has 2 directors/key management personal PULLELA YEGNESWARA NARASIMHA SASTRY , SRIDHAR PANUGANTI . XINTHE TECHNOLOGIES PVT LTD comp",,medium,name_only
Procedure Technologies,procedure.tech,U74999MH2017PTC291642,Ulhas Sunil Mandrawadkar,06369924,Director,,https://www.falconebiz.com/company/PROCEDURE-TECHNOLOGIES-PRIVATE-LIMITED-U74999MH2017PTC291642,"has 2 directors/key management personal ULHAS SUNIL MANDRAWADKAR , BRAJKISHOR KAMALKISHOR BAHETI . PROCEDURE TECHNOLOGIES PVT LTD",,medium,name_only
Digital Web Weaver,digitalwebweaver.com,,,,,,,,,,no_cin
Rays Techserv Private Limited,raystechserv.com,U72900GJ2010PTC060246,Hiral Keyur Shah,02950590,Director,,https://www.falconebiz.com/company/RAYS-TECHSERV-PRIVATE-LIMITED-U72900GJ2010PTC060246,"has 2 directors/key management personal HIRAL KEYUR SHAH , KEYURKUMAR CHETANKUMAR SHAH . RAYS TECHSERV PVT LTD company registratio",,medium,name_only
Dev Technosys LLC,devtechnosys.com,,,,,,,,,,no_cin
Qodequay Technologies,qodequay.com,,,,,,,,,,no_cin
Exavibes Services Private Limited,exavibes.com,U72900MH2020PTC349989,Meenakshi Dev Prajapati,08958644,Director,,https://www.falconebiz.com/company/EXAVIBES-SERVICES-PRIVATE-LIMITED-U72900MH2020PTC349989,"has 2 directors/key management personal MEENAKSHI DEV PRAJAPATI , HANSRAJ NARAYANJI PRAJAPATI . EXAVIBES SERVICES PVT LTD company",,medium,name_only
TechAhead,techaheadcorp.com,,,,,,,,,,no_cin
Xicom,xicom.biz,U72300DL2009PLC188225,Arun Kumar Mahajan,02398144,Director,,https://www.falconebiz.com/company/XICOM-U72300DL2009PLC188225,"has 4 directors/key management personal ARUN KUMAR MAHAJAN , VINOD MAHAJAN , RAHUL MAHAJAN , HEENA MAHAJAN . XICOM TECHNOLOGIES LT",,medium,name_only
Verve Systems Pvt. Ltd.,vervesys.com,,,,,,,,,,no_cin
Orion InfoSolutions,orioninfosolutions.com,,,,,,,,,,no_cin
Start Designs,startdesigns.com,,,,,,,,,,no_cin
"Finoit Technologies, Inc",finoit.com,,,,,,,,,,no_cin
Shanti Infosoft LLP,shantiinfosoft.com,,,,,,,,,,no_cin
QalbIT Infotech Pvt Ltd.,qalbit.com,,,,,,,,,,no_cin
axiusSoftware,axiussoftware.com,,,,,,,,,,no_cin
Techforce Global,techforceglobal.com,,,,,,,,,,no_cin
Direction Software LLP,direction.biz,,,,,,,,,,no_cin
Techies Infotech,iamtechie.com,,,,,,,,,,no_cin
Codemech Solutions,codemechsolutions.com,,,,,,,,,,no_cin
Avya Technology Pvt Ltd,avyatech.com,,,,,,,,,,no_cin
Zluck Solutions,zluck.com,,,,,,,,,,no_cin
XongoLab Technologies LLP,xongolab.com,,,,,,,,,,no_cin
Quickensol,quickensol.com,,,,,,,,,,no_cin
Shine Infosoft,shineinfosoft.in,,,,,,,,,,no_cin
Digital Web Weaver,digitalwebweaver.com,,,,,,,,,,no_cin
Dev Technosys LLC,devtechnosys.com,,,,,,,,,,no_cin
Qodequay Technologies,qodequay.com,,,,,,,,,,no_cin
TechAhead,techaheadcorp.com,,,,,,,,,,no_cin
Verve Systems Pvt. Ltd.,vervesys.com,,,,,,,,,,no_cin
Orion InfoSolutions,orioninfosolutions.com,,,,,,,,,,no_cin
Start Designs,startdesigns.com,,,,,,,,,,no_cin
"Finoit Technologies, Inc",finoit.com,,,,,,,,,,no_cin
Shanti Infosoft LLP,shantiinfosoft.com,,,,,,,,,,no_cin
QalbIT Infotech Pvt Ltd.,qalbit.com,,,,,,,,,,no_cin
axiusSoftware,axiussoftware.com,,,,,,,,,,no_cin
Tagline Infotech,taglineinfotech.com,,,,,,,,,,no_cin
GMTA Software Solutions,gmtasoftware.com,,,,,,,,,,no_cin
Triveni Global Software Services LLP,triveniglobalsoft.com,,,,,,,,,,no_cin
Mindbowser InfoSolutions,mindbowser.com,,,,,,,,,,no_cin
Coder World Labs,coderworldlabs.com,,,,,,,,,,no_cin
Leadstocompany,leadstocompany.com,,,,,,,,,,no_cin
