name,linkedinUrl,website,tagline,description,foundedYear,employeeCount,employeeCountRange,followerCount,companyType,industries,specialities,hqCity,hqCountry
APTOCOINER ANALYTICS,https://www.linkedin.com/company/aptocoiner-analytics/,https://www.aptocoineranalytics.com/,Smarter Decisions. Sustainable Outcomes,"In today’s digital world the volume of data flowing from, to and enterprises of all sorts is enormous and growing rapidly, more rapidly than the capabilities of organizations to use it. Business Intelligence helps the organizations to make effective use of the abundance of data to which they have access: to make better predictions, better decisions, and better strategies.   How APTOCOINER using POWER BI provides Business Intelligent solution:  Ø  Let us assume  there are different sources of dat",2013,7,2-10,181,Privately Held,Information Technology & Services,"Power Bi, Business Intelligence, Data Visualization, BI Implementation Services, Microsoft Partner",Kolkata,India
Provision Technologies,https://www.linkedin.com/company/provision-technologies-llp/,https://www.provisiontech.in/,"Managing technology, powering business","At Provision Technologies, we provide advanced cybersecurity, scalable IT infrastructure, and 24/7 managed services that safeguard and streamline your data, systems, and business operations. From endpoint and network protection to cloud security and risk management — we ensure your technology works securely and efficiently, every day.",2015,34,11-50,1058,Partnership,Information Technology & Services,"Endpoint Security, Network Security, Data Security, Cloud Security, Email Security, Vulnerability Management, Unified Endpoint Management, Enterprise Password Management, Identity & Access Management, Monitoring & Management, Backup & Disaster Recovery, Managed IT Services, Managed Cybersecurity Services, Cybersecurity Awareness Training, Risk Assessment",Kolkata,India
PayInc Private Limited,https://www.linkedin.com/company/payinc/,http://payinc.in,Fintech SaaS Provider.,"PayInc, a Multi Dimensional Enabler of Digital Presence across the country, aspires to make a niche for itself with its reliable, trustworthy and effectivve presence in the Fintech Landscape. We provide a number of business software solutions and APIs that are reliable, customizable, ready within 24 hours and pocket-friendly. Our dynamic experienced team closely works with our esteemed customers to understand their needs; and making available the products with the best fit for their business.Lev",2019,45,11-50,1389,Privately Held,IT Services and IT Consulting,"Software Development, Mobile Application Development, Digital Marketing, Cybersecurity, Banking Solutions, Messaging Solutions, Chatbots",Kolkata,India
Acceleron Solutions,https://www.linkedin.com/company/acceleronsolutions/,https://acceleronsolutions.io/contact,"Accelerating Transformation, Igniting Innovation","Acceleron Solutions is a part of the 75-year-old Gainwell Group, a diversified conglomerate, headquartered in Kolkata India, and having branches and subsidiaries across India and in the USA, Australia, Singapore, Nepal, and Bhutan. Acceleron Solutions is the tech arm of Gainwell Group that utilizes extensive domain knowledge and technological expertise in SAP, Salesforce, Oracle E-business suit, custom software, and app development to enhance competitive differentiation, elevate customer experie",2023,95,51-200,7887,Privately Held,IT Services and IT Consulting,"SAP, Salesforce, Software Development, Integration , AMS projects, App development, Cloud Infrastructure Services, Cyber Security",Kolkata,India
Second Hugs,https://www.linkedin.com/company/second-hugs/,https://www.secondhugs.com/,A marketplace for gently used kids products!,,,8,2-10,209,Privately Held,"Technology, Information and Internet",,,
SentientGeeks,https://www.linkedin.com/company/sentientgeeks/,https://sentientgeeks.com,"We Offer End-to-End Digital Solutions | ""On-Demand"" Hiring: Web, Mob, Desktop, DevOps, UI/UX, QA, ABP framework","Are you looking for professional & experienced offshore developers for promoting your brands digitally? SentientGeeks is a tailored organization to become your trusted digital partners. Since the inception in 2017, we have catered more than 500 SME’s all across.  We being a Clutch & Google accredited organization are ready focused at helping your brand go the extra mile. We have helped several small & mid-sized brands get a reputable digital establishment. With us you can save a lot  on your Web",2017,204,51-200,14885,Privately Held,Information Technology & Services,".NET Core, .NET, C#, ASP.NET MVC, ASPNET ZERO, Angular, React, WordPress, Core PHP, Codeigniter, Laravel, Magento, Shopify, Web Design, Web Development, Mobile Development, React Native, Xamarin, Flutter, VueJS, ElectronJS",Kolkata,India
Webmaa,https://www.linkedin.com/company/webmaa/,http://www.webmaa.com,"Helping Brands Grow with Strategic Digital Marketing, Branding Shoots & Creative Visual Content | Webmaa
","Webmaa is your digital partner for innovative web, mobile, and cloud solutions. We specialize in enhancing engineering and design capacity, accelerating product and MVP development, automating processes, and reducing costs. Our team of expert offshore developers is dedicated to delivering impactful and desirable solutions across all major technologies. Discover our expertise and see how we can make a difference for your business.",2008,50,11-50,1041,Privately Held,IT Services and IT Consulting,"Web Design and Devalopment, Logo and Branding Solutions, E Commerce Solutions, Graphics Designing, Opensources, SEO, Internet Marketing, Pay Per Click, E- Brochure , Business Card Design, Mobile application development",Kolkata,India
Web4Buddy,https://www.linkedin.com/company/web4buddy2017/,https://web4buddy.com/,"Helping businesses turn ideas into production-ready MVPs, SaaS products & scalable software systems","Web4Buddy helps businesses turn ideas into production-ready MVPs, SaaS products, web apps, AI automations, and custom software systems.  We work with coaches, consultants, agencies, SMEs, and founders who need practical software solutions without the cost and complexity of building a full in-house tech team too early.  Since 2017, we’ve focused on building digital products and systems that solve real business problems — whether that means launching a new MVP, automating operations, improving wor",2017,10,2-10,139,Self-Employed,IT Services and IT Consulting,"MVP Development, SaaS Development, Custom Software Development, Web Application Development, Mobile App Development, AI Automation, usiness Process Automation, Chrome Extension Development, Workflow Automation, API Integration, Internal Tools Development, Scalable Software Systems, Startup MVP Development, Product Development, Automation Systems, Custom Web Applications, Digital Product Development, Software for SMEs, Tech Partner for Startups, System Development",Kolkata,India
HERE Technologies,https://www.linkedin.com/company/here/,http://here.com,The world's leading location platform company,"HERE is the global leader in mapping and location technology. For over 40 years, we've been powering innovation for the world's most recognizable companies: from launching our first digital map in 1985, to shaping the future of software-defined vehicles today. With the industry's freshest and richest unified map and a portfolio of products, services and solutions that serve the needs of multiple industries, HERE reveals opportunities that drive progress and unlock new possibilities for every mov",,9196,5001-10000,285230,Privately Held,IT Services and IT Consulting,"Maps, Location, Cartography, Mapping apps, Location technology, Location intelligence, Location data, Platform, Location platform",Eindhoven,Netherlands
Bayshore Intelligence Solutions,https://www.linkedin.com/company/bayshoreintel/,https://bayshoreintel.com/,"Built on Trust, Engineered for Success - We craft custom AI solutions empowering clients to achieve ambitious goals","Bayshore Intelligence Solutions (Est. 2019) is an AI-driven technology and solutions partner helping enterprises and high-growth organizations turn complex ideas into intelligent, scalable systems.  We specialize in applied AI, data platforms, and digital engineering that move beyond experimentation into production-grade impact, solving high-value problems where data, systems, and decision-making intersect.  What we do • AI & Intelligent Systems: Generative AI, Agentic AI, machine learning, anal",2019,19,11-50,2645,Privately Held,IT Services and IT Consulting,"AI, Machine Learning, Deep Learning, Python, Matlab, R, NLP, TensorFlow, PyTorch, DevOps, Node.JS, Angular.JS, React.JS, Application Development, Enterprise Transformation, Cloud & Infrastructure, Cyber Security, Gen AI",Dublin,United States
