name,linkedinUrl,website,tagline,description,foundedYear,employeeCount,employeeCountRange,followerCount,companyType,industries,specialities,hqCity,hqCountry
Best Of Breed Software Solutions India Private Limited Official,https://www.linkedin.com/company/best-of-breed-software-solutions-india-private-limited-official/,https://bbssl.com/,,"Best of Breed Software Solutions (BBSSL) is a software product and Software services company focusing on BFSI vertical. Our Expertise in Core Banking has benefited a large number of banks across the world. We are a Infosys, Finacle Authorised Services partner.  With its focus on a family oriented work culture BBSSL family members (BBSSLites) strive to resolve and provide best of breed software solutions to its larger family of customers and stake holders. The Senior Management Team with more tha",2003,11,201-500,98,Privately Held,IT Services and IT Consulting,,Bangalore,India
Notetech Software,https://www.linkedin.com/company/notetech-software/,http://www.notetech.com,Extension of your Team,"Notetech has been one of the best software outsourcing company with a global outlook having a primary focus on software development for offshore clients that include ISVs based in North America & Europe. Notetech is where international clients turn for reliable software applications for any need, as we are the leading provider of end-to-end IT outsourcing using a client-centric global engagement model. Innovation, partnerships and knowledge acquired from several years of experience empower us to",1998,48,51-200,5277,Privately Held,Outsourcing and Offshoring Consulting,"Custom software development, Web development, Mobile application development, Microsoft Office plug-in development, Enterprise application integration, IT consulting and project management, Application maintenance and support, Software testing, modernization , Full cycle software product development, Modernization of legacy systems",Kochi,Japan
White Valley Technologies,https://www.linkedin.com/company/white-valley-technologies/,,WhiteValley Technologies Private Limited is a new age initiative in India focusing on sustainable agriculture.,,,6,2-10,45,Privately Held,"Technology, Information and Internet",,,
Secuodsoft Technologies Private Limited,https://www.linkedin.com/company/secuodsoft-technologies-private-limited/,https://www.secuodsoft.com,"AI-First tech company driving innovation, transforming businesses and powering tomorrow with next-gen digital solutions.","Secuodsoft is a CMMI Level 3 appraised, AI-First technology company passionately driving innovation and digital transformation across industries. We specialize in delivering secure, scalable, and intelligent IT solutions tailored to modern business needs.  Our comprehensive service portfolio includes AI & Machine Learning, Cybersecurity, Blockchain Development, Custom Software, Web & Mobile App Development, IoT Solutions, Cloud Infrastructure, and IT Asset Management. Every service we provide is",2019,83,51-200,3984,Privately Held,IT Services and IT Consulting,"Artificial Intelligence, Software Development, Cybersecurity, IT Infrastructure, Artificial Intelligence (AI) Solutions, SaaS Product Development, IT Consulting, Digital Transformation, Internet of Things (IoT) Solutions, Cloud Computing, Web Application Development, Mobile App Development, Custom Software Development, UI/UX Design, E-Governance, Agile Development, Blockchain, Angular, React, MERN, MEAN, Node.js, Laravel, Django, AI, ML, LLM, and GenAI, AI Consulting",Bhubaneshwar,IN
Webmyne Systems Private Limited,https://www.linkedin.com/company/webmyne/,http://www.webmyne.com,Endless possibilities through turnkey solutions.,"Webmyne Systems Private Limited is a CMMI Level 5 certified company adhering to ISO 27001:2022 standards for Information Security Management Systems.  At Webmyne, we empower businesses through cutting-edge web solutions. With over 20 years of experience in the industry, our team of skilled developers, designers, and digital strategists deliver innovative and customized web services tailored to meet the unique needs of each client.  𝐎𝐮𝐫 𝐄𝐱𝐩𝐞𝐫𝐭𝐢𝐬𝐞 𝐈𝐧𝐜𝐥𝐮𝐝𝐞𝐬:  ✔   Web Development ✔   Mobile App Deve",2002,224,51-200,10689,Privately Held,IT Services and IT Consulting,"Web Development, Lead Generation, Web Designing, Online Marketing, Product Developmet, PHP Web Development, Digital Marketing, E-Commerce Solutions, SEO, ERP, Full Stack Development, QA testing, Mobile App Development, .Net Development, Open Source, Wordpress, Hire Dedicated Team, Staff Augmentation, ERP, Public Relations, Branding",Vadodara,India
ZeroCodeHR,https://www.linkedin.com/company/zerocodehr/,http://www.zerocodehr.com,"Preferred partner of HRsoft, we are using low code technology to help our HR clients transform their business. ","ZeroCodeHR is the first software development shop specializing in the rapid, agile development of bespoke human resource applications using proprietary low code/no code development tools. Our vision is to make digital application development accessible to Human Resource professionals around the world. Quickly, elegantly, and affordably. We have partnered with HRsoft, a leading provider cloud-based HR solution in US.  The clients include some of the best-known organizations in the US and Canada. ",2019,131,51-200,42925,Privately Held,Information Services,"#lowcode, HRtech",Hyderabad,India
Intense Technologies Limited,https://www.linkedin.com/company/intense-technologies-ltd-/,https://in10stech.com/,Delivering Impact at Speed and Scale with AI-powered and IP-enabled Platforms-driven Services,"Intense Technologies is a publicly listed, AI-first, Platform-driven Services Company specializing in mission-critical solutions for communications, data management, and process automation across the BFSI, Telecom, and Government sectors. Through its innovative platforms, the company impacts a billion lives daily and processes over $25 billion in revenue data annually.   Recognized by leading industry analysts such as Gartner, IDC, Aspire, Celent, and Omdia, Intense continues to empower enterpri",1999,769,201-500,13848,Public Company,"Technology, Information and Internet","Customer Onboarding, Customer Communications Management, Customer Engagement Hub, Financial Reconciliation, Customer Identity Management, Omni-channel Customer Experience, B2B Customer Experience Management, Modernize Order Management, Business Agility, Application Development, Business Process Management, Robotic Process Automation, Digital Transformation, Customer Experience Management, Digital Technology Platform, Digital Customer Experience, Telecom Software, Customer Engagement, Enterprise Software Products, Digital Customer Lifecycle",Hyderabad,India
SplendorNet Technologies Pvt. Ltd.,https://www.linkedin.com/company/splendornet-technologies/,http://www.splendornet.com,"18-year-old, strong solutions development company with high-end expertise in eCommerce solutions development","We introduce ourselves as SplendorNet Technologies Pvt. Ltd., having well organized team and infrastructure to meet the development requirement of domestic as well as offshore enterprise solutions development projects.  A clear perception of growing requirement of the internet businesses world has enabled SplendorNet to develop programs and applications of specific relevance for the present and the future. And constant pursuit of latest technology trends has kept SplendorNet on the cutting edge.",2008,69,51-200,6659,Privately Held,IT System Custom Software Development,"Chatbots Development, eCommerce Development, Shopify, Magento, Full Stack, MEAN, MERN, ReactJS, React Native, PHP / MySQL, Python, Angular, Django, Flutter, AI Application Development, ERP Development, CRM Development, HRM Development, App Development, LMS Development, Helthcare App Software , Adobe Commerce",Pune,India
Rejoicehub LLP,https://www.linkedin.com/company/rejoicehubllp/,https://rejoicehub.com,Be Happy || Be Innovative,"Rejoicehub LLP is the best technology company in Surat, India. We worked with worldwide clients as a technology designing and development and technology-based service provider and met their expectations successfully to run their online business successfully.   WHY US ? 6+ Years of experience  749+ Remarkable Projects 500+ Happy customers 120+ StrongTeam 90% Repeat Business Rate  AI/ML Generative AI , Web application design and development are one of the major areas of services.  We create state-",2019,118,51-200,9862,Partnership,IT Services and IT Consulting," Retail Customer Experience Consulting, Database Management Consulting, Data Science and Analytics, Product Innovation, Open Source Communities, Continuous Delivery, User Experience Design, Software and Application Development Technical Support, Open Source consulting and deployment , AI/ML , IOT",Surat,India
EmbedSense Solutions Private Limited,https://www.linkedin.com/company/embedsense-solutions-private-limited/,https://www.embedsense.com,Transforming manufacturing industries into smart factories of the future,"EmbedSense is an IIOT Sensors and Solutions company providing end-to-end solutions towards digitization of legacy and new machines to enable Sustainable manufacturing in both process and discrete manufacturing sectors. It provides end-to end engineering solutions and is working towards the realization of dark factories of the future with its suite of digitalization technologies and applications. EmbedSense value pillars are Quality, Reliability and Performance. The software solutions help improv",2015,19,11-50,372,Privately Held,"Appliances, Electrical, and Electronics Manufacturing","Sensors, Smart Manufacturing, IIOT, IOT, Industrial IOT, Internet Of Things, Industry 4.0, Dark Manufacturing, EmbedSense, Smart Machines, Electrical Sensors, Vibration Sensor, Pressure Sensor, Temperature Sensor, Productivity, Condition Monitoring, Predictive Maintenance, Injection Molding, Die Casting, Digitalization",Bengaluru,India
