deal_id,dealname,owner_id,reason
345094884028,SarvM.AI,166322228,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
344965981936,Impact,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345081394891,Manek Financial®,96574824,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345062730481,Xindus,166322228,non-tech industry: 'Freight'
345082886873,theBigLeague,96574824,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344771685071,AristaVault,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345081394897,GoFlySmart Holidays,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345081394898,GreyToYellow,96574824,IT-services/agency framing: 'Digital Marketing Agency'
345081394899,AllEvents.in,166322228,non-tech industry: 'Event Management'
345062730483,Sequretek IT Solutions Pvt. Ltd.,96574824,no data scraped; name strongly suggests an IT-services shop
345047487171,Great Manager Institute,96574824,non-tech industry: 'people manager development'
344773431997,CredoVerify,96574824,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345073879799,Dailoqa,96574824,non-tech industry: 'management consulting'
344962077433,ellementry,96574824,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344967699184,Moonhive,96574824,IT-services/agency framing: 'Software Development Company'
345064416994,"IntersectIQ (IIQ,Inc.)",96574824,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344962078406,PrepInsta,96574824,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
345079636723,12Grids - Customer Experience Technology Company,166322228,IT-services/agency framing: 'Resource Augmentation'
345064416999,NebulARC Technologies Pvt Ltd.,96574824,non-tech industry: 'freight'
345076133576,Evoluz Global Solutions,166322228,IT-services/agency framing: 'Consulting Services'
345100894958,Attain,166322228,IT-services/agency framing: 'staff augmentation'
345081395901,RadicalLoop,166322228,IT-services/agency framing: 'software development studio'
344678386397,iGini,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344678386398,ARISE,166322228,non-tech industry: 'Talent Platform'
344965982943,ExpertItBrains,96574824,IT-services/agency framing: 'streaming revenue with'
345100894965,Emaad Infotech ,166322228,IT-services/agency framing: 'Software Development Company'
345081395922,Cogoport,166322228,non-tech industry: 'Freight'
344967700196,Asan Innovators,166322228,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
344771686099,RadicalLoop Technolabs,96574824,IT-services/agency framing: 'software development studio'
345047488203,Sevarth Mission Foundation,166322228,no data scraped; name suggests a non-tech business (trucking/hospitality/events/consultancy)
344742482629,TECHXERS TECHNOLOGIES,166322228,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
345077904076,Iqonic Design,96574824,"IT-services/agency framing: 'product-first, design-led, engineering-strong team'"
344742482633,Deinertech Software Private Limited.,166322228,IT-services/agency framing: 'Digital Marketing Services'
344881432297,Drutaya Semiconductors Private Limited,96574824,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
345079637747,TT Staff Pro,96574824,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
345047488211,Expert IT Brains Private Limited,96574824,IT-services/agency framing: 'streaming revenue with'
345102692029,Harshit Info Solution Pvt Ltd,96574824,IT-services/agency framing: 'proficiently deal with'
345003536081,New Leaf Dynamic Technologies (P) LTD,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344958462690,Ghootmee Technology,96574824,IT-services/agency framing: 'mobile app development company'
345047488215,Cargo,96574824,IT-services/agency framing: 'IT Services'
344771686110,Impresario Global,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
344965983943,Imperiumofficial,166322228,IT-services/agency framing: 'IT services'
345068670673,Alpheric Inc,96574824,"manual override: reads as a client-services marketing/tech agency ('we partner with businesses...deliver exceptional results for our partners'), not a product company, despite Agile/Scrum wording"
344678387399,Traveon Ventures LLP,96574824,non-tech industry: 'M.I.C.E. management'
344742482645,Ekah Trucking Services Pvt Ltd,166322228,no tech/product signal anywhere in scraped text — can't confirm this is a software company at all
345047488221,Sutradhar Project Consultancy Pvt. Ltd.,96574824,IT-services/agency framing: 'custom tech development solutions'
345064418017,Collab Solutions Pvt. Ltd.,166322228,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
344792726259,Xerve Innovation Ltd,96574824,no company data scraped anywhere and no name-based signal — can't confirm a real codebase exists
