[rdap] 337 in lane, 0 done, 337 to go, 5 workers
[rdap] batch 1/14 — 25 done, 70/min, ~4 min left
[rdap] batch 2/14 — 50 done, 63/min, ~5 min left
[rdap] batch 3/14 — 75 done, 70/min, ~4 min left
[rdap] batch 4/14 — 100 done, 69/min, ~3 min left
[rdap] batch 5/14 — 125 done, 68/min, ~3 min left
[rdap] batch 6/14 — 150 done, 67/min, ~3 min left
[rdap] batch 7/14 — 175 done, 70/min, ~2 min left
[rdap] batch 8/14 — 200 done, 70/min, ~2 min left
[rdap] batch 9/14 — 225 done, 69/min, ~2 min left
[rdap] batch 10/14 — 250 done, 69/min, ~1 min left
[rdap] batch 11/14 — 275 done, 69/min, ~1 min left
[rdap] batch 12/14 — 300 done, 68/min, ~1 min left
[rdap] batch 13/14 — 325 done, 70/min, ~0 min left
[rdap] COMPLETE — 337 processed in 4.8 min
