[wayback] 337 in lane, 0 done, 337 to go, 1 workers
[wayback] batch 1/14 — 25 done, 55/min, ~6 min left
[wayback] batch 2/14 — 50 done, 62/min, ~5 min left
[wayback] batch 3/14 — 75 done, 1/min, ~188 min left
[wayback] batch 4/14 — 100 done, 2/min, ~131 min left
[wayback] batch 5/14 — 125 done, 2/min, ~103 min left
[wayback] batch 6/14 — 150 done, 2/min, ~85 min left
[wayback] batch 7/14 — 175 done, 2/min, ~65 min left
[wayback] batch 8/14 — 200 done, 3/min, ~51 min left
[wayback] batch 9/14 — 225 done, 3/min, ~38 min left
[wayback] batch 10/14 — 250 done, 3/min, ~26 min left
[wayback] batch 11/14 — 275 done, 4/min, ~17 min left
[wayback] batch 12/14 — 300 done, 4/min, ~10 min left
[wayback] batch 13/14 — 325 done, 4/min, ~3 min left
[wayback] COMPLETE — 337 processed in 80.4 min
