company_name,domain,domain_source,city,state_region,phone,email,source,profile_url,first_seen_run,notes
2Hats Logic Solutions Pvt. Ltd.,2hatslogic.com,listed,Kochi,Kerala,0484 487 8903,hr@2hatslogic.com,infopark,https://infopark.in/companies-profile/2hats-logic-solutions-pvt-ltd,2026-08-19,
42Square Technologies,42square.ai,listed,Kochi,Kerala,8078186103,support@42square.ai,infopark,https://infopark.in/companies-profile/42square-technologies,2026-08-19,
9Commerce Technologies,commerce9.io,listed,Kochi,Kerala,9995080656,hr@commerce9.io,infopark,https://infopark.in/companies-profile/9commerce-technologies,2026-08-19,
Aarbee Structures Pvt.Ltd,aarbeestructures.com,listed,Kochi,Kerala,+91-9544407555,aarbee@aarbeestructures.com,infopark,https://infopark.in/companies-profile/aarbee-structures-pvt-ltd,2026-08-19,
Abel Techsoft Private Limited,,backfill_needed,Kochi,Kerala,+919995005969,info@abeltechsoft.com,infopark,https://infopark.in/companies-profile/abel-techsoft-private-limited,2026-08-19,
Abilytics Consulting Pvt Ltd,abilytics.com,listed,Kochi,Kerala,+91 9496061623,hr@abilytics.com,infopark,https://infopark.in/companies-profile/abilytics-consulting-pvt-ltd,2026-08-19,
Accelray Technologies Pvt Ltd,accelray.com,listed,Kochi,Kerala,+9188486 20593,info@accelray.com,infopark,https://infopark.in/companies-profile/accelray-technologies-pvt-ltd,2026-08-19,
Aceware Fintech Services Pvt Ltd (Radiant Acemoney),acemoney.in,listed,Kochi,Kerala,0806 898 3333,info@acemoney.in,infopark,https://infopark.in/companies-profile/aceware-fintech-services-pvt-ltd-radiant-acemoney,2026-08-19,
adesso India Private Ltd,adesso.in,listed,Kochi,Kerala,+91- 77360 95222,careers@adesso.in,infopark,https://infopark.in/companies-profile/adesso-india-private-ltd,2026-08-19,
Admaren Tech Pvt Ltd,admaren.com,listed,Kochi,Kerala,+91 96333 84111,info@admaren.com,infopark,https://infopark.in/companies-profile/admaren-tech-pvt-ltd,2026-08-19,
Advenser Engineering Services Private Limited,advenser.com,listed,Kochi,Kerala,+91 484 4040708,info@advenser.com,infopark,https://infopark.in/companies-profile/advenser-engineering-services-private-limited,2026-08-19,
"Affiliated Computer Services of India, A Xerox Company",,backfill_needed,Kochi,Kerala,0484 4090136,Praseel.Nambiar@xerox.com,infopark,https://infopark.in/companies-profile/affiliated-computer-services-of-india-a-xerox-company,2026-08-19,
Airpay Financial Technologies Pvt. Ltd,airpay.co.in,listed,Kochi,Kerala,,priyanka.dalvi@airpay.co.in,infopark,https://infopark.in/companies-profile/airpay-financial-technologies-pvt-ltd,2026-08-19,
ALB Technologies Pvt Ltd,accuratelegalbilling.com,listed,Kochi,Kerala,+91- 6238295987,hr@accuratelegalbilling.com,infopark,https://infopark.in/companies-profile/alb-technologies-pvt-ltd,2026-08-19,
Alphasky Ventures Pvt. Ltd.,,backfill_needed,Kochi,Kerala,9895632200,careers@alphasky.aero,infopark,https://infopark.in/companies-profile/alphasky-ventures-pvt-ltd,2026-08-19,
ALTOS Technologies,altostechnologies.in,listed,Kochi,Kerala,,info@altostechnologies.in,infopark,https://infopark.in/companies-profile/altos-technologies,2026-08-19,
Amara Raja Design Alpha Private Limited,amararajadesignalpha.com,listed,Kochi,Kerala,+91 8590905049,aswathi@designalpha.in,infopark,https://infopark.in/companies-profile/amara-raja-design-alpha-private-limited,2026-08-19,
Amatosoft,gmail.com,listed,Kochi,Kerala,9400334787,mailtogenius@gmail.com,infopark,https://infopark.in/companies-profile/amatosoft,2026-08-19,
AMIYON SOLUTIONS PVT LTD.,amiyon.com,listed,Kochi,Kerala,7012013434,hr@amiyon.com,infopark,https://infopark.in/companies-profile/amiyon-solutions-pvt-ltd,2026-08-19,
Amla Consultancy Pvt Ltd,amlaconsultancy.com,listed,Kochi,Kerala,+91 99613 69999,info@amlaconsultancy.com,infopark,https://infopark.in/companies-profile/amla-consultancy-pvt-ltd,2026-08-19,
Amplitude Software Systems Pvt Ltd,jupiterbs.com,listed,Kochi,Kerala,91 6282902505,hr@jupiterbs.com,infopark,https://infopark.in/companies-profile/amplitude-software-systems-pvt-ltd,2026-08-19,
Appadore Private Limited,appadore.com,listed,Kochi,Kerala,0484-2956529,info@appadore.com,infopark,https://infopark.in/companies-profile/appadore-private-limited,2026-08-19,
Applied Payments Technology Pvt Ltd.,appliedpaymentstech.com,listed,Kochi,Kerala,0484 485 0362,info@appliedpaymentstech.com,infopark,https://infopark.in/companies-profile/applied-payments-technology-pvt-ltd,2026-08-19,
Apps Team Technologies Pvt.Ltd.,appsteamtechnologies.com,listed,Kochi,Kerala,+91 484 2982554,hello@appsteamtechnologies.com,infopark,https://infopark.in/companies-profile/apps-team-technologies-pvt-ltd,2026-08-19,
Apro IT Solutions Pvt Ltd,aproitsolutions.com,listed,Kochi,Kerala,+91 6238683058,info@aproitsolutions.com,infopark,https://infopark.in/companies-profile/apro-it-solutions-pvt-ltd,2026-08-19,
Array Platforms Pvt Ltd,,backfill_needed,Kochi,Kerala,0484-4041580,neha.r@array.team,infopark,https://infopark.in/companies-profile/array-platforms-pvt-ltd,2026-08-19,
Art Technology and Software.,,backfill_needed,Kochi,Kerala,0484-2415244,art-hr@artechsoft.com,infopark,https://infopark.in/companies-profile/art-technology-and-software,2026-08-19,
Aspire Systems Digital Private Limited,aspiresys.com,listed,Kochi,Kerala,0484 4061901,keerthana.jayaraj@aspiresys.com,infopark,https://infopark.in/companies-profile/aspire-systems-digital-private-limited,2026-08-19,
AVENTUS INFORMATICS,aventusinformatics.com,listed,Kochi,Kerala,7907091213,hr@aventusinformatics.com,infopark,https://infopark.in/companies-profile/aventus-informatics,2026-08-19,
Ayata Commerce Tech Solutions Pvt Ltd,ayatacommerce.com,listed,Kochi,Kerala,+919995473245,hr@ayatacommerce.com,infopark,https://infopark.in/companies-profile/ayata-commerce-tech-solutions-pvt-ltd,2026-08-19,
Banzan Studios,banzan.co,listed,Kochi,Kerala,,info@banzan.co,infopark,https://infopark.in/companies-profile/banzan-studios,2026-08-19,
Beinex Consulting Pvt Ltd,,backfill_needed,Kochi,Kerala,6238389957,careers@beinex.com,infopark,https://infopark.in/companies-profile/beinex-consulting-pvt-ltd,2026-08-19,
Beth Soft Technologies India Private Limited,bethsofttechnologies.com,listed,Kochi,Kerala,9633849485,info@bethsofttechnologies.com,infopark,https://infopark.in/companies-profile/beth-soft-technologies-india-private-limited,2026-08-19,
Bhooshan's Junior,bhooshansjr.in,listed,Kochi,Kerala,04843539863,info@bhooshansjr.in,infopark,https://infopark.in/companies-profile/bhooshan-s-junior,2026-08-19,
BIMEX Engineers,bimexeng.com,listed,Kochi,Kerala,+91 81293 21656,info@bimexeng.com,infopark,https://infopark.in/companies-profile/bimex-engineers,2026-08-19,
Binaries,binariesindia.com,listed,Kochi,Kerala,+918547644145,info@binariesindia.com,infopark,https://infopark.in/companies-profile/binaries,2026-08-19,
BJ Corps Technologies (OPC) Private Limited,bjcorps.com,listed,Kochi,Kerala,9846691115,info@bjcorps.com,infopark,https://infopark.in/companies-profile/bj-corps-technologies-opc-private-limited,2026-08-19,
