rank,score,name,domain,source,pre2024_grade,corroborators,owned_ip,dev_wording,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,years_active,extraction_verified,final_url,ownip_quote,city
1,65,Pixdynamics,pixdynamics.com,ITDIR:infopark,NONE,-,True,True,26359,10,3,7,0,False,https://pixdynamics.com,"ng with centralized, smart management tools. OUR PRODUCTS Future Ready Products, Powered b",Kochi
2,60,Focaloid Technologies Private Limited,focaloid.com,ITDIR:infopark,NONE,-,True,True,9741,0,2,1,0,False,https://www.focaloid.com/,"ots A governed, action-taking AI layer over your product and APIs. Agentic AI Development ",Kochi
3,55,iSQUARE Business Solution Private Limited,isquarebs.com,ITDIR:sida,NONE,-,True,True,30320,1,0,1,0,False,https://www.isquarebs.com/,f custom software development. Let’s Discuss Our Products Right from app development to sc,Madurai
4,55,ALTOS Technologies,altostechnologies.in,ITDIR:infopark,PROVEN_EQUIV,wayback,True,True,15588,0,0,0,0,True,https://altostechnologies.in,ftware. Know More CRM --> 3D Modeling Bring your products and services to life with captiv,Kochi
5,50,SnippetCommerce360 Pvt Ltd,snippetcommerce360.com,ITDIR:infopark,NONE,-,False,True,422658,1,1,1,0,False,https://snippetcommerce360.com,,Kochi
6,50,Cloudium Software Pvt. Ltd.,cloudium.io,ITDIR:infopark,PROVEN_EQUIV,copyright+wayback,True,True,3676,0,0,0,0,False,https://www.cloudium.io/,"itecture, until we arrive at a blueprint of your product, which is then discussed with you",Kochi
7,50,Braddock Infotech Pvt. Ltd.,braddockinfotech.com,ITDIR:infopark,PROVEN_EQUIV,copyright+wayback,True,True,3374,0,0,0,0,False,https://braddockinfotech.com,"ties and security devices. Products Checkout our products Voice, Data and Video Provisioni",Kochi
8,50,Carol Solutions,carolsolutions.com,ITDIR:infopark,PROVEN_EQUIV,wayback,True,True,3203,0,0,0,0,False,https://carolsolutions.com,he needs of businesses worldwide. More about our products and features Bespoke Solutions: ,Kochi
9,50,42Square Technologies,42square.ai,ITDIR:infopark,PROVEN_EQUIV,wayback,True,True,0,0,0,0,0,False,https://42square.ai,"se the people we bring in shape our culture, our product, and how we work together every d",Kochi
10,45,Innovature Software Labs (P) Ltd,innovature.ai,ITDIR:infopark,NONE,-,True,True,64022,8,0,0,0,False,https://innovature.ai,"lopment , and quality engineering to ensure your product is scalable and secure leading to",Kochi
11,45,CCS Technologies (P) Ltd,ccs-technologies.com,ITDIR:infopark,PROVEN_EQUIV,wayback,False,True,62451,8,0,0,0,False,https://ccs-technologies.com,,Kochi
12,45,Pinmicro India Pvt.Ltd.,pinmicro.com,ITDIR:infopark,NONE,-,True,True,62085,8,0,0,0,False,https://pinmicro.com,"on-necessary Non-necessary SAVE &amp; ACCEPT Our Product, Your Business Boost your Busines",Kochi
13,45,Neork Technologies,neork.com,ITDIR:infopark,NONE,-,True,True,60852,8,0,0,0,False,https://www.neork.com/,usiness needs. Read More View More Solutions Our Products Video Analytics Solutions Asset ,Kochi
14,45,Vinga Software Solutions Private Limited,vinga.biz,ITDIR:sida,NONE,-,True,True,60707,8,0,0,0,False,https://www.vinga.biz/,t is with great pleasure that I acknowledge your Product Bautomate having been validated b,Trichy
15,45,Apps Team Technologies Pvt.Ltd.,appsteamtechnologies.com,ITDIR:infopark,PROVEN_EQUIV,copyright+wayback,False,True,60379,8,0,0,0,False,https://appsteamtechnologies.com,,Kochi
16,45,Advenser Engineering Services Private Limited,advenser.com,ITDIR:infopark,EXISTED_2COR,copyright+wayback,False,False,46258,1,0,0,0,False,https://www.advenser.com/,,Kochi
17,45,Embien Technologies India Private Limited,embien.com,ITDIR:sida,NONE,-,True,True,34622,0,0,1,0,False,https://www.embien.com/,ghts Technology Insights Industrial Insights Our Products Sparklet GUI Library RAPIDSEA Su,Madurai
18,45,Silverbloom Technologies,silverbloom.com,ITDIR:infopark,SOURCE_ONLY,copyright,True,True,20936,1,0,0,0,False,https://www.silverbloom.com/,esigns Fitted for the Four Corners We design our products for the four corners of all type,Kochi
19,45,Dot Com Infoway,dotcominfoway.com,ITDIR:sida,SOURCE_ONLY,copyright,True,True,20165,4,0,0,0,False,https://www.dotcominfoway.com/,ty with AI-powered advertising designed for your products and business. From concept to cr,Madurai
20,45,Yatnam Technologies,yatnam.com,ITDIR:infopark,NONE,-,False,True,14534,3,1,1,0,False,https://yatnam.com,,Kochi
21,45,Zinbay India Pvt.Ltd.,zinbayindia.com,ITDIR:infopark,NONE,-,False,True,13665,9,1,1,0,False,https://zinbayindia.com,,Kochi
22,45,Abilytics Consulting Pvt Ltd,abilytics.com,ITDIR:infopark,PROVEN_EQUIV,wayback,False,True,3286,4,0,1,0,False,https://abilytics.com,,Kochi
23,40,Mitsogo,mitsogo.com,ITDIR:infopark,NONE,-,False,False,767198,2,2,0,0,False,https://mitsogo.com,,Kochi
24,35,MARLABS SOFTWARE,marlabs.com,ITDIR:infopark,NONE,-,True,True,52278,0,0,0,0,True,https://www.marlabs.com/,"s—not just reacting to issues. We make sure your products are always available, always sec",Kochi
25,35,Milestone Technologies,milestone.tech,ITDIR:infopark,NONE,-,True,False,38039,0,0,0,0,True,https://milestone.tech,"and faster while improving processes across your platform Learn More Digital Workplace, Cl",Kochi
26,35,Amplitude Software Systems Pvt Ltd,jupiterbs.com,ITDIR:infopark,PROVEN_EQUIV,wayback,False,True,21704,0,0,0,0,True,https://jupiterbs.com,,Kochi
27,35,Classic Technologies & Business Solutions Pvt. Ltd.,ctebs.com,ITDIR:infopark,DOMAIN_ONLY,wayback,True,False,10852,0,0,0,0,True,https://www.ctebs.com/,"India, Vietnam, Cambodia, Jordan and beyond. Our flagship product, Trendz CMP & Trendz Pla",Kochi
28,35,Airpay Financial Technologies Pvt. Ltd,airpay.co.in,ITDIR:infopark,DOMAIN_ONLY,wayback,True,False,6475,0,0,0,0,True,https://www.airpay.co.in/,"ticket numbers. PLUG, PLAY, GO-LIVE Connect your platform quickly with our intuitive APIs.",Kochi
29,30,Experion Technologies,experionglobal.com,ITDIR:infopark,NONE,-,True,True,18628,0,0,0,0,True,https://experionglobal.com,ise Human-Centric Digital Experience Talk to Our Product Strategists Transforming Enterpri,Kochi
30,30,Speridian Technologies Pvt Ltd,speridian.com,ITDIR:infopark,NONE,-,True,True,16232,0,0,0,0,True,https://speridian.com,utions that drive measurable business value. Our Products CaseXellence is an AI-powered pr,Kochi
31,30,Travancore Analytics Pvt.Ltd.,travancoreanalytics.com,ITDIR:infopark,NONE,-,True,True,14698,0,0,0,0,True,https://www.travancoreanalytics.com/,ered to meet evolving business needs Explore Our Products DataLens The Best Data Intellige,Kochi
32,30,9Commerce Technologies,commerce9.io,ITDIR:infopark,PROVEN_EQUIV,wayback,False,True,11278,0,0,0,0,True,https://commerce9.io,,Kochi
33,30,Larch Technologies,larch.in,ITDIR:sida,NONE,-,True,False,11058,0,0,0,0,True,https://larch.in,ly Sun Roofing Cable Assembly Safety Systems Our Products &#8594; Get in Touch Adopting IA,Madurai
34,30,AMIYON SOLUTIONS PVT LTD.,amiyon.com,ITDIR:infopark,PROVEN_EQUIV,wayback,False,True,9947,0,0,0,0,True,https://amiyon.com,,Kochi
35,30,JTSi Technologies India Private Limited,jtsiindia.com,ITDIR:infopark,NONE,-,True,True,9407,0,0,0,0,True,https://jtsiindia.com,develops the right solution for you Package Your product is packaged before release QA &am,Kochi
