domain,website,name,needs
2hatslogic.com,https://2hatslogic.com,2Hats Logic Solutions Pvt. Ltd.,wayback+homepage+careers
42square.ai,https://42square.ai,42Square Technologies,wayback+homepage+careers
commerce9.io,https://commerce9.io,9Commerce Technologies,wayback+homepage+careers
aarbeestructures.com,https://aarbeestructures.com,Aarbee Structures Pvt.Ltd,wayback+homepage+careers
abilytics.com,https://abilytics.com,Abilytics Consulting Pvt Ltd,wayback+homepage+careers
accelray.com,https://accelray.com,Accelray Technologies Pvt Ltd,wayback+homepage+careers
acemoney.in,https://acemoney.in,Aceware Fintech Services Pvt Ltd (Radiant Acemoney),wayback+homepage+careers
adesso.in,https://adesso.in,adesso India Private Ltd,wayback+homepage+careers
admaren.com,https://admaren.com,Admaren Tech Pvt Ltd,wayback+homepage+careers
advenser.com,https://advenser.com,Advenser Engineering Services Private Limited,wayback+homepage+careers
airpay.co.in,https://airpay.co.in,Airpay Financial Technologies Pvt. Ltd,wayback+homepage+careers
accuratelegalbilling.com,https://accuratelegalbilling.com,ALB Technologies Pvt Ltd,wayback+homepage+careers
altostechnologies.in,https://altostechnologies.in,ALTOS Technologies,wayback+homepage+careers
amararajadesignalpha.com,https://amararajadesignalpha.com,Amara Raja Design Alpha Private Limited,wayback+homepage+careers
gmail.com,https://gmail.com,Amatosoft,wayback+homepage+careers
amiyon.com,https://amiyon.com,AMIYON SOLUTIONS PVT LTD.,wayback+homepage+careers
amlaconsultancy.com,https://amlaconsultancy.com,Amla Consultancy Pvt Ltd,wayback+homepage+careers
jupiterbs.com,https://jupiterbs.com,Amplitude Software Systems Pvt Ltd,wayback+homepage+careers
appadore.com,https://appadore.com,Appadore Private Limited,wayback+homepage+careers
appliedpaymentstech.com,https://appliedpaymentstech.com,Applied Payments Technology Pvt Ltd.,wayback+homepage+careers
appsteamtechnologies.com,https://appsteamtechnologies.com,Apps Team Technologies Pvt.Ltd.,wayback+homepage+careers
aproitsolutions.com,https://aproitsolutions.com,Apro IT Solutions Pvt Ltd,wayback+homepage+careers
aspiresys.com,https://aspiresys.com,Aspire Systems Digital Private Limited,wayback+homepage+careers
aventusinformatics.com,https://aventusinformatics.com,AVENTUS INFORMATICS,wayback+homepage+careers
ayatacommerce.com,https://ayatacommerce.com,Ayata Commerce Tech Solutions Pvt Ltd,wayback+homepage+careers
