source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
ITDIR:infopark,Banzan Studios,Kochi,https://banzan.co,banzan.co,,,,,True,False,False,page text 48 chars
ITDIR:infopark,CLOUDVICE,Kochi,https://cloudvice.com,cloudvice.com,,,,,True,False,False,page text 35 chars
ITDIR:infopark,Coinone Global Solutions Pvt Ltd,Kochi,https://coinoneglobal.com,coinoneglobal.com,,,,,True,False,False,page text 181 chars
ITDIR:infopark,Daddara,Kochi,https://daddara.in,daddara.in,,,,,True,False,False,page text 76 chars
ITDIR:infopark,Endeion Engineering Services Pvt.Ltd.,Kochi,https://endeion.com,endeion.com,,,,,True,False,False,page text 1 chars
ITDIR:infopark,Estro Tech Robotics and Innovations Pvt Ltd,Kochi,https://estrotech.in,estrotech.in,,,,,True,False,False,page text 108 chars
ITDIR:infopark,Gewan Info Tech Solutions India Pvt Ltd.,Kochi,https://gewaninfotech.com,gewaninfotech.com,,,,,True,False,False,page text 16 chars
ITDIR:infopark,HH Back Office Services Pvt Ltd,Kochi,https://hhbos.com,hhbos.com,,,,,True,False,False,page text 62 chars
ITDIR:infopark,IdealMG Educare LLP,Kochi,https://mgtuition.com,mgtuition.com,,,,,True,False,False,page text 86 chars
ITDIR:infopark,Infosmart Technologies Private Limited,Kochi,https://infosmart-technologies.com,infosmart-technologies.com,,,,,True,False,False,page text 1 chars
ITDIR:infopark,Internland Technology Services Private Limited,Kochi,https://interlandtech.com,interlandtech.com,,,,,True,False,False,page text 62 chars
ITDIR:infopark,Mashuptech,Kochi,https://mashuptech.in,mashuptech.in,,,,,True,False,False,page text 12 chars
ITDIR:infopark,mitz AI Minds Pvt Ltd,Kochi,https://mitz.ai,mitz.ai,,,,,True,False,False,page text 75 chars
ITDIR:infopark,Obvious AI Technology Pvt Ltd,Kochi,https://obvs.ai,obvs.ai,,,,,True,False,False,page text 151 chars
ITDIR:infopark,Paoyaila Animation Studios LLP,Kochi,https://paoyaila.com,paoyaila.com,,,,,True,False,False,page text 10 chars
ITDIR:infopark,Quantum Acumen (QuAnHack Solutions),Kochi,https://quanhack.com,quanhack.com,,,,,True,False,False,page text 62 chars
ITDIR:infopark,Raintech Software Ltd,Kochi,https://raintechsoftware.com,raintechsoftware.com,,,,,True,False,False,page text 19 chars
ITDIR:infopark,Servsys Technology Services India Pvt Ltd,Kochi,https://servsys.com,servsys.com,,,,,True,False,False,page text 41 chars
ITDIR:infopark,Voyon Technology Pvt Ltd,Kochi,https://voyonfolks.com,voyonfolks.com,,,,,True,False,False,page text 75 chars
ITDIR:sida,AgamWorks Tech Solution Private Limited,Madurai,https://agamworks.com,agamworks.com,,,,,True,False,False,page text 70 chars
ITDIR:sida,Galaxy Infotech,Madurai,https://galaxyinfotech.co,galaxyinfotech.co,,,,,True,False,False,page text 42 chars
ITDIR:sida,Ramar Tech,Madurai,https://ramartech.info,ramartech.info,,,,,True,False,False,page text 71 chars
ITDIR:sida,Saravana Infotech,Madurai,https://ungal.com,ungal.com,,,,,True,False,False,online experiences you can get. &nbsp; Prime Domain for Sale Property site for S
ITDIR:sida,Bigdbiz Solutions Pivate Limited,Madurai,https://bigdbiz.com,bigdbiz.com,,,,,True,False,False,page text 1 chars
ITDIR:sida,HasoTechnology,Madurai,https://hasotech.com,hasotech.com,,,,,True,False,False,page text 119 chars
ITDIR:sida,Sai Technologies,Madurai,https://saitechnologies.in,saitechnologies.in,,,,,True,False,False,page text 49 chars
