source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
ITDIR:infopark,Binaries,Kochi,https://binariesindia.com,binariesindia.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Consoul Associates,Kochi,https://consoulassociates.com,consoulassociates.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Currentware India Pvt Ltd.,Kochi,https://currentware.com,currentware.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Datafloat Technologies India Pvt Ltd,Kochi,https://idcglobal.com,idcglobal.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Dynamed Healthcare Solutions Pvt.Ltd.,Kochi,https://dynamedhealth.com,dynamedhealth.com,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ITDIR:infopark,EGC Global Services India Pvt Ltd,Kochi,https://theegc.com,theegc.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Empress InfoTech,Kochi,https://empressinfotech.com,empressinfotech.com,,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
ITDIR:infopark,Emsyne Technologies Private Limited,Kochi,https://emsyne.com,emsyne.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,EnergyScape Renewables LLP,Kochi,https://energyscaperenewables.com,energyscaperenewables.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Grapelime Innovations Private Limited.,Kochi,https://grapelime.in,grapelime.in,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,iCodeBees Private Limited,Kochi,https://icodebees.com,icodebees.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,iKSANA Engineering & Management Consultants,Kochi,https://iksana.tech,iksana.tech,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,Impaqtive Technologies India Pvt Ltd,Kochi,https://impaqtive.com,impaqtive.com,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,IndustryApps Technologies Pvt Ltd,Kochi,https://industryapps.net,industryapps.net,,,,,True,False,False,"grade=NONE, jd=0"
ITDIR:infopark,iWEX Infomatics,Kochi,https://iwex.in,iwex.in,,,,,True,False,False,"grade=NONE, jd=337"
