rank,band,score,confidence,name,city,domain,website,headcount,already_in_hubspot,contact_known,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,private_repo_host_hits,review_gate_hits,cicd_hits,jd_chars,evidence,graded_by,why_this_rank
1,Priority,100,Verified,Caprus IT Private Limited,Hyderabad,caprusit.com,https://www.caprusit.com/,,,,25,25,35,20,105,score_ceiling_100,"Wayback 2022-06: custom application development, AMO, consulting",0,0,0,9,"Careers text: 'Participate in code reviews ... constructive feedback' | Careers text: Copado, Gearset, Jenkins and Git named | Site: 'We are an ISO 9001:2015 certified company' | Site: own products BaaS, CAPFIE, WebRTC calling platform",agent,"The careers crawl returned nine characters, so the real requisition text — code reviews, Copado/Gearset/Jenkins, a QA req with degree requirements — landed under site_quotes instead of jd. I scored it as JD-level evidence. Raw 105 trimmed to the 100 ceiling."
2,Priority,100,Verified,Digital Convergence Technologies Pune Private Limited,Pune,dctinc.com,https://www.dctinc.com,209,yes,Vineet Dhawan (CEO),25,40,25,20,110,Cap total at 100,PROVEN - 2023-06 snapshot advertising 'Digital Transformation Services Product Engineering Services',7,1,7,39988,"Careers: open 'Azure DevOps Engineer' role, Pune, 7+ yrs | JD: 'Experience with Git, version control systems, and code review practices' | Careers: 'QA Automation Engineer - Playwright', 6+ yrs | Site: owns DCT Vault; VP Engineering and VP Technology named",agent,
3,Priority,100,Verified,Gadgeon Smart Systems Pvt Ltd,Ernakulam,gadgeon.com,https://www.gadgeon.com/,,,,25,40,25,15,105,total capped at 100,PROVEN - Wayback 2023-06 advertised Product Engineering / IoT / Enterprise Applications,0,0,0,45812,"JD: 'Perform technical design reviews, code reviews, and solution validations' (careers) | JD: 'Azure Functions, App Services, Cosmos DB, and Azure DevOps' (careers) | JD: CI/CD with Docker, Kubernetes, Helm; automated testing frameworks (careers) | Wayback 2023-06: 'Product Engineering | IoT | Enterprise Applications' (homepage)",agent,"Judgement call: Azure DevOps appears inside an Azure-services skills list rather than as an explicitly named repo host, so the bundle's meets_tier_a=false is defensible. I awarded the full +40 because the same careers corpus carries three independent, non-marketing code-review lines from real Principal/Senior Engineer JDs, and Gadgeon sells embedded/enterprise engineering, not developer tooling, so the words are practice not product. The DQ_support count of 9 is a false positive - the hits are Board Support Packages and hardware abstraction layers, not helpdesk."
4,Priority,100,Verified,Krish Software Services (India) Private Limited,Bengaluru,krishservicesgroup.com,https://krishservicesgroup.com/,,,,25,40,45,0,110,Cap total at 100,"PROVEN - 2022-06 snapshot advertising 'ROBUST, SCALABLE AND ADVANCED SOFTWARE SOLUTIONS', founded 2011",4,3,7,104296,"JD: 'Branching strategies, pull requests, peer reviews and merge-conflict resolution' | JD: 'CI/CD implementation using Azure DevOps Pipelines' | Site: SOC 2 Type 2 compliant and ISO 27001 certified | JD: SonarQube named among enforced quality tooling",agent,
5,Priority,100,Verified,Nelito Systems Private Limited,Navi Mumbai,nelito.com,https://www.nelito.com,,,,25,40,35,20,120,Cap total at 100,PROVEN - 2023-06 snapshot advertising 'Software Solutions for Banks & Financial Services',7,2,11,67131,"JD: 'Gitflow, branching strategies, pull requests, and code review processes' | JD: 'Git ... platforms such as GitHub, Azure Repos, GitLab, or Bitbucket' | Site: CMMI Level 3 organisation, 30+ years, 600 professionals | Site: owns Fincraft core banking and ILMS products",agent,"Nelito runs a BPO and manpower division (a division head is named on the team page), which would trigger the cap-at-20 if BPO were the core. It plainly is not - core banking products, 480+ BFS clients and CMMI L3 dominate - so the cap was deliberately not applied. Digital-marketing wording comes from a product-marketing JD, not from services sold, so no agency cap either."
6,Priority,100,Verified,Nihilent Limited,Pune,nihilent.com,https://www.nihilent.com,,,,25,40,35,15,115,Cap total at 100,"PROVEN - 2023-06 snapshot advertising services, case studies and blogs dated 2019",3,2,7,88242,"JD: 'Knowledge of Azure DevOps' required across multiple listings | JD: 'design patterns, code reviews, and testing methodologies' | Site: CMMI maturity level claimed; ITIL/CMMI process work | JD: Selenium/Java automation frameworks, quality gates, DevOps orchestration",agent,"Two judgement calls. Tier A kept at 40 because Azure DevOps appears as a bare required skill in several listings, not only inside a CI/CD phrase. Compliance +10 awarded even though the crawl rendered the maturity level as a broken counter ('CMMI 0 Maturity Level') - the CMMI/ITIL wording is unambiguous, the number simply did not render. Headcount is unknown in the bundle; Nihilent is mid-size, not a >5000 giant, and is Pune-headquartered rather than a captive."
7,Priority,100,Verified,Ranosys Technologies Private Limited,Bikaner,ranosys.com,https://www.ranosys.com/global/,299,yes,Sushma Vyas (Managing Director & Chief Growth Officer),25,25,45,15,110,Cap total at 100,PROVEN - 2023-06 wayback shows eCommerce and Product Engineering pages,1,0,2,68386,"JD: 'Copado, GitHub Actions, Bitbucket Pipelines, Jenkins' for Salesforce CI/CD | JD: 'Apex unit tests with required code coverage' - enforced coverage gate | Site: 'ISO 27001 standards, strong governance frameworks' | Wayback 2023-06: eCommerce Marketplace and Product Engineering service pages",agent,"I chose not to apply the generalist-agency cap-at-30. There is one digital-marketing service line and one 'managed IT Services' phrase, but the positioning is overwhelmingly eCommerce, digital transformation and product engineering (9 prod_eng and 12 enterprise hits), so the marketing offer reads as an adjunct rather than the generalist bundle the cap targets. If you disagree with that read, this drops to 30 and becomes a Skip - it is the single most consequential judgement call in the batch. 299 people, ideal size."
8,Priority,100,Verified,Source Fuse Technologies India Pvt Ltd,Noida,sourcefuse.com,https://www.sourcefuse.com/,678,yes,Mandakini Ghai (Vice President - Sales APAC),25,40,35,18,118,Cap total at 100,PROVEN - 2023-06 snapshot advertising 'Product Engineering ... Internal Software & Systems',2,6,26,104961,"JD: 'Expertise in Azure DevOps (Pipelines, Repos, Boards)' | JD: 'code review processes and automated quality checks (Lint, SonarQube)' | JD: QA engineer owns 'release sign-off quality gates' across microservices | Site: owns ARC framework, ARC SaaS control plane, ARGUS QA agent",agent,"Numbers place it cleanly, but one acquisition-relevant note the score cannot carry: their flagship ARC accelerator is advertised as an 'open-source rapid deployment framework', so part of the codebase is already public. The revised rubric scores public repos zero, so no points were added or deducted - flagging it because the thesis is buying code that has never been public."
9,Priority,100,Verified,Sparx IT Solutions Pvt Ltd,Noida,sparxitsolutions.com,https://www.sparxitsolutions.com/,,,,25,40,25,20,110,Cap total at 100,"PROVEN - 2023-06 wayback advertises app/web development, 500+ customers",1,0,3,63209,"JD: 'git and/or git-flow, Bitbucket, JIRA, Confluence' - host plus branching | Wayback 2023-06: 'Leading App And Web Development Company', 500+ customers | Site: 'CI/CD Development... automated testing and deployment'; DevOps Automation line | JD: 'unit tests, preferably TDD and BDD'; site names quality-engineering team",agent,"Two overrides. jd.meets_tier_a is false, but the Bitbucket quote also names git-flow, which the rubric lists as a review gate, so I awarded the full +40 rather than +25. And the DQ_agency hits are all from Sparx's own Digital Marketing Head vacancy, not a service they sell clients, so I did not apply the cap-at-30; their published service menu is engineering only. HIPAA was dropped from Tier B because it describes client apps, not their own change control."
10,Priority,100,Verified,TO THE NEW Private Limited,Noida,tothenew.com,https://www.tothenew.com/,,,,25,20,50,20,115,Cap total at 100,PROVEN - 20220601 snapshot: 'Product Engineering and Digital Transformation Services',0,1,1,60708,"Wayback 2022: 'Product Engineering and Digital Transformation Services | TO THE NEW' | JD: 'conduct code reviews, and ensure adherence to architecture principles' | JD: 'Agile teams, using DevOps pipelines, Git, and CI/CD tools' | Whitepaper: 'Bitbucket to GitHub Migration Guide'; Nimbus test automation",agent,"Strongest all-round file in the batch and it overflows the scale at 115. Two judgements sit behind that: I awarded the +20 engineering-blog on the strength of a published 'Bitbucket to GitHub Migration Guide' plus a data-pipeline whitepaper, which is squarely VCS-workflow content; and I did not award full Tier A because Bitbucket appears in a whitepaper title, not in a job description, so the private-repo host is not JD-evidenced. Note the Bitbucket reference points at a migration away from it."
