name,city,website,domain
Wixford,,https://www.wixford.com/,wixford.com
ZAAG SYSTEMS,,https://zaagsys.com/,zaagsys.com
Door Soft Ltd.,,https://doorsoft.co/,doorsoft.co
Mediasoft Data Systems Limited,,https://mediasoftbd.com/,mediasoftbd.com
DataPollex,,https://www.datapollex.com/,datapollex.com
Bright Future Soft,,https://www.brightfuturesoft.com/,brightfuturesoft.com
CodersBucket,,https://codersbucket.com/,codersbucket.com
Web Xpress,,https://webxpress.com.bd/,webxpress.com.bd
TrillionBits Ltd.,,http://trillionbits.com/,trillionbits.com
BdCalling IT Limited,,https://bdcalling.com/,bdcalling.com
Arena Phone BD,,https://www.arena.com.bd/,arena.com.bd
Industrial ERP and CRM Software,,https://dotbook.com/,dotbook.com
Magnetism Tech Limited,,https://magnetismtech.com/,magnetismtech.com
Generation Next IT Solution LTD.,,https://gnisbd.com/,gnisbd.com
LS COMMUNICATIONS,,http://lscominc.com/,lscominc.com
Ascii System,,http://www.asciisys.com/,asciisys.com
Devute,,https://devute.com/,devute.com
Hypertek Labs,,https://hyperteklabs.com/,hyperteklabs.com
Infocrat Solutions Limited,,https://infocrat.com.bd/,infocrat.com.bd
Al-Hiyal Automation Limited,,https://alhiyal.com/,alhiyal.com
Pakiza Software Limited,,https://pakizasoftware.com/,pakizasoftware.com
Global IT Solutions,,http://globalitsolutions.com.bd/,globalitsolutions.com.bd
Infosoftbd Solutions,,https://infosoftbd.com/,infosoftbd.com
Acquaint Technologies,,https://acquaintbd.com/,acquaintbd.com
Vista SysTech,,https://vistasystech.com/,vistasystech.com
NG-CODER,,https://ng-coder.com/,ng-coder.com
Together Initiatives (p) Limited,,https://www.i2gether.com/,i2gether.com
LeanCore Technologies,,https://leancore.net/,leancore.net
PIISTECH,,https://www.piistech.com/,piistech.com
Sistema Soft Limited,,https://sistemasoft.com/,sistemasoft.com
IT Garden BD,,http://itgardenbd.com/,itgardenbd.com
Kolom Technologies Ltd.,,https://www.kolom.ai/,kolom.ai
Soft Aid Tech,,https://softaidtech.com/,softaidtech.com
The Tork,,https://thetork.com/,thetork.com
Smart Web BD,,https://smartwebbd.com/,smartwebbd.com
Nextzen Limited,,https://nextzen.com.bd/,nextzen.com.bd
Softineers,,https://softineers.com/,softineers.com
PinTechERP,,https://pintecherp.com/,pintecherp.com
Aisoft Agency,,https://aisoftagency.com/,aisoftagency.com
Insoftx,,https://www.insoftx.com/,insoftx.com
Patricius IT,,https://www.patriciusit.com/,patriciusit.com
SYNCHRONISE,,https://synchronisebd.com/,synchronisebd.com
ParonSoft Solutions Ltd.,,https://paronsoft.com/,paronsoft.com
Innovative Station Limited,,https://innovativestation.com/,innovativestation.com
CodeMoly,,https://codemoly.com/,codemoly.com
Quantumbyte Technologies,,https://quantumbytetech.com/,quantumbytetech.com
Feather IT,,https://featheruniverse.com/,featheruniverse.com
Snaptec Limited,,https://snaptec.ltd/,snaptec.ltd
E-Tracker Solution,,https://etrackersolution.com/,etrackersolution.com
Revinr,,https://revinr.com/,revinr.com
IPSITA COMPUTERS PTE LTD,,https://www.ipsitasoft.com/,ipsitasoft.com
Codeshaper,,https://codeshaper.net/,codeshaper.net
Innovera IT,,https://innoverait.com/,innoverait.com
AI Soft,,https://aisoft.com.bd/,aisoft.com.bd
Nogor Solutions Limited,,http://www.nogorsolutions.com/,nogorsolutions.com
BCI Technosys Limited,,https://bcitechsys.com/,bcitechsys.com
Appbuff,,https://appbuff.net/,appbuff.net
VerticaSoft,,https://verticasoft.com/,verticasoft.com
HRSOFTBD,,http://www.hrsoftbd.com/,hrsoftbd.com
Codes Break Ltd.,,https://codesbreak.com/,codesbreak.com
Leotech,,https://www.leotechbd.com/,leotechbd.com
IOTA Infotech Limited,,https://iotait.tech/,iotait.tech
Unova Software,,https://www.unova.bd/,unova.bd
Curlware,,https://curlware.com/,curlware.com
Axilweb Ltd.,,https://axilweb.com/,axilweb.com
MicroDeft,,https://microdeft.com/,microdeft.com
Azmi Studio,,https://azmistudio.com/,azmistudio.com
Iqrasys Solutions Limited,,https://iqrasys.com/,iqrasys.com
MM IT SOFT LTD.,,https://www.mmitsoft.com/,mmitsoft.com
Qodemart Limited,,https://qodemart.com/,qodemart.com
Workspace Infotech Ltd.,,https://www.workspaceit.com/,workspaceit.com
Software Solution Company,,https://softwaresolutioncompany.com/,softwaresolutioncompany.com
NextCTL,,https://nextctl.com/,nextctl.com
Taskco Digital,,https://www.taskcodigital.com/,taskcodigital.com
UTech Innovation,,https://utechinnovation.com/,utechinnovation.com
Subra systems,,http://subrasystems.com/,subrasystems.com
Touch and Solve,,http://touchandsolve.com/,touchandsolve.com
Anirban Soft,,https://anirbansoft.com/,anirbansoft.com
Nextfio IT,,https://nextfio.com/,nextfio.com
Anvil Dynamics Ltd.,,https://anvildynamics.xyz/,anvildynamics.xyz
aarsis Solutions,,https://aarsis.com/,aarsis.com
Glorious IT,,https://gloriousit.com/,gloriousit.com
Imperial Engineers Limited,,https://imperialengineersltd.com/,imperialengineersltd.com
Octarnal,,https://www.octarnal.com/,octarnal.com
Ridwa,,https://ridwa.com/,ridwa.com
Nevadia Technology Ltd.,,https://www.nevadiatechnology.com/,nevadiatechnology.com
Code Vane,,http://www.codevane.com/,codevane.com
MNP Techs,,https://mnptechs.com/,mnptechs.com
Artless Technology,,https://www.artlesstech.com/,artlesstech.com
Crystal IT,,http://www.crystalitbd.com/,crystalitbd.com
