name,city,website,domain
3i Infotech Ltd,Navi Mumbai,https://www.3i-infotech.com/,3i-infotech.com
4i Apps Solutions Pvt Ltd,Chennai,https://www.4iapps.com/,4iapps.com
4Seer Technologies Private Limited,Bengaluru,https://www.4seertechnologies.com/,4seer.cloud
5Sec Cyberpwn Technologies Private Limited,Bengaluru,https://www.cyberpwn.com,cyberpwn.com
7Seas Entertainment Ltd,Hyderabad,http://www.7seasent.com,7seasent.com
A & S Software Consultancy Private Limited,New Delhi,https://www.assoftwaregroup.com,assoftwaregroup.com
A-Factor Private Limited,Pune,https://afactor.ai,afactor.ai
A-Plus Tree Systems Private Limited,Indore,https://aplustreesystems.com/,aplustreesystems.com
AagatiServe Private Limited,Bengaluru,https://www.aagati.com,aagati.com
Aarete Technosoft Private Limited,Pune,https://www.aarete.com/,the3i.com
Aaseya IT Services Private Limited,Hyderabad,https://aaseya.com/,aaseya.com
Ably Soft Pvt Ltd,Mohali,https://www.ablysoft.com/,ablysoft.com
ABM Knowledgeware Ltd,Mumbai,https://www.abmindia.com,abmindia.com
Absyz Software Consulting Private Limited,Hyderabad,https://www.absyz.com,absyz.com
ACA Global Capability Center (India) Private Limited,Pune,https://www.acaglobal.com/,acaglobal.com
Acceleron Solutions Private Limited,Kolkata,https://acceleronsolutions.io/,acceleronsolutions.io
Accion Technologies Private Limited,Bengaluru,https://www.accionlabs.com/,accionlabs.com
Ace Urban Infocity Limited,Hyderabad,http://www.aceurban.com/,aceurban.com
Acentra Health Software India Private Limited,Chennai,https://acentra.com/,acentra.com
Acism Software Private Limited,Pune,https://acism.com,acism.com
Aclire Information Services Private Limited,New Delhi,https://www.aclire.com/,aclire.com
Acquisy Solutions Private Limited,Ahmedabad,https://www.acquisysolutions.com/,acquisysolutions.com
ACS Solutions (Guru Gowri Krupa Technologies Pvt Ltd),Hyderabad,https://innovasolutions.com/,innovasolutions.com
Adagrad Private Limited,Pune,https://www.adagrad.ai/,adagrad.ai
Adamas Tech Consulting Private Limited,Kolkata,https://adamastechconsulting.com/,adamastech.in
Adamma Info Services Private Limited,Bengaluru,https://www.adamma.in/,adamma.in
Adi Raheja and Co,Pune,https://yourarcteam.com,yourarcteam.com
Advaya Networks Private Limited,Gurugram,https://www.advayanet.ai,advayanet.ai
Advayan Technologies Private Limited,Bengaluru,https://www.advayan.com/,advayan.com
Advent Global Solutions Ltd,Hyderabad,https://adventglobal.com/,adventglobal.com
Aeonix Research and Innovations LLP,Kolkata,https://aeonixinnovations.com/,aeonixinnovations.com
Agaram Technologies Private Limited,Chennai,https://www.agaramtech.com,agaramtech.com
AgBe Technologies LLP,Gurugram,https://www.agbeindia.com,agbeindia.com
AgilizTech Software Services Private Limited,Bengaluru,https://www.agiliztech.ai/,agiliztech.com
Agno Talents Private Limited,Chennai,https://agnotalents.com/,agnotalents.com
Agrex Technologies Private Limited,Delhi,https://www.agrexai.com,agrexai.com
AGS Health Private Limited,Chennai,https://www.agshealth.com/,agshealth.com
Ahex Technologies Private Limited,Hyderabad,https://ahex.co/,ahex.co
AIRBNB Global Capability Centre Private Limited,Gurugram,https://www.airbnb.co.in/,airbnb.co.in
AiRo Digital Labs India Private Limited,Gurugram,https://airolabs.ai/,airodigitallabs.com
Akmin Technologies Pvt Ltd,Chennai,https://www.akmin.com/,akmin.com
Akzo Nobel Global Business Services LLP,Pune,https://www.akzonobel.com/en,akzonobel.com
Albatroz (India) Private Limited,Coimbatore,https://albatrozsolutions.com/,albatrozsolutions.com
Alcon Laboratories (India) Private Limited,Bengaluru,https://www.alcon.com/,alcon.com
Alexisoft Technologies Private Limited,Hyderabad,https://alexisoftech.com,alexisoftech.com
Alfa Laval India Private Limited,Pune,https://www.alfalaval.com/,alfalaval.com
Alfahive Private Limited,Bengaluru,https://www.alfahive.com/,alfahive.com
Algonomy Software Private Limited,Bengaluru,https://manthan.com/,manthan.com
Alight Services India Private Limited,Gurugram,https://www.alight.com,alight.com
AllCloud Enterprise Solutions Private Limited,Hyderabad,https://www.allcloud.in/,allcloud.in
Allegion India Private Limited,Bengaluru,https://www.allegion.com/corp/en/index.html,allegion.com
Alliantgroup India Talent Private Limited,Hyderabad,https://alliantglobal.com/,alliantgroup.com
Alpha Plus Technologies Pvt Ltd,Mumbai,https://alphaplustech.com/,alphaplustech.com
Alphaleo Technology Private Limited,Hyderabad,https://alphaleo.tech/,alphaleo.tech
Alumnus Software Limited,Kolkata,https://www.alumnux.com/,alumnux.com
Amadeus Software Labs India Pvt Ltd,Bengaluru,https://amadeus.com/en,amadeus.com
Amentum International Business Services Private Limited,Bengaluru,https://www.amentum.com,amentum.com
American Express India Pvt Ltd,Gurugram,https://www.americanexpress.com/en-in/,americanexpress.co.in
Ameriprise India LLP,Gurugram,https://www.ameriprise.com/,ameriprise.com
Amista Solutions India Private Limited,Hyderabad,https://www.amista.com/,amista.com
Amnex Infotechnologies Private Limited,Ahmedabad,https://amnex.com/,amnex.com
Amypo Technologies Private Limited,Coimbatore,https://amypo.ai/,amypo.com
Anand Rathi IT Private Limited,Mumbai,https://www.techanandrathi.com/,techanandrathi.com
Anant Atom Consultancy Private Limited,Navi Mumbai,https://atombuild.com,atombuild.com
Anant Softtech Pvt Ltd,Ahmedabad,http://www.anantsoftech.com,anantsoftech.com
Anibrain Digital Technologies Pvt Ltd,Pune,https://anibrain.com/,anibrain.com
Annova Solutions Private Limited,Indore,https://annovasolutions.com,annovasolutions.com
ANSR Global Corporation Private Limited,Bengaluru,https://ansr.com/,ansr.com
Anzen Technologies Private Limited,Mumbai,https://anzentech.com/,anzentech.com
APCO Worldwide (India) Private Limited,New Delhi,https://apcoworldwide.com/,apcoworldwide.com
Apconic Software Private Limited,Pune,https://www.apconic.com,apconic.com
Appac Mediatech Private Limited,Coimbatore,https://www.appacmedia.com/,appacmedia.com
Applied Software Pvt Ltd,Ahmedabad,https://www.wealthspectrum.com/,appliedcommerce.com
Applix Solutions Private Limited,Hyderabad,https://applix.ai/,applix.ai
AppSmartz,Mohali,https://www.appsmartz.com/,appsmartz.com
Apt Software Avenues Pvt Ltd,Kolkata,https://aptsoftware.com/,aptsoftware.com
Aptagrim Consulting Private Limited,Hyderabad,https://aptagrim.com/,aptagrim.com
Aptia Group India Private Limited,Mumbai,https://aptia-group.com/en-gb,aptia-group.com
AQM Technologies Private Limited,Mumbai,https://aqmtechnologies.com/,aqmtechnologies.com
