name,city,website,domain
AceVector limited,Gurugram,https://www.snapdeal.com/,snapdeal.com
Achala IT Solutions Private Limited,Hyderabad,https://www.achalasolutions.com/,achalasolutions.com
Acuiti Labs (India) Pvt Ltd,Pune,https://www.acuitilabs.com/,acuitilabs.com
AdGlobal360 India Private Limited,Gurugram,https://www.adglobal360.com,adglobal360.com
Adrenalin eSystems Ltd,Chennai,https://www.myadrenalin.com/,myadrenalin.com
AIM Education Private Limited,Kolkata,https://praxis.ac.in/,praxis.ac.in
AKS Information Technology Services Pvt Ltd,Noida,https://www.aksitservices.co.in/,aksitservices.co.in
Allegis Services (India) Private Limited (Actalent),Bengaluru,https://www.actalentservices.com/en-in,easi.com
Analytix Business Solutions (India) Private Limited,Ahmedabad,https://www.analytix.com/,analytix.com
Avaali Solutions Private Limited,Bengaluru,https://www.avaali.com/,avaali.com
AXISCADES Technologies Limited,Bengaluru,https://www.axiscades.com/,axiscades.com
CS Soft Solutions (India) Private Limited,Mohali,https://www.cssoftsolutions.com,cssoftsolutions.com
Inadev India Private Limited,Kolkata,https://www.inadev.com/,inadev.com
Kapil IT Solutions Private Limited,Hyderabad,https://kapilit.com/,kapilit.com
Object Technology Solutions India Private Limited,Hyderabad,https://otsi-global.com/,otsi.co.in
TLC Digitech Private Limited,New Delhi,https://www.tlcgroup.com/,tlcgroup.com
Oasys Tech Solutions Private Limited,Bhubaneswar,https://oasystspl.com,oasystspl.com
SAG Infotech Pvt Ltd,Jaipur,https://saginfotech.com/,saginfotech.com
