name,city,domain,website,headcount,prod_or_serv,agent_relevant,agent_confidence,what_they_do,founded_year,source_bucket,YOUR VERDICT,NOTES
CS Soft Solutions (India) Private Limited,Mohali,cssoftsolutions.com,https://www.cssoftsolutions.com,580,service,yes,high,offshore custom software and AI product engineering teams for enterprises,2009,software_dev,,
Analytix Business Solutions (India) Private Limited,Ahmedabad,analytix.com,https://www.analytix.com/,572,service,not yet judged,,,,software_dev,,
AdGlobal360 India Private Limited,Gurugram,adglobal360.com,https://www.adglobal360.com,500,service,yes,low,digital marketing agency that also builds client mobile apps,2009,software_dev,,
SAG Infotech Pvt Ltd,Jaipur,saginfotech.com,https://saginfotech.com/,419,product,yes,high,"own tax, GST, payroll and ROC filing software sold to CAs",1999,software_dev,,
AXISCADES Technologies Limited,Bengaluru,axiscades.com,https://www.axiscades.com/,385,mixed,not yet judged,,,,ambiguous,,
AceVector limited,Gurugram,snapdeal.com,https://www.snapdeal.com/,381,unclear,no,high,"online value ecommerce marketplace selling fashion, home and electronics",2010,ambiguous,,
Allegis Services (India) Private Limited (Actalent),Bengaluru,easi.com,https://www.actalentservices.com/en-in,378,service,not yet judged,,,,software_dev,,
TLC Digitech Private Limited,New Delhi,tlcgroup.com,https://www.tlcgroup.com/,363,both,yes,medium,hotel membership programs plus own membership/voucher tech platforms,,ambiguous,,
Achala IT Solutions Private Limited,Hyderabad,achalasolutions.com,https://www.achalasolutions.com/,350,mixed,not yet judged,,,2010,software_dev,,
Oasys Tech Solutions Private Limited,Bhubaneswar,oasystspl.com,https://oasystspl.com,346,service,yes,high,"mobile/web app, website and custom CRM development for government and corporates",2012,software_dev,,
Acuiti Labs (India) Pvt Ltd,Pune,acuitilabs.com,https://www.acuitilabs.com/,337,product,not yet judged,,,2015,software_dev,,
AIM Education Private Limited,Kolkata,praxis.ac.in,https://praxis.ac.in/,328,mixed,not yet judged,,,,ambiguous,,
Adrenalin eSystems Ltd,Chennai,myadrenalin.com,https://www.myadrenalin.com/,302,product,not yet judged,,,2002,software_dev,,
Avaali Solutions Private Limited,Bengaluru,avaali.com,https://www.avaali.com/,284,mixed,not yet judged,,,,ambiguous,,
Inadev India Private Limited,Kolkata,inadev.com,https://www.inadev.com/,281,both,yes,high,"digital engineering, identity intelligence and fraud detection builds for federal clients",,software_dev,,
Object Technology Solutions India Private Limited,Hyderabad,otsi.co.in,https://otsi-global.com/,275,service,yes,high,"custom application development, integration, QA engineering and test automation",1999,ambiguous,,
AKS Information Technology Services Pvt Ltd,Noida,aksitservices.co.in,https://www.aksitservices.co.in/,270,service,not yet judged,,,2006,ambiguous,,
Axium Global Private Limited,Mumbai,axiumglobal.com,https://www.axiumglobal.com/,267,mixed,not yet judged,,,2002,software_dev,,
Kapil IT Solutions Private Limited,Hyderabad,kapilit.com,https://kapilit.com/,252,both,yes,high,"custom applications, ERP and mobile development plus own vertical software products",2008,software_dev,,
