rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
1,10 Decoders Consultancy Services Private Limited,Chennai,1,https://10decoders.com/,10decoders.com,,,,
2,18North Systems Private Limited,Pune,1,https://www.18northsystems.com,18northsystems.com,,,,
3,18th Digitech Private Limited,Noida,1,http://www.18thtechnology.com,18thtechnology.com,,,,
4,3i Infotech Ltd,Navi Mumbai,1,http://www.3i-infotech.com,3i-infotech.com,,,,
5,4i Apps Solutions Pvt Ltd,Chennai,1,http://www.4iapps.com,4iapps.com,,,,
6,4Seer Technologies Private Limited,Bengaluru,1,https://4seer.cloud/,4seer.cloud,,,,
7,5Sec Cyberpwn Technologies Private Limited,Bengaluru,1,https://www.cyberpwn.com,cyberpwn.com,,,,
8,7Seas Entertainment Ltd,Hyderabad,1,http://www.7seasent.com,7seasent.com,,,,
9,A & S Software Consultancy Private Limited,New Delhi,1,http://www.assoftwaregroup.com,assoftwaregroup.com,,,,
10,A Square Group,Gurugram,1,https://asquaregroup.ai,asquaregroup.ai,,,,
11,A-Factor Private Limited,Pune,1,https://afactor.ai,afactor.ai,,,,
12,A-Plus Tree Systems Private Limited,Indore,1,http://www.aplustreesystems.com,aplustreesystems.com,,,,
13,A5E Consulting Private Limited,Mumbai,1,http://www.a5econsulting.com,a5econsulting.com,,,,
14,AagatiServe Private Limited,Bengaluru,1,https://www.aagati.com,aagati.com,,,,
15,AAP Global Capability Center LLP,Hyderabad,1,https://corp.advanceautoparts.com/home/default.aspx,corp.advanceautoparts.com,,,,
16,Aarav Global Products And Services Private Limited,Mumbai,1,https://www.aaravsoftware.com,aaravsoftware.com,,,,
17,Aarete Technosoft Private Limited,Pune,1,http://www.the3i.com,the3i.com,,,,
18,Aaseya IT Services Private Limited,Hyderabad,1,http://aaseya.com,aaseya.com,,,,
19,Abhinav Digicompsoft Services Private Limited,Pune,1,https://abhinavdcs.com/,abhinavdcs.com,,,,
20,Ably Soft Pvt Ltd,Mohali,1,http://www.ablysoft.com,ablysoft.com,,,,
21,ABM Knowledgeware Ltd,Mumbai,1,http://www.abmindia.com,abmindia.com,,,,
22,Absyz Software Consulting Private Limited,Hyderabad,1,http://www.absyz.com,absyz.com,,,,
23,ACA Global Capability Center (India) Private Limited,Pune,1,https://www.acaglobal.com/,acaglobal.com,,,,
24,Acceleron Solutions Private Limited,Kolkata,1,https://www.acceleronsolutions.io/,acceleronsolutions.io,,,,
25,Access Healthcare Services Pvt Ltd,Chennai,1,http://www.accesshealthcare.co,accesshealthcare.co,,,,
26,Accion Technologies Private Limited,Bengaluru,1,https://www.accionlabs.com/,accionlabs.com,,,,
27,Ace Urban Infocity Limited,Hyderabad,1,http://www.aceurban.com/,aceurban.com,,,,
28,Acentra Health Software India Private Limited,Chennai,1,https://www.acentra.com,acentra.com,,,,
29,AceVector limited,Gurugram,1,http://www.snapdeal.com,snapdeal.com,,,,
