name,city,website
Namma Office Private Limited,Salem,https://www.nammaoffice.com/
Prateek Natekar,Mohali,https://www.linkedin.com/in/prateek-natekar-4500786
Credessentials Services Private Limited,Bengaluru,https://credessentials.com
Global Screening Services (Bangalore) Private Limited,Bengaluru,https://www.globalscreeningservices.in/
Secure Source Surveillance Pvt Ltd,Secunderabad,https://sssplt.com/aboutus.html
ADA Digital Analytics Private Limited,Bengaluru,https://www.adaglobal.com/offices/india
BitGreen Technolabz (OPC) Private Limited,Gandhinagar,https://bitgreentechnolabz.com/
Avante Spaces Limited,Pune,https://www.avantespaces.com/
Havish M. Consulting,Delhi,https://www.havishmconsulting.com/
Nexteer Automotive India Private Limited,Bengaluru,http://www.nexteer.com
Rubiscape Private Limited,Pune,https://www.rubiscape.io/
Asista Software Solutions Private Limited,Bengaluru,https://www.asista.com
Transtrack Aeroservices Private Limited,Bhubaneswar,https://transtrack.co.in/
Emphora Soft Private Limited,Hyderabad,https://emphorasoft.com/
BDS Global Inc.,Ambala,http://info@bdsglobalinc.com
Keeves Technologies Private Limited,Kolkata,http://www.keevestechnologies.com
DHL Information Services (India) LLP,Chennai,https://www.dpdhl.com/en.html
Code Evolve And Excel Private Limited,Hyderabad,https://www.smartinterviews.in/
iamneo Edutech Private Limited,Coimbatore,https://iamneo.ai/
Provis Technologies Private Limited,Jaipur,https://provistechnologies.com
United Consultancy Services India Private Limited,Gurugram,https://unitedconsultancy.com/
Lloyds Offshore Global Services Private Limited,Hyderabad,https://www.lloydsbank.com/
Bhumi iTech Private Limited,Delhi,https://www.bhumiitech.com/
Outscalepartners India Private Limited,Gurugram,https://outscalepartners.com/
Circle K Business Centre India LLP,Gurugram,https://www.circlek.com/
Telemune Software Solutions Private Limited,Delhi,http://www.telemune.com/
Kripya Solutions Private Limited,Chennai,https://www.kripya.com
Ashley Furniture India Private Limited,Chennai,https://ashleyfurnitureindia.com/gcc
W Beyond (OPC) Private Limited,Hyderabad,https://wbeyond.co/
Cybrain Software Solutions Private Limited,Mohali,https://www.cybersolutionindia.com
Data Xgen Technologies Private Limited,Jaipur,https://www.xgenplus.com
Seaquid Technology India Private Limited,Kolhapur,http://www.seaquid.com
Inntot Technologies Private Limited,Kochi,https://www.inntot.com
EmbedSense Solutions Private Limited,Bengaluru,https://embedsense.com/
Acuver Consulting Private Limited,Delhi,http://www.acuverconsulting.com
Grindwell Norton Limited (INDEC),Mumbai,https://www.saint-gobain.co.in/indec
Wiz Digital Services Private Limited,Kolkata,https://www.wizcondigital.com/
Excellis IT Private Limited,Kolkata,https://www.excellisit.com/
Northern Tool & Equipment India LLP,Hyderabad,https://www.northerntool.com/
Researchwire Knowledge Solutions Private Limited,Navi Mumbai,https://www.researchwire.in/
Weir Minerals (India) Private Limited,Bengaluru,https://www.global.weir/
Nexenstial LLP,Hubli-Dharwad,https://nexenstial.com/
Indian Institute of Health Management Research,Bengaluru,https://iihmrbangalore.edu.in
Qubiqon Consulting India Private Limited,Cochin,https://www.qubiqon.io/
HCL Avitas Private Limited,Gautam Buddha Nagar,https://hclhealthcare.in/
Sankalp Technology Services,Vadodara,https://sankalptechnology.com/
Twinings Private Limited,Kolkata,https://www.twiningsindia.com
Applix Solutions Private Limited,Hyderabad,https://www.applix.ai
Gateway Internet Protocol Management Private Limited,Pune,https://www.sakon.com/
MMJS Dataphi Private Limited,Pune,https://dataphimmjs.com/
Datamorphosis Technologies Private Limited,Pune,http://www.datamorphosis.in
SIS Limited,Bengaluru,https://sisindia.com/
Ctrl S Datacenters Limited,Hyderabad,https://www.ctrls.com/
Techhalo Media and Operations Services LLP,Faridabad,https://www.neeev.ai/
Excelize AI Private Limited,Aurangabad,https://excelize.ai/#
Codeguardian Tech International Private Limited,Gautam Buddha Nagar,https://www.codeguardian.ai
Blue Santos Technologies Private Limited,Bengaluru,https://www.reachiso.com
Four Corners Technologies Private Limited,Bengaluru,https://www.smartdigitwin.com
BD Software Distribution Private Limited,Navi Mumbai,https://www.bdsoft.in/
Mettlesemi Systems And Technologies Private Limited,Bengaluru,https://www.mettlesemi.com
Genexa AI LLP,Pune,https://www.genexa.ai
Lytty Ventures Private Limited,Palakkad,https://www.lytty.com
BKV Learning Systems Private Limited,Pune,https://www.bkvls.com
Space Inventive Private Limited,Hyderabad,https://spaceinventive.com
SwaaS Systems Private Limited,Chennai,https://www.swaasitsolutions.com/
Spoorthi Hires Consulting Services Private Limited,Hyderabad,https://www.hiringhood.com/
CFO Bridge Services Private Limited,Chennai,https://www.cfobridge.com/
Knowy Infotech Private Limited,Gurugram,https://knowy.co.in
SRK Game Changers,Pune,https://www.linkedin.com/in/ramma-shivkumar-1a87922/
Shimento India LLP,Hyderabad,https://www.shimentox.ai/
InOrg Global India Private Limited,Pune,https://www.inorg.com
TLB & Co,Bengaluru,https://www.lodhabhatt.com
Falabella Corporate Services India Private Limited,Bengaluru,http://www.investors.falabella.com
Basal Analytics Private Limited,Bengaluru,https://basalanalytics.com/
Pure Storage India Private Limited,Bengaluru,https://www.purestorage.com/
ZingWorks LLP,Pune,https://www.zingworks.in/
Code Shastra Private Limited,Gurugram,https://www.codeshastra.com/
BPO Convergence Private Limited,Bhubaneswar,https://bpoconvergence.com/
