name,city,domain,website,agent_relevant,confidence,prod_or_serv,founded_year_site,founded_year_text,what_they_do,evidence,my_regex_said,YOUR VERDICT,NOTES
Aarete Technosoft Private Limited,Pune,the3i.com,https://www.aarete.com/,yes,low,both,2008,,management consulting with healthcare AI analytics engine and data platforms,"IntelliScan AI-powered analytics engine; create secure, integrated, performant solutions",ambiguous,,
AB Infoways,Bhubaneswar,abinfoways.com,http://abinfoways.com,yes,low,service,2005,2005,"IT infrastructure, networking, CCTV supplier with small website/software line","Software Solutions & Website Development listed among networking, CCTV, data centre supplies",ambiguous,,
AdGlobal360 India Private Limited,Gurugram,adglobal360.com,https://www.adglobal360.com,yes,low,service,2009,,digital marketing agency that also builds client mobile apps,Maruti Suzuki Rewards App... offers functionality to book service appointments,software_dev,,
Azalio Technologies Private Limited,Mohali,azalio.io,https://www.azalio.io/,yes,low,service,,,"telecom 5G OSS/BSS integration and automation, cloud, security, staffing","Expert Integration, Automation... AI-Driven Automation, Multi-Vendor Integration",software_dev,,
Cheric Information Network Technologies Private Limited,Hyderabad,cherictechnologies.com,https://cherictechnologies.com/,yes,low,unclear,2012,,"IT staffing, digital marketing, ITES, engineering support, QA services","IT Products, Quality Management Systems... QA Se[rvices]; application engineering support",software_dev,,
ESF Labs Limited,Hyderabad,esflabs.com,https://www.esflabs.com/,yes,low,both,2014,2014,cybersecurity and digital forensics consulting with own USB-monitoring and kiosk tools,ESF Labs products enable cyber security & digital forensics solutions. UAM Tool,ambiguous,,
GBSM Consulting Pvt. Ltd. (Business Brio Division),Kolkata,businessbrio.com,https://www.businessbrio.com/,yes,low,service,2013,,"custom AI, ML and analytics solutions for BFSI, telecom, manufacturing",Delivering Measurable Business Impact through Custom AI Solutions; proven accelerators,ambiguous,,
HICS Technologies India Private Limited,Hyderabad,hics.com.sg,https://hics.com.sg/,yes,low,service,2015,2015,"SAP implementation, application and infrastructure management, staff augmentation",everyone implements SAP; Application & Infrastructure end-to-end management; Staff Augmentation,ambiguous,,
KPIT Technologies Ltd,Pune,kpit.com,https://www.kpit.com/,yes,low,unclear,,,"cannot determine; scraped page returned binary garbage, needs human check","text is unreadable binary/encoding garbage, no legible business description present",ambiguous,,
Kyndryl Solutions Private Limited,Bengaluru,kyndryl.com,https://www.kyndryl.com/in/en,yes,low,service,,,"mission-critical IT operations, data centre outsourcing, some modernization engineering","""agentic modernization"", ""policy as code""; but recognitions are data centre outsourcing, hybrid cloud",ambiguous,,
Pinnacle Infotech Solutions,Kolkata,pinnaclecad.com,https://pinnacleinfotech.com/,yes,low,unclear,,,"cannot determine; scraped page returned binary garbage, needs human check","text is unreadable binary/encoding garbage, no legible business description present",ambiguous,,
PromptTech Global Private Limited,Trivandrum,prompttechsolutions.com,https://prompttechsolutions.com/,yes,low,unclear,2016,,"enterprise solutions bundling software, hardware, insurance and business support","fusing Software, Hardware, Enterprise Insurance, and Business Support into a single framework",software_dev,,
Softude Infotech Private Limited,Indore,systematixinfotech.com,https://www.softude.com/,yes,low,unclear,,,"unknown; scraped page returned unreadable binary, needs human check","text is corrupted binary/compressed output, no readable content to judge",ambiguous,,
SRR CloudExpertsGuru India Private Limited,Hyderabad,cloudexpertsguru.com,https://cloudexpertsguru.com/,yes,low,service,2021,,"cloud migration, DevOps/IaC, data pipeline engineering and security consulting",Legacy Modernization; ETL & Data Pipeline Design; Infrastructure as Code (Terraform),software_dev,,
Taashee Linux Services Private Limited,Hyderabad,taashee.com,https://taashee.com/?ref=logo,yes,low,service,2007,,"open-source IT services, cloud consulting, offshore development, IT staffing","Our Solutions: Offshore Development, Application Management; but largest Red Hat India partner",software_dev,,
Vertex Offshore Services Pvt Ltd,Hyderabad,vertexcs.com,https://vertexcs.com/,yes,low,service,2001,,"Salesforce and Microsoft implementation, data analytics, contract staffing",Salesforce implementation; Microsoft tools and technologies; Contract Staffing; 1000+ digital projects,software_dev,,
William O'Neil India Private Limited,Bengaluru,williamoneilindia.com,https://williamoneilindia.com/,yes,low,unclear,,,equity research; builds stock-screening interfaces and proprietary ranking algorithms,track over 70000 stocks globally and create user interfaces and trade metrics,ambiguous,,
Xponential Systems Private Limited,Chennai,xponential.digital,https://xponential.digital/,yes,low,service,,,digital transformation consulting and low-code application development,page title only: Digital Transformation Consulting & Low Code App Development; body is CSS boilerplate,ambiguous,,
10 Decoders Consultancy Services Private Limited,Chennai,10decoders.com,https://10decoders.com/,yes,high,both,2015,,"builds production AI agents, legacy modernization, own vision-AI product",Agent design and build: production-grade agents on our Rapid Agent Builder framework,software_dev,,
AgilizTech Software Services Private Limited,Bengaluru,agiliztech.com,https://www.agiliztech.ai/,yes,high,service,,,"builds AI-native products, agents and MLOps platforms for clients",End-to-end development of AI-native products—from discovery and MVPs to scalable platforms,software_dev,,
Amypo Technologies Private Limited,Coimbatore,amypo.com,https://amypo.ai/,yes,high,product,,,DotLab coding-lab SaaS platform for universities and placement training,"DotLab... Our platform... automated grading, LMS sync, browser-based coding IDE",ambiguous,,
Arcesium India Private Limited,Hyderabad,arcesium.com,https://www.arcesium.com,yes,high,product,2015,,sells investment data and operations SaaS platforms to financial firms,Opterra is the front-to-back platform... cloud-native investment management platform,software_dev,,
ASPECT Integrated IT Pvt Ltd,Nagpur,aspectiit.co.in,https://aspectiit.co.in/,yes,medium,service,2009,2009,"web/app development plus e-governance, HR outsourcing and compliance services",Digital Marketing Agency & Software Development Company; Software Development & E-governance services,software_dev,,
Astounding Healthtech Private Limited,Bengaluru,revealhealthtech.com,https://revealhealthtech.com/,yes,high,service,,,"builds healthcare AI, interoperability and digital products for clients","They developed a mobile-first application; design, architect, build... applications on AWS",ambiguous,,
