rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
1,10 Decoders Consultancy Services Private Limited,Chennai,1,https://10decoders.com/,10decoders.com,,,,
13,A5E Consulting Private Limited,Mumbai,1,http://www.a5econsulting.com,a5econsulting.com,,,,
25,Access Healthcare Services Pvt Ltd,Chennai,1,http://www.accesshealthcare.co,accesshealthcare.co,,,,
37,Actualize Consulting Engineers (India) Private Limited,Bengaluru,1,https://actualize.co.in/,actualize.co.in,,,,
49,Adient India Private Limited,Pune,1,http://www.adient.com,adient.com,,,,
61,Agility E Services Private Limited,Hyderabad,1,http://www.agility.com,agility.com,,,,
73,AITOBI Technologies Private Limited,Hyderabad,1,https://aitobi.co/,aitobi.co,,,,
85,Algorithms Software Pvt Ltd,Mumbai,1,http://www.algosoftware.com,algosoftware.com,,,,
97,Almamate Info Tech Pvt Ltd,Noida,1,http://www.almamate.in,almamate.in,,,,
109,Amgen Technology Private Limited,Hyderabad,1,https://wwwext.amgen.com/,wwwext.amgen.com,,,,
121,ANKO GCC (India) Private Limited,Bengaluru,1,https://ankogcc.com/,ankogcc.com,,,,
133,Apollo India Services LLP,Mumbai,1,http://www.apollo.com,apollo.com,,,,
145,aQb Solutions Private Limited,Kolkata,1,https://www.aqbsolutions.com/,aqbsolutions.com,,,,
157,Artha Data Solutions India Private Limited,Hyderabad,1,http://www.thinkartha.com,thinkartha.com,,,,
169,Ashley Furniture India Private Limited,Chennai,1,https://ashleyfurnitureindia.com/gcc,ashleyfurnitureindia.com,,,,
181,ATC India Infrastructure Private Limited,Gurugram,1,https://www.americantower.com,americantower.com,,,,
193,AUI Systems Private Limited,Delhi,1,https://auisys.com,auisys.com,,,,
205,Avalara Technologies Private Limited,Pune,1,https://www.avalara.com,avalara.com,,,,
217,Axium Global Private Limited,Mumbai,1,http://www.axiumglobal.com,axiumglobal.com,,,,
229,Barclays Global Service Centre Private Limited,Pune,1,http://www.barclays.com,barclays.com,,,,
241,BCE Global Technology Centre Private Limited,Bengaluru,1,https://www.bceglobaltech.com/,bceglobaltech.com,,,,
253,Bestfit Business Solutions Pvt Ltd,Mumbai,1,http://www.bestfitsolutions.co.in,bestfitsolutions.co.in,,,,
265,Bits In Glass India Private Limited,Pune,1,https://bitsinglass.com/,bitsinglass.com,,,,
277,Blue Yonder India Private Limited,Hyderabad,1,http://www.manu.com,manu.com,,,,
289,Botminds AI Technologies Private Limited,Chennai,1,http://www.botminds.ai,botminds.ai,,,,
301,Broadridge Financial Solutions (India) Pvt Ltd,Hyderabad,1,http://www.broadridge.com,broadridge.com,,,,
313,Caftius Technologies Private Limited,Chennai,1,http://www.caftius.com,caftius.com,,,,
325,Caprus IT Private Limited,Hyderabad,1,http://www.caprusit.com,caprusit.com,,,,
337,CDM Smith Global Services India LLP,Bengaluru,1,https://www.cdmsmith.com/,cdmsmith.com,,,,
349,Cetark Solutions Private Limited,Mohali,1,https://www.cetark.com/,cetark.com,,,,
361,CI Global Technologies Pvt Ltd,Chennai,1,http://www.ciindia.com,ciindia.com,,,,
373,CitiusTech Healthcare Technology Pvt Ltd,Mumbai,1,http://www.citiustech.com,citiustech.com,,,,
385,CLSA Technology & Services LLP,Pune,1,http://www.clsa.com,clsa.com,,,,
