name,city,website,domain
Caprus IT Private Limited,,https://www.caprusit.com/,caprusit.com
Gadgeon Smart Systems Pvt Ltd,,https://www.gadgeon.com/,gadgeon.com
Nelito Systems Private Limited,,https://www.nelito.com,nelito.com
Nihilent Limited,,https://www.nihilent.com,nihilent.com
Covalense Technologies Private Limited,,https://www.covalenseglobal.com/,covalenseglobal.com
Infomerica (INDIA) Private Limited,,https://www.infomericainc.com/,infomericainc.com
Opcito Technologies Private Limited,,https://www.opcito.com/,opcito.com
Talentas Technology Private Limited,,https://www.talentas.in/,talentas.in
Bebo Technologies Pvt Ltd,,http://www.bebotechnologies.com,bebotechnologies.com
Paltech Consulting Private Limited,,https://www.pal.tech/,pal.tech
Sinergia Media Labs Private Limited,,https://www.simelabs.com/,simelabs.com
Sumanas Technologies Private Limited,,https://www.sumanastech.com/,sumanastech.com
Heera Software Private Limited,,https://heerasoftware.com/,heerasoftware.com
Lexplosion Solutions Pvt Ltd,,https://lexplosion.in/,lexplosion.in
Venkanna Software Services Private Limited,,https://www.amplelogic.com/,amplelogic.com
DataFoundry Private Limited,,https://datafoundry.ai/,datafoundry.ai
EasyStepIn IT Services Private Limited,,https://easystepin.com/,easystepin.com
Exclusive-OR (XOR) Labs Private Limited,,https://xorlabs.com/,xorlabs.com
Nuvento Systems Private Limited,,https://nuvento.com/,nuvento.com
Quad One Technologies Private Limited,,https://www.quadone.com/,quadone.com
Rysun Labs Private Limited,,https://www.rysun.com/,rysun.com
Softlabs Technologies & Development Private Limited,,https://www.softlabsgroup.com,softlabsgroup.com
Sparity Soft Technologies Private Limited,,https://www.sparity.com/,sparity.com
Wallero Technologies Private Limited,,https://wallero.com/,wallero.com
CaliberFocus Business Solutions Private Limited,,https://caliberfocus.com/,caliberfocus.com
Contata Solutions Private Limited,,https://www.contata.com/,contata.com
Perigeon Software Private Limited,,https://perigeon.com,perigeon.com
Prorigo Software Pvt Ltd,,https://www.prorigo.com/en,prorigosoftware.com
AgBe Technologies LLP,,https://www.agbeindia.com,agbeindia.com
Navigators Software Pvt Ltd,,https://www.thenavsoft.com/,navsoft.in
Neurealm Private Limited,,https://www.neurealm.com/,neurealm.com
Skyach Software Solutions Pvt Ltd,,https://skyach.com/,skyach.com
Zediant Technologies Private Limited,,https://www.zediant.com/,zediant.com
Cybertech Systems and Software Ltd,,https://cybertech.com/,cybertech.com
NuCore Software Solutions Pvt Ltd,,https://www.nucore.in,nucore.in
Alumnus Software Limited,,https://www.alumnux.com/,alumnux.com
InitiateFirst Information Services Private Limited,,https://www.initiatefirst-is.com/,initiatefirst-is.com
Knot Solutions Pvt Ltd,,https://knotsolutions.com/,knotsolutions.com
Mouri Tech Limited,,https://www.mouritech.com,mouritech.com
PurpleTalk India Pvt Ltd,,https://purpletalk.com/,purpletalk.com
Techcronus Business Solutions Private Limited,,https://www.techcronus.com/,techcronus.com
Testrig Technologies Private Limited,,https://www.testrigtechnologies.com,testrigtechnologies.com
5Sec Cyberpwn Technologies Private Limited,,https://www.cyberpwn.com,cyberpwn.com
Accion Technologies Private Limited,,https://www.accionlabs.com/,accionlabs.com
Belinnov Solutions Private Limited,,https://belinnov.com/,belinnov.com
Drish Infotech Limited,,https://drishinfo.com/,drishinfo.com
Optimum Infosystem Private Limited,,https://theoptimum.net/,theoptimum.net
Salt Web Technologies Private Limited,,https://www.salttechno.com,salttechno.com
Soft Suave Technologies Private Limited,,https://www.softsuave.com/,softsuave.com
Diaspark Infotech Pvt Ltd,,https://diaspark.com/,diaspark.com
Ishttaa TechCraft Private Limited,,https://ishttaa.com/,ishttaa.com
Luminous Infoways Private Limited,,https://luminousinfoways.com/,luminousinfoways.com
Synconics Technologies Private Limited,,https://www.synconics.com,synconics.com
Codelogicx Technologies Private Limited,,https://www.codelogicx.com/,codelogicx.com
Entiovi Technologies Private Limited,,https://entiovi.com/,entiovi.com
Entrans Technologies Private Limited,,https://www.entrans.ai/,entrans.io
MetaSys Software Private Limited,,https://www.metasyssoftware.com/,metasyssoftware.com
QR Solutions (India) Private Limited,,http://qrsolutions.in/,qrsolutions.in
Trigent Software Limited,,https://trigent.com/,trigent.com
Automaton AI Infosystem Private Limited,,https://automatonai.com/,automatonai.com
Congruent Info-Tech Pvt Ltd,,https://www.congruentsoft.com/,congruentindia.com
Consint Solutions Private Limited,,https://consint.ai/,consint.ai
Data Xgen Technologies Private Limited,,https://www.xgenplus.com,xgenplus.com
Inspirisys Solutions Limited,,https://www.inspirisys.com,inspirisys.com
Kovaion Consulting India Pvt Ltd,,https://www.kovaion.com,kovaion.com
Mundrisoft Solutions Private Limited,,https://mundrisoft.com/,mundrisoft.com
Notetech Software,,https://www.notetech.com/,notetech.com
Rigel Networks Pvt Ltd,,https://www.rigelnetworks.com/,rigelnetworks.com
TQuanta Technologies Private Limited,,https://www.tquanta.com/,tquanta.com
WhizHack Technologies Private Limited,,https://whizhack.com/,whizhack.com
Aquasoft Software India Private Limited,,https://www.aquasoft.ro,aquasoft.ro
EWall Solutions Private Limited,,https://ewallsolutions.com,ewallsolutions.com
RITWIK IT Services Private Limited,,https://www.ritwikinfotech.com/,ritwikinfotech.com
Rudhra Info Solutions,,https://rudhrainfosolutions.com/,rudhrainfosolutions.com
Seneca Global IT Services Pvt Ltd,,https://www.senecaglobal.com/,senecaglobal.com
Sinnonteq IT Consulting LLP,,https://sinnonteq.com/,sinnonteq.com
Suyog Computech Pvt Ltd,,https://www.suyogcomputech.com/,suyogindia.com
Tart Labs,,https://www.tartlabs.com/,tartlabs.com
ZeroCodeHR LLP,,https://zerocodehr.com/,zerocodehr.in
TestingXperts Private Limited,,https://www.testingxperts.com/,testingxperts.com
Xeedo Technologies Private Limited,,https://xeedo.in/,xeedo.in
Criticalriver Technologies Private Limited,,https://www.criticalriver.com/,criticalriver.com
KTree Computer Solutions India Pvt Ltd,,https://ktree.com/,ktree.com
Aress Software & Education Technologies Private Limited,,https://www.aress.com/,aress.com
CyberSRC Consultancy Private Limited,,https://www.cybersrcc.com/,cybersrcc.com
GIEOM Business Solutions Private Limited,,https://www.gieom.com/,gieom.com
Intense Technologies Ltd,,https://www.in10stech.com/,in10stech.com
ASCP GPUonCloud Private Limited,,https://ecctechnologies.ai/,expertcloudconsulting.com
Fluentgrid Limited,,https://fluentgrid.com/,fluentgrid.com
Inno Valley Works Private Limited,,https://innovalleyworks.com/,innovalleyworks.com
RunDTC Digital India Private Limited,,https://www.rundtc.com/,rundtc.com
StratLytics Consulting Private Limited,,https://www.stratlytics.com/,stratlytics.com
