domain,name,source,pre2024_prepass,pre2024_basis,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,jd_evidence,contact_name,contact_title,contact_linkedin,identity_status,crawl_needs
techexactly.com,Tech Exactly,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,,,,identity_pending,wayback+homepage+careers
promaticsindia.com,Promatics Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2008,,,,,,,,,identity_pending,wayback+homepage+careers
ajackus.com,Ajackus,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2011,,,,,,,,,identity_pending,wayback+homepage+careers
zerone-consulting.com,Zerone Consulting,goodfirms+nasscom,SOURCE_STATED_ONLY,goodfirms_founded:2004,,,,,,,,,identity_pending,wayback+homepage+careers
reckonsys.com,Reckonsys Tech labs Private Limited,goodfirms+nasscom,SOURCE_STATED_ONLY,nasscom:PROVEN; goodfirms_founded:2015,6825,0,0,0,pre-2024: proven | site mentions cicd,,,,identity_pending,wayback+homepage
vitinfotech.com,VIT,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2001,,,,,,,,,identity_pending,wayback+homepage+careers
aguaisolutions.com,Aguai Solutions Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,,,,identity_pending,wayback+homepage+careers
mayuraconsultancy.com,Mayura Consultancy Services (MCS),goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,,,,identity_pending,wayback+homepage+careers
emizentech.com,Emizen Tech Pvt Ltd,goodfirms+nasscom,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,,,,identity_pending,wayback+homepage+careers
zerozilla.com,Zerozilla,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,,,,identity_pending,wayback+homepage+careers
trudosys.com,Trudosys,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2023,,,,,,,,,identity_pending,wayback+homepage+careers
aspiresoftwareconsultancy.com,Aspire Software Consultancy,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2007,,,,,,,,,identity_pending,wayback+homepage+careers
userfacet.com,Userfacet,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2009,,,,,,,,,identity_pending,wayback+homepage+careers
ionicfirebaseapp.com,IONICFIREBASE,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
galaxyweblinks.com,Galaxy Weblinks,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1998,,,,,,Vikram Jain,Managing Director,https://www.linkedin.com/in/vikram-jain-galaxy,identity_full,wayback+homepage+careers
zethic.com,Zethic Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,,,,identity_pending,wayback+homepage+careers
krazimo.ai,Krazimo Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2023,,,,,,,,,identity_pending,wayback+homepage+careers
webosmotic.com,WebOsmotic Pvt. Ltd.,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,,,,identity_pending,wayback+homepage+careers
mobileapptelligence.com,Mobile Apptelligence,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2004,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
sodio.tech,Sodio Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,Kent Masang,Vice President Of Strategic Sales,https://www.linkedin.com/in/kent-masang-1bba01144,identity_full,wayback+homepage+careers
appmocx.com,Appmocx Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
mcbirdtechnologies.com,McBird Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
roarsinc.com,Roars Technologies Pvt. Ltd.,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2005,,,,,,Muhammad Aamir Tauni,Senior Graphic Designer,https://www.linkedin.com/in/muhammad-aamir-tauni-8594861a4,identity_full,wayback+homepage+careers
avgisolutions.com,AVGI Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2008,,,,,,Sudhindra Venkatarao,Director Global Sales,https://www.linkedin.com/in/sudhindra-venkatarao-82092a1a,identity_full,wayback+homepage+careers
indatalabs.com,InData Labs,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,Artem Terentyuk,Director of Artificial Intelligence and Data Science,https://www.linkedin.com/in/artem-terentyuk-99b6b573,identity_full,wayback+homepage+careers
v2soft.com,V2Soft Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1988,,,,,,,,,identity_pending,wayback+homepage+careers
wisdomleaf.com,Wisdomleaf Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2003,,,,,,,,,identity_pending,wayback+homepage+careers
mofosys.com,Mofosys Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
netsqure.com,Netsqure Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
ombrulla.com,Ombrulla,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2022,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
itcinfotech.com,ITC Infotech,goodfirms+nasscom,SOURCE_STATED_ONLY,goodfirms_founded:2000,,,,,,,,,identity_pending,wayback+homepage+careers
posibolt.com,Posibolt Solutions Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2008,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
vdhosts.com,VD Hosts,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,,,,identity_pending,wayback+homepage+careers
recro.io,Recrosoft Technologies Pvt. Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2012,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
