source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,pre2024_grade,pre2024_evidence,pre2024_confidence,dev_wording,dev_quote,qa_only,owned_ip,ownip_quote,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_quote,extraction_verified,contact_name,contact_title,contact_linkedin,identity_status,hc_num,score,years_active,domain_age_key,lane_reason
nasscom,Jaydu India Private Limited,Hyderabad,https://jaydu.com/,jaydu.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2007-12-17; nasscom_harvest=nasscom:PROVEN; wayback=20230607,Verified,1,Jaydu Skip to content Home About Us Services Product Engineering Mechanical Engineering Em,0,1,d to drive innovation and efficiency across your product lifecycle. Product Engineering Tr,889960,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,70,19,2007-12-17,zero signals unverified after re-crawl
nasscom,GrayCell Technologies Exports,Chandigarh(CH),http://www.graycelltech.com,graycelltech.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2001-04-28; nasscom_harvest=nasscom:PROVEN; wayback=20230606,Verified,1,"Analytics Cloud, Chatbot &amp; IoT Solutions Product Engineering Generative AI Solutions M",0,1,"ntend HTML, CSS, JavaScript See all projects Our Products My Workout GPT Controls Manager ",194758,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,70,25,2001-04-28,zero signals unverified after re-crawl
goodfirms+nasscom,Fingent,"Kochi, India",https://www.fingent.com,fingent.com,2003,250+,250+,,False,True,False,PROVEN_EQUIV,goodfirms_founded=2003; nasscom_harvest=nasscom:PROVEN; goodfirms_founded:2003; wayback=20230601,Verified,1,ch for: Toggle navigation MENU MENU Services Software Development Custom Software Developm,0,1,0 Schedule 4.5 Cost 4.0 Willing to Refer 5.0 Our Products A People Development Platform th,158511,0,0,0,0,pre-2024: proven | site mentions cicd | site mentions compliance,False,,,,identity_pending,300,70,23,2003,zero signals unverified after re-crawl
nasscom,Freyr Software Services Pvt Ltd,Hyderabad,http://www.freyrsolutions.com,freyrsolutions.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2011-05-04; nasscom_harvest=nasscom:PROVEN; wayback=20230602,Verified,1,ns Competitive Generic Therapies Designation Product Development Strategy for Generic Drug,0,1,istency across markets. Freyr’s knowledge of our products and Regulatory needs in differen,149638,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,70,15,2011-05-04,zero signals unverified after re-crawl
nasscom,Eminence Internet Technology Private Limited,Ludhiana,https://www.eminencetechnology.com/,eminencetechnology.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2008-09-16; nasscom_harvest=nasscom:UNKNOWN; wayback=20230522,Verified,1,) --> Innovative Product Development Solution | Eminence Technology MENU --> AI C,0,1,"wall of client logos. We&rsquo;ll show you four products we funded, built from zero, and s",132205,0,0,0,0,pre-2024: unknown | site mentions cicd | site mentions compliance,False,,,,identity_pending,,70,18,2008-09-16,zero signals unverified after re-crawl
goodfirms+nasscom,Cybage Software,"Pune, India",https://www.cybage.com,cybage.com,1995,250+,250+,,False,True,False,PROVEN_EQUIV,goodfirms_founded=1995; rdap=1997-09-29; nasscom_harvest=nasscom:UNKNOWN; goodfirms_founded:1995; wayback=20230607,Verified,1,Digital Product Engineering and Outsourced IT Services | Technology Cons,0,1,"r unparalleled service lies ExcelShore®, our in-house platform that transforms the deliver",128146,0,0,0,0,pre-2024: unknown | site mentions cicd,False,,,,identity_pending,300,70,29,1997-09-29,zero signals unverified after re-crawl
nasscom,Zelar Soft Private Limited,Hyderabad,https://www.zelarsoft.com/,zelarsoft.com,,,resolved:234,234,False,True,False,PROVEN_EQUIV,rdap=2017-02-05; copyright_footer=2023; nasscom_harvest=nasscom:PROVEN - 2023-06 wayback shows p; wayback=20230530,Verified,1,nsulting and licensing kubernetes consulting product engineering Observability with open s,0,1,te and transform their businesses. Read More Our products Klusternetes most advanced platf,127158,0,0,0,0,"JD 'Bitbucket/Jenkins/Git' hits are FontAwesome CSS classes, not text | Site: 'GitOps... c",False,Vasu Maganti,CEO,https://www.linkedin.com/in/vasu-maganti,identity_full,234,70,9,2017-02-05,zero signals unverified after re-crawl
nasscom,Pegasystems Worldwide India Pvt Ltd,Hyderabad,http://www.pega.com,pega.com,,,,,True,False,False,EXISTED_2COR,rdap=2000-01-08; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20230602,Verified,0,,0,1,enablement resources PegaWorld Register for our flagship event My Pega Manage your organiz,124961,0,0,0,0,pre-2024: existed no sw wording | site mentions cicd,False,,,,identity_pending,,70,26,2000-01-08,zero signals unverified after re-crawl
nasscom,Omega Healthcare Management Services Private Limited,Chennai,http://www.omegahms.com,omegahms.com,,,,,True,False,False,EXISTED_2COR,rdap=2003-09-10; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20230530,Verified,0,,0,1,ent as the industry rapidly evolves. Explore Our Platform Discover Our Clinical Mindset Sk,118290,0,0,0,0,pre-2024: existed no sw wording,False,,,,identity_pending,,70,23,2003-09-10,zero signals unverified after re-crawl
nasscom,Imagination Technologies (India) Private Limited,Pune,https://www.imaginationtech.com,imaginationtech.com,,,,,True,False,False,EXISTED_2COR,rdap=1998-11-08; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING: 2023-06 a; wayback=20230601,Verified,0,,0,1,Tracing Functional Safety Software Solutions Our Product Series E-Series GPU D-Series GPU ,92038,0,0,0,0,name and site: Pune arm of UK GPU IP vendor Imagination | site_quotes.owns_product: E-Seri,False,,,,identity_pending,,70,28,1998-11-08,zero signals unverified after re-crawl
