source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
goodfirms,EI Design Pvt Ltd,"Bengaluru, India",https://www.eidesign.net/,eidesign.net,1999,10-49,10-49,,False,False,False,redirects to https://www.liberateglobal.com/
goodfirms,GSUS STAR SOFTWARE SOLUTIONS PRIVATE LIMITED,"Bengaluru, India",https://gsussoftware.in,gsussoftware.in,2023,10-49,10-49,,False,False,False,redirects to https://gsussoftwares.com/
goodfirms,Avercast Infotech,"Pune, India",https://www.avercast.in,avercast.in,2020,10-49,10-49,,False,False,False,redirects to https://transimpact.com/
goodfirms,1E9 Advisors,"Pune, India",https://1e9advisors.com/,1e9advisors.com,2017,10-49,10-49,,False,False,False,redirects to https://enine.com/
goodfirms,Optical Arc Pvt. Ltd,"Pune, India",https://opticalarc.com/,opticalarc.com,2020,10-49,10-49,,False,False,False,redirects to https://amin100.id/
goodfirms+nasscom,KloudPortal,"Hyderabad, India",https://www.kloudportal.com,kloudportal.com,2014,10-49,10-49,,False,False,False,redirects to https://kloudportal.ai/
goodfirms,Flivv Web Development Pvt Ltd,"Hyderabad, India",https://www.flivv.com,flivv.com,2012,10-49,10-49,,False,False,False,redirects to https://flivvdevelopers.com/
goodfirms,Pinite Info Solutions Pvt.Ltd,"Hyderabad, India",https://piniteinfo.com/,piniteinfo.com,2012,10-49,10-49,,False,False,False,redirects to https://expireddomains.com/domain/piniteinfo.com?utm_source=
goodfirms,Zcodeo LLP,"Jaipur, India",http://www.zcodeo.com/,zcodeo.com,2012,250+,250+,,False,True,False,redirects to https://greenimax.com/
goodfirms,Syon Infomedia,"Jaipur, India",http://www.syoninfomedia.com/,syoninfomedia.com,2011,50-249,50-249,,False,False,False,redirects to https://datasith.io/
goodfirms,A2zfame,"Jaipur, India",https://www.a2zfame.com/,a2zfame.com,2014,10-49,10-49,,False,False,False,redirects to https://roadtolpg.com/
goodfirms,Plusone Technologies Pvt Ltd,"Gurgaon, India",https://plusonetech.co/,plusonetech.co,2020,10-49,10-49,,False,False,False,redirects to https://www.fuzeshapes.com/
goodfirms,Wesence,"Delhi, India",https://www.wesence.com/,wesence.com,2013,10-49,10-49,,False,False,False,redirects to https://wesence.ai/
goodfirms,ALC InfoTech,"Delhi, India",http://alcinfotech.com/,alcinfotech.com,2020,10-49,10-49,,False,False,False,redirects to https://migrenabrno.cz/
goodfirms,Yellow Sapphire Technologies,"Delhi, India",https://www.yellowsapphiretech.com/,yellowsapphiretech.com,2019,10-49,10-49,,False,False,False,redirects to https://ystech.io/
goodfirms,Winfy Software,"Kochi, India",http://www.winfysoftware.com/,winfysoftware.com,2015,10-49,10-49,,False,False,False,redirects to https://kikobukit.com/
goodfirms,Intellibuzz,"Mumbai, India",http://www.intellibuzz.net,intellibuzz.net,2012,10-49,10-49,,False,False,False,redirects to https://linktr.ee/intellibuzz
goodfirms,Business Alphabets Corporation,"Kolkata, India",https://www.businessalphabets.com,businessalphabets.com,2009,10-49,10-49,,False,False,False,redirects to https://surgeondrprashant.com/
goodfirms,Bargad Software Solution Pvt Ltd,"Kolkata, India",http://bargadss.com/,bargadss.com,,10-49,10-49,,False,False,False,redirects to https://milsgallery.com/
goodfirms,IndiWork,"Mohali, India",http://indiwork.co.in/,indiwork.co.in,2004,50-249,50-249,,False,False,False,redirects to https://indiwork.com/
goodfirms,Fortec Web Solutions Pvt. Ltd.,"Mohali, India",https://fortecwebsolutions.com/,fortecwebsolutions.com,,10-49,10-49,,False,False,False,redirects to https://oyosabang.com/
goodfirms,KamalDhari Infotech,"Surat, India",https://kamaldhari.com,kamaldhari.com,2014,10-49,10-49,,False,False,False,redirects to https://webvoltz.com/
goodfirms,Sanfinity Creative Solution Pvt. Ltd,"Vadodara, India",https://thesanfinity.com/,thesanfinity.com,2020,10-49,10-49,,False,False,False,redirects to https://kadinpulaumanuk.org/tentang-kadin/
goodfirms,Webgile Solutions,"Nagpur, India",https://kalyanak.com/,kalyanak.com,,10-49,10-49,,False,False,False,redirects to https://webgile.com/
nasscom,Falabella Corporate Services India Private Limited,Bengaluru,http://www.investors.falabella.com,investors.falabella.com,,,,,True,False,False,redirects to https://investors.grupofalabella.com/
nasscom,Pure Storage India Private Limited,Bengaluru,https://www.purestorage.com/,purestorage.com,,,,,True,False,False,redirects to https://www.everpuredata.com/
nasscom,Nanosecond Technologies Private Limited,Bengaluru,http://www.pice.one,pice.one,,,,,True,False,False,redirects to https://piceapp.com/
nasscom,Upsilon Tech Private Limited,Mumbai,http://www.valueshipr.com,valueshipr.com,,,,,True,False,False,redirects to https://microshipments.com/
nasscom,Lightstorm Telecom Connectivity Private Limited,Gurugram,https://www.lightstormtelecom.com/,lightstormtelecom.com,,,,,True,False,False,redirects to https://www.lightstorm.net:443/
