source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
goodfirms,Aguai Solutions Pvt Ltd,"Bengaluru, India",http://www.aguaisolutions.com,aguaisolutions.com,2013,10-49,10-49,,False,False,False,home:URLError
goodfirms,Ombrulla,"Bengaluru, India",https://www.ombrulla.com/ai-visual-inspection,ombrulla.com,2022,10-49,10-49,,False,False,False,home:HTTPError
goodfirms,Recrosoft Technologies Pvt. Ltd,"Bengaluru, India",http://recro.io/,recro.io,2012,10-49,10-49,,False,False,False,home:HTTPError
goodfirms,Tech Automation Solutions,"Bengaluru, India",https://techautomationsolutions.com/,techautomationsolutions.com,,,,,True,False,False,home:URLError
goodfirms,SLK Software,"Bengaluru, India",https://www.slksoftware.com/,slksoftware.com,2000,250+,250+,,False,True,False,home:URLError
goodfirms,One Byte Labs,"Bengaluru, India",https://onebytelabs.in,onebytelabs.in,2018,10-49,10-49,,False,False,False,home:HTTPError
goodfirms,Codelinear Software Solutions Pvt Ltd,"Bengaluru, India",https://codelinear.com,codelinear.com,2022,10-49,10-49,,False,False,False,home:HTTPError
goodfirms,Geeksynergy Technologies Private Limited,"Bengaluru, India",https://geeksynergy.com/,geeksynergy.com,2015,10-49,10-49,,False,False,False,home:HTTPError
goodfirms,Altorum Leren Pvt Ltd,"Bengaluru, India",https://www.altorumleren.com/,altorumleren.com,2017,50-249,50-249,,False,False,False,home:HTTPError
goodfirms,Wawbiz,"Bengaluru, India",https://wawbiz.com/,wawbiz.com,2019,50-249,50-249,,False,False,False,home:URLError
goodfirms,Softica,"Bengaluru, India",https://www.softicatechnologies.com/,softicatechnologies.com,2011,10-49,10-49,,False,False,False,home:URLError
goodfirms,Techinflo solution pvt ltd,"Bengaluru, India",https://www.techinflo.com/,techinflo.com,,10-49,10-49,,False,False,False,home:URLError
goodfirms,Greypath Solutions,"Bengaluru, India",https://www.greypathsolutions.com/,greypathsolutions.com,2004,10-49,10-49,,False,False,False,home:timeout
goodfirms,Criador Design Labs Pvt Ltd,"Bengaluru, India",https://www.criadorlabs.com/,criadorlabs.com,2017,10-49,10-49,,False,False,False,home:timeout
goodfirms,Nexzon Tech,"Bengaluru, India",https://www.nexzon.tech,nexzon.tech,,10-49,10-49,,False,False,False,home:URLError
goodfirms,Sitefy,"Bengaluru, India",https://sitefy.co,sitefy.co,2021,10-49,10-49,,False,False,False,home:URLError
goodfirms,Zeksta Technology,"Bengaluru, India",https://www.zeksta.com,zeksta.com,,10-49,10-49,,False,False,False,home:HTTPError
