source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
goodfirms,The Dev Engine,"Bengaluru, India",https://thedevengine.com/,thedevengine.com,2022,10-49,10-49,,False,False,False,page text 16 chars
goodfirms,Kyurius Tech Studios,"Bengaluru, India",https://kyurius.tech/,kyurius.tech,2019,10-49,10-49,,False,False,False,page text 9 chars
goodfirms,Unizen Technologies,"Bengaluru, India",https://www.unizentechnologies.com/,unizentechnologies.com,,50-249,50-249,,False,False,False,page text 1 chars
goodfirms,SystemMade Software Solutions,"Bengaluru, India",http://www.systemmade.com,systemmade.com,2016,10-49,10-49,,False,False,False,page text 1 chars
goodfirms,Zool Tech Solutions Pvt Ltd,"Bengaluru, India",https://zool.in,zool.in,2010,10-49,10-49,,False,False,False,page text 62 chars
goodfirms,Mantiqh Technologies Pvt Ltd,"Bengaluru, India",https://mantiqh.com/,mantiqh.com,2021,10-49,10-49,,False,False,False,page text 1 chars
goodfirms,Velozion Technologies Pvt Ltd,"Bengaluru, India",https://www.velozion.com,velozion.com,2017,10-49,10-49,,False,False,False,page text 53 chars
goodfirms,Cortexcraft Innovation Labs Pvt Ltd,"Bengaluru, India",https://cortexcraft.com/,cortexcraft.com,2014,10-49,10-49,,False,False,False,page text 13 chars
goodfirms,Detrans Solutions LLP,"Bengaluru, India",https://www.detrans.io/,detrans.io,,10-49,10-49,,False,False,False,page text 1 chars
goodfirms,iBux Business Solutions,"Bengaluru, India",https://www.ibux.in,ibux.in,,10-49,10-49,,False,False,False,page text 1 chars
goodfirms,Wizmobi Technologies Pvt Ltd,"Bengaluru, India",https://wizmobi.com,wizmobi.com,,10-49,10-49,,False,False,False,page text 111 chars
goodfirms,ZEPTCODE TECHNOLOGIES LIMTED,"Bengaluru, India",https://zeptcode.com,zeptcode.com,2017,10-49,10-49,,False,False,False,page text 122 chars
goodfirms,Steema,"Bengaluru, India",https://www.steemasoftware.com/,steemasoftware.com,2017,10-49,10-49,,False,False,False,page text 84 chars
goodfirms,Indo-Sakura Software Pvt Ltd.,"Bengaluru, India",https://indosakura.com/,indosakura.com,2006,50-249,50-249,,False,False,False,page text 1 chars
goodfirms,Mindcom Group,"Bengaluru, India",https://mindcomgroup.com/,mindcomgroup.com,2007,10-49,10-49,,False,False,False,page text 58 chars
goodfirms,Cloudloom Technologies Pvt Ltd,"Bengaluru, India",https://cloudloom.io,cloudloom.io,2022,10-49,10-49,,False,False,False,page text 11 chars
goodfirms,Immortal Dreamz,"Bengaluru, India",http://immortaldreamz.com/,immortaldreamz.com,2016,10-49,10-49,,False,False,False,page text 1 chars
goodfirms,Techrowth Pvt. Ltd.,"Bengaluru, India",https://techrowth.com,techrowth.com,2020,10-49,10-49,,False,False,False,page text 58 chars
goodfirms,Superior Codelabs,"Bengaluru, India",https://superiorcodelabs.com,superiorcodelabs.com,2018,10-49,10-49,,False,False,False,page text 52 chars
goodfirms,ACubetech Solutions Pvt Ltd,"Bengaluru, India",https://acubetechnologies.in,acubetechnologies.in,,50-249,50-249,,False,False,False,page text 89 chars
goodfirms,ACUBE USA LL,"Bengaluru, India",https://acubetechnologies.com/,acubetechnologies.com,2010,50-249,50-249,,False,False,False,page text 59 chars
goodfirms,Codescastle Software Pvt. Ltd.,"Pune, India",http://codescastle.com,codescastle.com,2015,50-249,50-249,,False,False,False,page text 72 chars
goodfirms,Kinetikalabs,"Pune, India",https://www.kinetikalabs.com/,kinetikalabs.com,2023,10-49,10-49,,False,False,False,page text 15 chars
