source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,lane_reason
goodfirms,Flashyminds,"Bengaluru, India",https://flashyminds.com,flashyminds.com,2021,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Arjun Rajkumar,"Bengaluru, India",https://www.arjunrajkumar.in,arjunrajkumar.in,2009,,,,True,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,IDATTEC,"Bengaluru, India",https://idattec.com/,idattec.com,2019,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Corsel Technologies,"Bengaluru, India",https://corseltechnologies.com/,corseltechnologies.com,2017,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Svinzy,"Bengaluru, India",https://www.svinzy.com/,svinzy.com,2017,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=412"
goodfirms,NR Innovium Technologies Private Limited,"Bengaluru, India",https://nrinnovium.com/,nrinnovium.com,2020,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Pathnovo Solutions Private limited,"Bengaluru, India",https://www.pathnovo.com/,pathnovo.com,2022,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Touch Crypto,"Bengaluru, India",https://www.touchcrypto.org/,touchcrypto.org,2014,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Ventagenie Delivery Solution,"Pune, India",http://www.ventagenie.com/,ventagenie.com,2001,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,ChainScore Labs,"Pune, India",https://chainscorelabs.com/?utm_source=goodfirms&utm_medium=profile&utm_campaign=organic_blockchain_web3,chainscorelabs.com,2022,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,VN Softverg Technology PVT LTD,"Hyderabad, India",https://vnsoftvergtechnology.com/,vnsoftvergtechnology.com,2018,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Riddhi Corporate Services Limited,"Hyderabad, India",http://www.riddhicorporate.co.in/,riddhicorporate.co.in,,10-49,10-49,,False,False,False,"grade=NONE, jd=0"
goodfirms,Trigital Technologies Pvt Ltd,"Hyderabad, India",https://trigitaltech.com/,trigitaltech.com,2014,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Xynnity,"Ahmedabad, India",https://www.xynnity.com/,xynnity.com,2021,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Clementius LLP,"Ahmedabad, India",https://www.clementius.com/,clementius.com,2019,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,SoluteLabs,"Ahmedabad, India",https://www.solutelabs.com,solutelabs.com,2014,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,MSA Infotech,"Ahmedabad, India",https://msainfotech.com/,msainfotech.com,2016,50-249,50-249,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Loud Coders,"Ahmedabad, India",https://www.loudcoders.com,loudcoders.com,,10-49,10-49,,False,False,False,"grade=NONE, jd=0"
goodfirms,CreoWeb Solution,"Ahmedabad, India",https://www.creowebsolution.com/,creowebsolution.com,2015,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,NMI - Website Development & Software Development C,"Ahmedabad, India",https://nearmeindia.in/,nearmeindia.in,2017,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Techplus Consultancy,"Indore, India",https://techplusconsultancy.com/,techplusconsultancy.com,2022,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Inostrok Technologies Pvt Ltd,"Indore, India",https://inostrok.com/,inostrok.com,2022,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,PaceXgrowth Pvt. ltd,"Indore, India",https://pacexgrowth.com/,pacexgrowth.com,2012,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Upcomingverse Tech Labs Pvt. Ltd.,"Indore, India",https://upcomingverse.ai,upcomingverse.ai,2023,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Growup Technology,"Indore, India",https://growuptechs.in,growuptechs.in,2022,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
goodfirms,Thincodz IT solution,"Indore, India",https://thincodz.com/,thincodz.com,2023,10-49,10-49,,False,False,False,"grade=SOURCE_ONLY, jd=0"
