source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms,OpenXcell,"Bengaluru, India",https://www.openxcell.com/custom-software-development-company/?utm_source=Goodfirms&utm_medium=Referral&utm_campaign=goodfirms-software-development-companies,openxcell.com,2009,250+,,,,,,A,already_in_crm,domain openxcell.com on a live deal
goodfirms,Probey Services,"Bengaluru, India",https://probeyservices.com/?utm_source=Goodfirms&utm_medium=referral,probeyservices.com,2016,250+,,,,,,A,already_in_crm,domain probeyservices.com on a live deal
goodfirms,AdaptNXT Technology Solutions,"Bengaluru, India",https://adaptnxt.com,adaptnxt.com,2020,10-49,,,,,,A,already_in_crm,domain adaptnxt.com on a live deal
goodfirms,Pickcel,"Bengaluru, India",https://www.pickcel.com,pickcel.com,2015,10-49,,,,,,A,already_in_crm,domain pickcel.com on a live deal
goodfirms,Aalpha Information Systems India Pvt. Ltd.,"Bengaluru, India",https://www.aalpha.net,aalpha.net,2008,50-249,,,,,,A,already_in_crm,domain aalpha.net on a live deal
goodfirms,Tech4biz Solutions Private Limited,"Bengaluru, India",http://tech4bizsolutions.com/,tech4bizsolutions.com,2014,50-249,,,,,,A,already_in_crm,domain tech4bizsolutions.com on a live deal
goodfirms,Sulonya Technologies Private Limited,"Bengaluru, India",https://www.sulonya.com,sulonya.com,2020,50-249,,,,,,A,already_in_crm,domain sulonya.com on a live deal
goodfirms,Ailoitte,"Bengaluru, India",https://www.ailoitte.com/?utm_source=goodfirms&utm_medium=referral&utm_campaign=Goodfirms+FL,ailoitte.com,2017,50-249,,,,,,A,already_in_crm,domain ailoitte.com on a live deal
goodfirms,Euphoric Thought Technologies,"Bengaluru, India",http://www.euphoricthought.com/,euphoricthought.com,2018,50-249,,,,,,A,already_in_crm,domain euphoricthought.com on a live deal
goodfirms,Qwickbit Technologies,"Bengaluru, India",https://qwickbit.com,qwickbit.com,2016,10-49,,,,,,A,already_in_crm,domain qwickbit.com on a live deal
goodfirms,RailsCarma,"Bengaluru, India",https://www.railscarma.com,railscarma.com,2008,50-249,,,,,,A,already_in_crm,domain railscarma.com on a live deal
goodfirms,Boston Technology Corporation,"Bengaluru, India",https://www.boston-technology.com/,boston-technology.com,2004,50-249,,,,,,A,already_in_crm,domain boston-technology.com on a live deal
goodfirms,GigLabz Private Limited,"Bengaluru, India",http://www.giglabz.com/,giglabz.com,2020,50-249,,,,,,A,already_in_crm,domain giglabz.com on a live deal
goodfirms,SmartX Technologies,"Bengaluru, India",https://smartxtech.co/,smartxtech.co,2019,10-49,,,,,,A,already_in_crm,domain smartxtech.co on a live deal
goodfirms,1985,"Bengaluru, India",http://1985.co.in/,1985.co.in,2011,10-49,,,,,,A,already_in_crm,domain 1985.co.in on a live deal
