source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms+nasscom,Persistent Systems,"Pune, India",https://www.persistent.com/,persistent.com,1990,250+,250+,,False,True,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'persistent'
goodfirms,Divine Infosys,"Ahmedabad, India",https://divineinfosys.com,divineinfosys.com,,10-49,10-49,,False,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'infosys'
goodfirms+nasscom,HCL Technologies,"Noida, India",http://www.hcltech.com,hcltech.com,1991,250+,250+,,False,True,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'hcl'
goodfirms+nasscom,Hexaware,"Mumbai, India",https://hexaware.com/,hexaware.com,1990,250+,250+,,False,True,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'hexaware'
goodfirms,Daksha Design,"Mohali, India",http://www.dakshadesign.com,dakshadesign.com,2005,10-49,10-49,,False,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'daksh'
nasscom,HCL Avitas Private Limited,Gautam Buddha Nagar,https://hclhealthcare.in/,hclhealthcare.in,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'hcl'
nasscom,UST Global Technology Services (India) Private Limited,Kochi,https://www.ust.com/,ust.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'ust global'
nasscom,Fujitsu Research of India Private Limited,Bengaluru,http://www.fujitsu.com,fujitsu.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'fujitsu'
nasscom,Deloitte Touche Tohmatsu India LLP,Gurugram,https://www.deloitte.com,deloitte.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'deloitte'
nasscom,Infosys Limited,Bengaluru,http://www.infosys.com,infosys.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'infosys'
nasscom,Wipro Limited,Bengaluru,http://www.wipro.com,wipro.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'wipro'
nasscom,Tata Consultancy Services Ltd,Mumbai,http://www.tcs.com,tcs.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'tata consultancy services'
nasscom,Coforge Limited,Greater Noida,http://www.niit-tech.com,niit-tech.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'coforge'
nasscom,Tech Mahindra Ltd,Hyderabad,http://www.techmahindra.com,techmahindra.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'tech mahindra'
nasscom,Cyient Limited,Hyderabad,http://www.cyient.com,cyient.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'cyient'
nasscom,IBM India Private Limited,Bengaluru,http://www.ibm.com/in,ibm.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'ibm'
nasscom,Atos Global IT Solutions and Services Private Limited,Navi Mumbai,https://atos-kliniken.com/de/heidelberg/,atos-kliniken.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'atos'
nasscom,NTT DATA Information Processing Services Private Limited,Bengaluru,https://www.nttdata.com/global/en/about-us,nttdata.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'ntt data'
nasscom,Capgemini Technology Services India Limited,Navi Mumbai,http://www.capgemini.com,capgemini.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'capgemini'
nasscom,Mphasis Limited,Bengaluru,http://www.mphasis.com,mphasis.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'mphasis'
nasscom,EPAM Systems India Pvt Ltd,Hyderabad,http://www.epam.com,epam.com,,,,,True,False,False,B-late,blocklist_outsourcer_bpo,known giant/BPO: matched 'epam'
