source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
goodfirms,Tech Exactly,"Bengaluru, India",https://techexactly.com/?utm_source=Goodfirms&utm_medium=referral,techexactly.com,2016,50-249,50-249,,False,False,False
goodfirms,Promatics Technologies,"Bengaluru, India",https://www.promaticsindia.com/?utm_source=Goodfirms&utm_medium=referral,promaticsindia.com,2008,50-249,50-249,,False,False,False
goodfirms,Ajackus,"Bengaluru, India",https://www.ajackus.com/?utm_source=Goodfirms&utm_medium=referral&utm_campaign=directory,ajackus.com,2011,50-249,50-249,,False,False,False
goodfirms+nasscom,Zerone Consulting,"Bengaluru, India",http://www.zerone-consulting.com?utm_source=Goodfirms&utm_medium=referral,zerone-consulting.com,2004,50-249,50-249,,False,False,False
goodfirms+nasscom,Reckonsys Tech labs Private Limited,"Bengaluru, India",https://www.reckonsys.com,reckonsys.com,2015,10-49,10-49,,False,False,False
goodfirms,VIT,"Bengaluru, India",http://www.vitinfotech.com,vitinfotech.com,2001,250+,250+,,False,True,False
goodfirms,Aguai Solutions Pvt Ltd,"Bengaluru, India",http://www.aguaisolutions.com,aguaisolutions.com,2013,10-49,10-49,,False,False,False
goodfirms,Mayura Consultancy Services (MCS),"Bengaluru, India",https://www.mayuraconsultancy.com,mayuraconsultancy.com,2015,10-49,10-49,,False,False,False
goodfirms+nasscom,Emizen Tech Pvt Ltd,"Bengaluru, India",https://emizentech.com/,emizentech.com,2013,50-249,50-249,,False,False,False
goodfirms,Zerozilla,"Bengaluru, India",http://www.zerozilla.com,zerozilla.com,2014,50-249,50-249,,False,False,False
goodfirms,Trudosys,"Bengaluru, India",https://trudosys.com/,trudosys.com,2023,10-49,10-49,,False,False,False
goodfirms,Aspire Software Consultancy,"Bengaluru, India",https://aspiresoftwareconsultancy.com,aspiresoftwareconsultancy.com,2007,50-249,50-249,,False,False,False
goodfirms,Userfacet,"Bengaluru, India",https://www.userfacet.com,userfacet.com,2009,10-49,10-49,,False,False,False
goodfirms,IONICFIREBASE,"Bengaluru, India",https://www.ionicfirebaseapp.com/,ionicfirebaseapp.com,2017,10-49,10-49,,False,False,False
goodfirms,Galaxy Weblinks,"Bengaluru, India",https://www.galaxyweblinks.com,galaxyweblinks.com,1998,50-249,50-249,,False,False,False
goodfirms,Zethic Technologies,"Bengaluru, India",https://zethic.com/,zethic.com,2019,10-49,10-49,,False,False,False
goodfirms,Krazimo Private Limited,"Bengaluru, India",https://krazimo.ai/,krazimo.ai,2023,10-49,10-49,,False,False,False
goodfirms,WebOsmotic Pvt. Ltd.,"Bengaluru, India",https://webosmotic.com/,webosmotic.com,2010,50-249,50-249,,False,False,False
goodfirms,Mobile Apptelligence,"Bengaluru, India",http://www.mobileapptelligence.com/,mobileapptelligence.com,2004,50-249,50-249,,False,False,False
goodfirms,Sodio Technologies Pvt Ltd,"Bengaluru, India",https://sodio.tech,sodio.tech,2016,10-49,10-49,,False,False,False
goodfirms,Appmocx Pvt Ltd,"Bengaluru, India",https://appmocx.com/,appmocx.com,2016,10-49,10-49,,False,False,False
goodfirms,McBird Technologies Pvt Ltd,"Bengaluru, India",https://mcbirdtechnologies.com/,mcbirdtechnologies.com,2018,50-249,50-249,,False,False,False
goodfirms,Roars Technologies Pvt. Ltd.,"Bengaluru, India",https://www.roarsinc.com,roarsinc.com,2005,10-49,10-49,,False,False,False
goodfirms,AVGI Solutions,"Bengaluru, India",https://avgisolutions.com/,avgisolutions.com,2008,10-49,10-49,,False,False,False
goodfirms,InData Labs,"Bengaluru, India",https://indatalabs.com/,indatalabs.com,2014,50-249,50-249,,False,False,False
goodfirms,V2Soft Pvt Ltd,"Bengaluru, India",https://www.v2soft.com/,v2soft.com,1988,250+,250+,,False,True,False
goodfirms,Wisdomleaf Technologies,"Bengaluru, India",http://www.wisdomleaf.com/,wisdomleaf.com,2003,50-249,50-249,,False,False,False
goodfirms,Mofosys Technologies,"Bengaluru, India",http://www.mofosys.com,mofosys.com,2016,10-49,10-49,,False,False,False
goodfirms,Netsqure Technologies Pvt Ltd,"Bengaluru, India",https://netsqure.com/,netsqure.com,2021,10-49,10-49,,False,False,False
goodfirms,Ombrulla,"Bengaluru, India",https://www.ombrulla.com/ai-visual-inspection,ombrulla.com,2022,10-49,10-49,,False,False,False
goodfirms+nasscom,ITC Infotech,"Bengaluru, India",https://www.itcinfotech.com/,itcinfotech.com,2000,250+,250+,,False,True,False
goodfirms,Posibolt Solutions Pvt Ltd,"Bengaluru, India",http://www.posibolt.com,posibolt.com,2008,10-49,10-49,,False,False,False
goodfirms,VD Hosts,"Bengaluru, India",https://vdhosts.com/,vdhosts.com,2017,50-249,50-249,,False,False,False
goodfirms,Recrosoft Technologies Pvt. Ltd,"Bengaluru, India",http://recro.io/,recro.io,2012,10-49,10-49,,False,False,False
goodfirms,Vistas AD Media Communications,"Bengaluru, India",https://vistasadindia.com/,vistasadindia.com,1997,10-49,10-49,,False,False,False
goodfirms+nasscom,GoodWorkLabs,"Bengaluru, India",http://www.goodworklabs.com/,goodworklabs.com,2013,50-249,50-249,,False,False,False
goodfirms,Optrise Software Pvt.Ltd,"Bengaluru, India",http://www.optirise.in/,optirise.in,2010,10-49,10-49,,False,False,False
goodfirms,Tech Automation Solutions,"Bengaluru, India",https://techautomationsolutions.com/,techautomationsolutions.com,,,,,True,False,False
goodfirms,EI Design Pvt Ltd,"Bengaluru, India",https://www.eidesign.net/,eidesign.net,1999,10-49,10-49,,False,False,False
goodfirms,Tesseract Learning Inc,"Bengaluru, India",http://www.tesseractlearning.com,tesseractlearning.com,2015,50-249,50-249,,False,False,False
goodfirms,Teknotrait,"Bengaluru, India",https://teknotrait.com/,teknotrait.com,2014,50-249,50-249,,False,False,False
goodfirms,Value Chain,"Bengaluru, India",https://valuechain.com/,valuechain.com,,10-49,10-49,,False,False,False
goodfirms,Locus,"Bengaluru, India",https://locus.sh/,locus.sh,2015,50-249,50-249,,False,False,False
goodfirms,Sensible solutions,"Bengaluru, India",https://www.sen-sei.in/index.html,sen-sei.in,,10-49,10-49,,False,False,False
goodfirms,BitsNPixs,"Bengaluru, India",https://www.bitsnpixs.com/services/embroidery-digitizing,bitsnpixs.com,2011,50-249,50-249,,False,False,False
goodfirms,Flipkoins,"Bengaluru, India",https://flipkoins.com/,flipkoins.com,2016,50-249,50-249,,False,False,False
goodfirms,Iterator,"Bengaluru, India",https://iterator.in/,iterator.in,2021,10-49,10-49,,False,False,False
goodfirms,SLK Software,"Bengaluru, India",https://www.slksoftware.com/,slksoftware.com,2000,250+,250+,,False,True,False
goodfirms,One Byte Labs,"Bengaluru, India",https://onebytelabs.in,onebytelabs.in,2018,10-49,10-49,,False,False,False
goodfirms,CloudOnHire,"Bengaluru, India",https://CloudOnHire.com,cloudonhire.com,,10-49,10-49,,False,False,False
goodfirms,Websigma Private Limited,"Bengaluru, India",https://www.websigmaglobal.com,websigmaglobal.com,2014,10-49,10-49,,False,False,False
goodfirms,Nexevo Technologies.,"Bengaluru, India",http://www.nexevo.in/,nexevo.in,2012,10-49,10-49,,False,False,False
goodfirms,The Dev Engine,"Bengaluru, India",https://thedevengine.com/,thedevengine.com,2022,10-49,10-49,,False,False,False
goodfirms,Qdesigns Web Developement Services,"Bengaluru, India",https://qdesigns.co.in,qdesigns.co.in,2016,,,,True,False,False
goodfirms,ERP Peers,"Bengaluru, India",https://erppeers.com/,erppeers.com,2023,10-49,10-49,,False,False,False
goodfirms,Codewave,"Bengaluru, India",https://codewave.com,codewave.com,2013,50-249,50-249,,False,False,False
goodfirms+nasscom,Metafic,"Bengaluru, India",https://metafic.co,metafic.co,2018,250+,250+,,False,True,False
goodfirms,Thoughtcoders,"Bengaluru, India",https://thoughtcoders.com/,thoughtcoders.com,2021,10-49,10-49,,False,False,False
goodfirms,Aryush Infotech India Private Limited,"Bengaluru, India",http://www.aryushinfotech.com,aryushinfotech.com,2017,50-249,50-249,,False,False,False
goodfirms,NextDynamix Tech,"Bengaluru, India",http://www.nextdynamix.com/,nextdynamix.com,2023,50-249,50-249,,False,False,False
goodfirms,Kyurius Tech Studios,"Bengaluru, India",https://kyurius.tech/,kyurius.tech,2019,10-49,10-49,,False,False,False
goodfirms,Carmatec,"Bengaluru, India",https://www.carmatec.com/,carmatec.com,2003,50-249,50-249,,False,False,False
goodfirms,Imcrinox,"Bengaluru, India",https://www.imcrinox.com,imcrinox.com,2015,50-249,50-249,,False,False,False
goodfirms,Webshark Web Services,"Bengaluru, India",https://www.webshark.in,webshark.in,2019,50-249,50-249,,False,False,False
goodfirms,DBZeus,"Bengaluru, India",https://www.dbzeus.com,dbzeus.com,2015,10-49,10-49,,False,False,False
goodfirms,Codegres,"Bengaluru, India",https://codegres.com,codegres.com,,10-49,10-49,,False,False,False
goodfirms,Codelinear Software Solutions Pvt Ltd,"Bengaluru, India",https://codelinear.com,codelinear.com,2022,10-49,10-49,,False,False,False
goodfirms,Covalense Digital Solutions,"Bengaluru, India",https://covalensedigital.com/,covalensedigital.com,2004,250+,250+,,False,True,False
goodfirms,Vivanta Technologies,"Bengaluru, India",http://www.vivantatechnologies.com,vivantatechnologies.com,2012,10-49,10-49,,False,False,False
goodfirms,Flashyminds,"Bengaluru, India",https://flashyminds.com,flashyminds.com,2021,10-49,10-49,,False,False,False
goodfirms,Imperial Web Design,"Bengaluru, India",http://www.imperialwebdesign.in/,imperialwebdesign.in,2010,50-249,50-249,,False,False,False
goodfirms,Sugoi Labs,"Bengaluru, India",http://sugoilabs.com,sugoilabs.com,2013,10-49,10-49,,False,False,False
goodfirms,Limra Softech Private Limited,"Bengaluru, India",https://www.limrasoftech.com/,limrasoftech.com,2015,10-49,10-49,,False,False,False
goodfirms,Unizen Technologies,"Bengaluru, India",https://www.unizentechnologies.com/,unizentechnologies.com,,50-249,50-249,,False,False,False
goodfirms,Arjun Rajkumar,"Bengaluru, India",https://www.arjunrajkumar.in,arjunrajkumar.in,2009,,,,True,False,False
goodfirms,SimplyFI Softech India Pvt. Ltd.,"Bengaluru, India",http://simplyfi.tech/,simplyfi.tech,2016,10-49,10-49,,False,False,False
goodfirms,SystemMade Software Solutions,"Bengaluru, India",http://www.systemmade.com,systemmade.com,2016,10-49,10-49,,False,False,False
goodfirms,Tech Manyata,"Bengaluru, India",https://techmanyata.com/,techmanyata.com,,10-49,10-49,,False,False,False
