rank,band,score,confidence,name,domain,website,seed_lead_score,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,has_careers_page,jd_chars,public_repo,evidence,why_this_rank,promoted_from_skip
1,Priority,95,Verified,ASSIST Software,assist-software.net,https://assist-software.net/,9,25,25,35,10,95,,Wayback 2023-06-01 title: 'Software Development & Outsourcing Company - ASSIST Software Romania',yes,131791,,"Careers: open 'Azure DevOps Engineer' role - private-repo host | Site: 'ISO 42001, ISO 27001, ISO 9001, ISO 14001' | Site: 'GitLab CI/CD, Model Deployment pipelines', MLOps framework | Site: dedicated SDLC page listing planning through maintenance",,
2,Priority,85,Verified,Code Spring,codespring.ro,https://www.codespring.ro/,8,25,0,50,10,85,,"Wayback 2023-06-01: 'Codespring - Software Development and Outsourcing company, Cluj-Napoca'",yes,85547,,"Careers: 'absorbed our development practices, code review culture' | Site: 'CI/CD - continuous integration and continuous delivery' capability page | Site: 'Automated Testing' named service; DevOps service page | Site: 170+ developers, 28 years, global technology partnerships",,
3,Priority,85,Verified,IsoSkills,isoskills.fi,https://isoskills.fi/,7,10,40,25,10,85,,"UNKNOWN - no Wayback snapshot and no RDAP record; treated as missing, not new",yes,126324,,"JD: 'GitHub and Azure DevOps for version control and CI/CD' | JD: 'Conduct code reviews and provide constructive feedback' | Site: CI/CD pipelines, Kubernetes, GCP, Docker named | JD: QA Automation role, Selenium/Playwright/Cypress/REST Assured","Only firm in pool naming a private-repo host AND a review gate in JDs. Ranks below ASSIST solely because pre-2024 evidence is missing (+10, no cap) not disproven. Finnish HQ with Romanian delivery arm, but the parent is itself an independent software services firm, so not a captive.",
4,Priority,85,Inferred,SC AEGIS CORE TECH SRL,aegiscoretech.com,https://aegiscoretech.com/,8,25,0,50,10,85,,PROVEN — Wayback 2023-06-01 title naming software development and cybersecurity,yes,24166,,"JD: version control (Git), Docker containerization, CI/CD pipelines | JD: test automation tools VectorCAST, Vector CANoe, ECU-TEST | Site: 'CI/CD, release management, and automated or manual test support' | Site: Tier-1 automotive programs, regulated long-lifecycle products",,
5,Priority,83,Verified,Global Mediator,global-mediator.com,https://global-mediator.com/,7,10,25,35,13,83,,"UNKNOWN — no Wayback snapshot and no RDAP record; missing data, weak +10, no 45 cap",yes,23693,,JD: 'Bit Bucket for source control and Azure pipelines' named | JD: Azure pipelines for automated test and release management | Site: ISO27001 adherence; dedicated QA Lead and QA roles | Site: AppSource apps published on Business Central,"Only firm in this batch naming a private-repo host (Bitbucket + Azure DevOps); the quote reads like a project description rather than a role requirement, and its GOLD is UNKNOWN missing data, so it would rank first outright if dated.",
6,Priority,80,Inferred,Linnify,linnify.com,https://www.linnify.com/,9,25,0,35,20,80,,Wayback 2023-06-01 prose: 'Let's build your product... WHAT DO WE OFFER?',yes,25955,,"Site: 'From infrastructure design to CI/CD automation... deploy confidently' | Site: 'automated test coverage that evolves with your product', shift-left QA | Site: 'As an ISO 27001-certified partner' | Site: DeliverMe, 'Linnify's first proprietary product' (2017)","The ten DQ_template hits are a CMS artifact - every case-study card renders the string 'Link To Template' - and are not evidence of a template shop, so no penalty was applied. Careers content was collected but yielded zero engineering signals, so the whole score rests on site evidence; a JD check would confirm or deflate this. Owns a proprietary product line, which is the long-lived-codebase signal we want.",
7,Priority,80,Inferred,TechQuarter,techquarter.io,https://techquarter.io/,8,10,0,60,10,80,,"UNKNOWN - no Wayback snapshot and no RDAP record; treated as missing, not new",yes,42049,,"JD: 'CI/CD pipelines and IaC tools like Terraform, Pulumi, or CDK' | JD: 'GitHub and GitHub Actions'; 'implement automated testing platforms' | Site: 'Our processes are ISO 27001 certified and align with SOC 2' | Site: 'V-cycle, Agile with Scrum, or both in parallel'","Reaches Priority on Tier B alone - the deepest IaC/CI-CD job spec in the batch plus a firm-held ISO 27001 - despite drawing only the weak +10 for pre-2024. No cap was applied for that: Wayback and RDAP are both simply missing, which per instruction is not evidence of a 2024-plus start. Worth a pre-2024 re-check before contacting.",
8,Priority,75,Verified,BrainTrust,braintrust.ro,https://www.braintrust.ro/,7,25,25,25,0,75,,PROVEN — Wayback 2023-06-01 body text 'Software Development Done Responsibly',yes,10599,,"JD: 'Ensure code quality through automated tests, reviews and continuous integration' | JD: CI/CD pipelines with GitHub Actions, GitLab CI, Jenkins | JD: 'Experience with version control (Git) and automated testing' | Site: blog post on modern data pipelines; GCP and Kubernetes","One of only two firms in this batch with JD-level review-gate language, which is what carries it to Priority; positioning also spans cloud/network infrastructure, so check it is not an infra shop before dialling.",
9,Priority,75,Inferred,FXBITS,fxbits.io,https://fxbits.io/,8,25,0,50,0,75,,PROVEN — Wayback 2023-06-01 body copy on designing and developing products,yes,8027,,"JD: 'GitHub, GitLab CI/CD' plus Jenkins, Rancher, Docker, Kubernetes | Site: QA Automation Engineer profiled in dated 2022 blog post | Site: healthcare, Industry 4.0, IIoT client products delivered | Seed: technical audits of code, architecture and security","Reaches Priority on JD tooling depth alone — the evidence is a stack list, not a described review process, and no review gate appears anywhere on the site or careers page.",
10,Priority,75,Verified,Wolfpack Digital,wolfpack-digital.com,https://www.wolfpack-digital.com/?utm_source=goodfirms,8,25,0,35,15,75,,Wayback 2020-06-01: 'Top Web and Mobile App Development | Wolfpack Digital',yes,45672,,"JD: 'Take an active part in code review' plus Git/CI-CD | Careers: open QA Specialist and Senior Software Engineer roles | JD: 'Write and maintain unit and integration tests' | Site: fintech, healthcare, IoT client products; 11 years","The single DQ_agency hit is a false positive - it fires on 'SEO-friendly Vue applications' in a tech-stack blurb, not on bundled marketing services, so no generalist cap was applied. No private-repo host named, so Tier A scored zero despite a clean JD review gate.",
