status,company,domain,city,score,reason_or_rank,lead_source,owner,deal_id
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,3ELIXIR SOLUTIONS,3elixir.com,"Surat, India",,No Pickup,Scraping Algo ( IT services ),Ishpreet Sood,335922425584
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Alliedge Technologies Pvt Ltd,alliedge.in,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),335954041591
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Aktiv Software,aktivsoftware.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),335954041592
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Aavatto,aavatto.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),335954042569
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,7Span,7span.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),335954042581
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Addon Solutions Pvt Ltd.,addonsolutions.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),338983744212
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Atharva System,atharvasystem.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),Yuktha Anand,339022103235
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Bigscal Technologies Pvt Ltd,bigscal.com,"Surat, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339022105316
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Fusion Informatics Limited,fusioninformatics.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339191216854
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Biztech Consulting & Solutions,biztechcs.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339191216856
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,eQuest Solutions,equestsolutions.net,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339219974890
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Communication Crafts,communicationcrafts.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339311934190
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Differenz System,differenzsystem.com,"Surat, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339278356171
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Foogle Tech Software,foogletech.com,"Surat, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339227366137
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,EnactOn Technologies Private Limited,enacton.com,"Surat, India",,No Pickup,Private Codebase Tracker sheet ( IT services ),(unassigned),339278356172
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,CREST Infosystems Pvt Ltd,crestinfosystems.com,"Surat, India",,No Pickup,Private Codebase Tracker sheet ( IT services ),(unassigned),339343159002
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Dignizant Technologies LLP,dignizant.com,"Surat, India",,No Pickup,Private Codebase Tracker sheet ( IT services ),(unassigned),339360607981
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Hidden Brains InfoTech,hiddenbrains.com,"Ahmedabad, India",,No Pickup,Scraping Algo ( IT services ),(unassigned),339984513774
