row,company_name,domain,website,city,headcount,founded_year,prequal_score,owned_ip_evidence,founder_name,founder_title,founder_email,founder_linkedin_url,company_linkedin_url,notes
1,Wisflux Private Limited,wisflux.com,https://wisflux.com,"Jaipur, India",30,,60,yes,,,,,,
2,CloudWapp Technologies Pvt. Ltd.,cloudwapp.com,https://cloudwapp.com,"Indore, India",30,,60,yes,,,,,,
3,Craftnotion Private Limited,craftnotion.com,https://craftnotion.com,"Hyderabad, India",30,,60,yes,,,,,,
4,Sugoi Labs,sugoilabs.com,https://sugoilabs.com,"Bengaluru, India",30,,60,yes,,,,,,
5,Teqlawn,teqlawn.com,https://teqlawn.com,"Indore, India",30,,60,yes,,,,,,
6,Infoxeron Technologies Pvt. Ltd.,infoxeron.com,https://infoxeron.com,"Indore, India",30,,60,yes,,,,,,
7,Meetri Infotech Private Limited,meetri.in,https://meetri.in,"Noida, India",30,,60,yes,,,,,,
8,InfoAxon Technologies (India) Pvt Ltd,infoaxon.com,https://infoaxon.com,Noida,,,60,yes,,,,,,
9,GIEOM Business Solutions Private Limited,gieom.com,https://gieom.com,Bengaluru,,,60,yes,,,,,,
10,CI Global Technologies Pvt Ltd,ciindia.com,https://ciindia.com,Chennai,,,60,yes,,,,,,
