row,company_name,domain,website,city,headcount,band_label,founded_year,prequal_score,prequal_rank,tier,source,signalhire_status,founder_name,founder_title,founder_linkedin,founder_mobile_+91,notes_from_vendor
1,Techforce Global,techforceglobal.com,https://techforceglobal.com,"Ahmedabad, India",150,50-249,,120,1,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
2,Techies Infotech,iamtechie.com,https://iamtechie.com,"Mohali, India",150,50-249,,115,3,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
3,Avya Technology Pvt Ltd,avyatech.com,https://avyatech.com,"Noida, India",30,10-49,,110,5,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
4,Rays Techserv Private Limited,raystechserv.com,https://raystechserv.com,"Ahmedabad, India",150,50-249,,100,13,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
5,Qodequay Technologies,qodequay.com,https://qodequay.com,"Pune, India",150,50-249,,100,15,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
6,Exavibes Services Private Limited,exavibes.com,https://exavibes.com,"Mumbai, India",30,10-49,,100,16,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
7,Orion InfoSolutions,orioninfosolutions.com,https://orioninfosolutions.com,"Jaipur, India",150,50-249,,100,20,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
8,axiusSoftware,axiussoftware.com,https://axiussoftware.com,"Kolkata, India",150,50-249,,97,25,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
9,Flipkoins,flipkoins.com,https://flipkoins.com,"Bengaluru, India",150,50-249,,95,28,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
10,GMTA Software Solutions,gmtasoftware.com,https://gmtasoftware.com,"Jaipur, India",30,10-49,,95,30,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
11,Triveni Global Software Services LLP,triveniglobalsoft.com,https://triveniglobalsoft.com,"Surat, India",150,50-249,,95,31,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
12,Coder World Labs,coderworldlabs.com,https://coderworldlabs.com,"Noida, India",30,10-49,,95,33,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
13,Leadstocompany,leadstocompany.com,https://leadstocompany.com,"Kolkata, India",30,10-49,,95,34,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
14,Durapid Technology Private Limited,durapid.com,https://durapid.com,"Jaipur, India",150,50-249,,95,39,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
15,Spysr,spysr.in,https://spysr.in,"Delhi, India",150,50-249,,95,41,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
