brand_name,legal_name,cin,company_status,company_class,date_of_registration,registered_state,tier,confidence,shutdown_date,shutdown_year,sector,city,funding_usd,investors,reason,domain,dns_resolves,wayback_last_capture,dpiit_recognised,evidence_count,primary_source_url,primary_source_name,all_source_urls,rationale,prequal_total,prequal_max_possible,prequal_pct,prequal_routing,prequal_unscored,pq_funding,pq_years,pq_eng_headcount,pq_sector,pq_code_location,pq_legal_status,github_url,prequal_note
Madhur Nourishment Products LLP,MADHUR NOURISHMENT PRODUCTS LLP,AAF-6086,Under Liquidation,,2016-02-02,maharashtra,confirmed,1.0,,,,,,,,madhurnourishmentproducts.com,0,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,"IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation; site dead (liveness 0.90, NXDOMAIN)",5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
Ashoka Designs Llp,ASHOKA DESIGNS LLP,AAL-7509,Under Liquidation,,2018-01-18,west bengal,confirmed,0.85,,,,,,,,ashokadesigns.com,1,20260212004837,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation,5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
24X7 Learning Private Limited,24X7 Learning Private Limited,U80302KA2001PTC029172,Under Liquidation (IBBI),Private,2001-01-01,Karnataka,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
5 Core Acoustics Private Limited,5 Core Acoustics Private Limited,U29100DL1995PTC072253,Under Liquidation (IBBI),Private,1995-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
9Planets Products Private Limited,9Planets Products Private Limited,U25200MH2012PTC227312,Under Liquidation (IBBI),Private,2012-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A G S Management Services Private Limited,A G S Management Services Private Limited,U45208TG2011PTC077420,Under Liquidation (IBBI),Private,2011-01-01,Telangana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A J Castings Private Ltd,A J Castings Private Ltd,U74899DL1987PTC027618,Under Liquidation (IBBI),Private,1987-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
A M Vinyl Private Limited,A M Vinyl Private Limited,U25202DL2004PTC130642,Under Liquidation (IBBI),Private,2004-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A P Steel Re Rolling Mill Limited,A P Steel Re Rolling Mill Limited,U27105KL1992PLC006651,Under Liquidation (IBBI),Public,1992-01-01,Kerala,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A R Coating Solutions India Private Limited,A R Coating Solutions India Private Limited,U52100MH2012PTC236758,Under Liquidation (IBBI),Private,2012-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A S Sales & Exports Pvt Ltd,A S Sales & Exports Pvt Ltd,U19129WB1994PTC062351,Under Liquidation (IBBI),Private,1994-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
