rank,score,name,domain,city,source,band_label,hc_num,pre2024_grade,pre2024_evidence,pre2024_confidence,owned_ip,ownip_quote,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_chars,jd_quote,dev_quote,years_active,contact_name,contact_title,contact_linkedin,identity_status,why_this_rank
1,100,Vatsal Technosoft,vatsaltechnosoft.com,"Ahmedabad, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2008; rdap=2018-04-12; wayback=20230524,Verified,1,"e-Sun Support AI-Enabled Delivery AI Inside Your Product — Not on a Slide Agents, document",0,2,1,0,21756,s in Ahmedabad. Hiring people who care about code review — not buzzwords. What We Stand Fo,AI-Enabled Custom Software Development Company Ahmedabad | Vatsal Techn,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2008); owned IP: e-Sun Support AI-Enabled Delivery AI Ins; review-gate JD x2; jd 21756ch; ~300 staff
2,87,Vrize India Private Limited,vrize.com,Kochi,nasscom,resolved:440,440,EXISTED_2COR,rdap=2014-02-10; nasscom_harvest=nasscom:DOMAIN_ONLY - domain registered ,Verified,1,"m goes above and beyond testing to optimize your products and processes, preparing you for",0,2,10,0,33806,"JD tech stack: 'GitLab, Bitbucket' listed under Version Control & CI/CD | JD: 'Participate",,12,,,,identity_pending,EXISTED_2COR(rdap=2014-02-10); owned IP: m goes above and beyond testing to optim; review-gate JD x2; jd 33806ch; ~440 staff
3,85,Damco Solutions,damcogroup.com,"Noida, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=1996; wayback=20230601,Verified,0,,1,3,1,0,21710,"to maintain code quality, test coverage and code reviews. Support the Quality Assurance te",--> Damco | Software Development &amp; Digital Transformation Company Get in,30,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=1996); review-gate JD x3; jd 21710ch; ~300 staff
4,80,DataBeat - AdTech Consultants,databeat.io,"Hyderabad, India",goodfirms,250+,300,EXISTED_2COR,goodfirms_founded=2017; wayback=20230528,Verified,1,lients Say Awards &#038; Recognition Careers Our Products CI Dashboard Ads.txt Validator I,8,0,0,0,61448,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",,9,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2017); owned IP: lients Say Awards &#038; Recognition Car; jd 61448ch; ~300 staff
5,80,Zapbuild,zapbuild.com,"Mohali, India",goodfirms+nasscom,250+,300,PROVEN_EQUIV,goodfirms_founded=2010; rdap=2009-03-05; nasscom_harvest=nasscom:PROVEN: 2022-06 wayback title 'C; wayback=20230604,Verified,1,"m planning to development to support, build your own product development team with experts",0,0,5,0,60391,"Site DevOps page: 'Infrastructure as a Code (IaC)', 'CI/CD workflows' (+15) | All five JD ",& Web-based Development We build next-level custom software and web-based technology solut,17,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2010); owned IP: m planning to development to support, bu; jd 60391ch; ~300 staff"
6,80,Senrysa Technologies Pvt. Ltd.,senrysa.com,"Kolkata, India",goodfirms+nasscom,250+,300,EXISTED_2COR,goodfirms_founded=2011; rdap=2005-10-01; copyright_footer=2011,Verified,1,—from decision support to automation behind your products. Conversational AI Natural langu,0,0,1,0,29000,,"estates. Application Engineering End-to-end product engineering—UX, APIs, backends, and in",21,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2011); owned IP: —from decision support to automation beh; jd 29000ch; ~300 staff
7,75,Vertex Offshore Services Pvt Ltd,vertexcs.com,Hyderabad,nasscom,resolved:419,419,EXISTED_2COR,nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING - archived; wayback=20230602,Verified,0,,1,1,5,0,77748,"JD: 'will perform code review of other developers' | JD: 'Exposure to Azure DevOps, CI/CD ",,0,Ganesh Iyer,Director,,identity_name_only,EXISTED_2COR(nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING - archived); review-gate JD x1; jd 77748ch; ~419 staff
8,75,CodeClouds,codeclouds.com,"Kolkata, India",goodfirms+nasscom,250+,300,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2009-04-23; nasscom_harvest=nasscom:UNKNOWN; goodfirms_founded:2009; wayback=20230607,Verified,1,erprise Services Talent Hire Explore Careers Our Products Enterprise Services Talent Hire ,1,0,0,0,12993,"ds The Advantages and Disadvantages of Using GitHub Docker, Kubernetes, and Helm: How To U",ions Quality Engineering Solutions Architect Software Development CheckoutChamp Vrio CRM S,17,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); owned IP: erprise Services Talent Hire Explore Car; jd 12993ch; ~300 staff
9,70,Cyber Infrastructure Inc.,cisin.com,"Indore, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2003; rdap=2003-11-07; copyright_footer=2003; wayback=20230512,Verified,1,"a strong focus on data, and has developed a proprietary platform that helps businesses col",0,0,0,0,35874,,Solutions! | We Make IT Possible --> Leading Software Development & IT Solutions Company U,23,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2003); owned IP: a strong focus on data, and has develope; jd 35874ch; ~300 staff"
10,65,Sampark Softwares Pvt Ltd,samparksoftwares.com,"Gurgaon, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2007; wayback=20230606,Verified,0,,2,0,8,0,43700,"on. Required Skills Experience with Jenkins, GitLab CI, GitHub Actions, Azure DevOps or si",ple enough for daily field and business use. Build Mobile Apps Managed Cloud Managed Cloud,19,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2007); jd 43700ch; ~300 staff
11,65,Appinventiv Technologies,appinventiv.com,"Noida, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2015; rdap=2015-02-06; wayback=20230601,Verified,0,,1,0,1,0,33336,strong commitment to work. Good Knowledge of Version Control is must. Basic knowledge of C,Appinventiv | Digital Product Engineering &amp; Consulting Company InventivAI Explore,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2015); jd 33336ch; ~300 staff
13,65,Ascendum Solutions,ascendum.com,"Ahmedabad, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2008; rdap=2002-12-12; copyright_footer=2008; wayback=20230529,Verified,1,enterprise commerce and procurement through proprietary platforms and Ops-Tech infrastruct,0,0,0,0,15124,,"m Solutions | Custom Digital Solutions &amp; Software Development SEO fields, which Webflo",24,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2008); owned IP: enterprise commerce and procurement thro; jd 15124ch; ~300 staff
14,65,Reality Premedia Services Private Limited,realitypremedia.com,"Pune, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=1996; rdap=2009-09-11; wayback=20230601,Verified,1,"e cloud. We develop mobile applications for your platform of choice. Be it Android, the wo",0,0,0,0,12552,,--> Application Development | Episerver Development |IoT Development --,17,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=1996); owned IP: e cloud. We develop mobile applications ; jd 12552ch; ~300 staff
15,65,Binary Semantics,binarysemantics.com,"Bengaluru, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=1986; rdap=1999-12-11; wayback=20230601,Verified,1,tion? Aiming for smarter operations? Explore Our Products & Solutions Empowering your busi,0,0,0,0,9565,,India Limited The teamwork and efficiency of software development teams at Binary is exemp,27,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=1986); owned IP: tion? Aiming for smarter operations? Exp; jd 9565ch; ~300 staff
16,65,Prolitus Technologies,prolitus.com,"Noida, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2005; rdap=2011-10-18; wayback=20230603,Verified,1,nt gaming partners and their ecosystems onto our platform. It was an incredible working ex,0,0,0,0,8365,,"DIES BLOG ABOUT Let’s Talk Custom Blockchain Development Services to Innovate, Disrupt, an",15,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2005); owned IP: nt gaming partners and their ecosystems ; jd 8365ch; ~300 staff
17,65,La Net Team Software Solution,lanetteam.com,"Surat, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2008; rdap=2007-10-17; wayback=20230601,Verified,1,rted? Here's how we can help you accelerate your product development in just a few simple ,0,0,0,0,7607,,Best Software Development Company for Custom Web &amp; Mobile Apps | L,19,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2008); owned IP: rted? Here's how we can help you acceler; jd 7607ch; ~300 staff
18,65,TechStreet Solutions Pvt Ltd,techstreet.in,"Noida, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2013-03-13; wayback=20230725,Verified,1,Store Optimization To maintain and improve your product over time. 6 Ongoing Support &amp;,0,0,0,0,6752,,Software Development Company in Noida | TechStreet Solutions -- E,13,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: Store Optimization To maintain and impro; jd 6752ch; ~300 staff
19,65,MindInventory,mindinventory.com,"Ahmedabad, India",goodfirms,250+,300,PROVEN_EQUIV,goodfirms_founded=2011; rdap=2010-12-29; wayback=20230601,Verified,1,log Whitepapers Infographics Podcasts Videos Our Product Book a Call Contact Us Software E,0,0,0,0,5892,,Custom Software Engineering Company | MindInventory Services,16,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2011); owned IP: log Whitepapers Infographics Podcasts Vi; jd 5892ch; ~300 staff
20,65,Ramco Systems,ramco.com,"Chennai, India",goodfirms+nasscom,250+,300,EXISTED_2COR,rdap=1994-08-22; wayback=20230601,Verified,1,Overview Awards &amp; Certifications Careers Our Products Newsroom Our Group Press Release,0,0,0,0,5850,,,32,,,,identity_pending,EXISTED_2COR(rdap=1994-08-22); owned IP: Overview Awards &amp; Certifications Car; jd 5850ch; ~300 staff
