name,website,description,relevance_status,lead_score,qualification_reason
Vivasoft Limited,https://www.vivasoftltd.com/,"Vivasoft Limited is the best software development company in Bangladesh, delivering scalable, secure, and high-performing digital solutions to startups, enterprises, and global brands since 2016. With a strong focus on innovation and quality, the company has helped more than 50 international businesses transform their ideas ...",RELEVANT,10,Custom software company deploying agile product teams and hiring JS/Python/.NET/Go/Java developers for end-to-end and MVP development.
KAZ Software Limited,http://kaz.com.bd/,We empower you with award winning development teams to innovate and build great software products. You benefit from our amazing work environment and proven development process - that makes us passionate about what we do and reliable in our delivery. With 15+ years of experience ...,RELEVANT,10,"20+ year software-engineering firm doing .NET/Java/PHP/Node/Python development, QA, cloud (AWS/Azure) and staff augmentation."
Nascenia,https://www.nascenia.com/,"IT service and product company with focus on web applications. Ruby on Rails, PHP, .net, Mobile applications are its proven track record. Superior customer service and high value for customers'​ investment are their promise. You are welcome to contact Nascenia for your next IT project. - BASIS outsourcing award winner 2015 and 2014 - 2013 ...",RELEVANT,10,"Bespoke engineering shop building on Ruby on Rails, React, Node, Flutter with dedicated SQA and production-grade custom AI systems since 2010."
DataSoft,http://datasoft-bd.com/,"DataSoft Systems Bangladesh Limited is a CMMI Level - 5 & ISO 9001:2000 certified leading software company in Bangladesh. Founded in 1998, DataSoft has successful track records for delivering most innovative and cost-effective technical services to customers in both commercial and Government sectors. Since its inception back in 1998, stepped into the core field of ...",RELEVANT,10,"CMMI Level 5 / ISO-certified software company (since 1998) delivering large-scale port automation, fintech, telemedicine and next-gen IoT/AR-VR systems."
Datazo InfoTech,https://www.datazoinfotech.com.bd/,"Datazo InfoTech is an Award-Winning Product & World-Class Software Development Company with Engineering Hubs in NYC. We are committed to providing end-to-end IT services with a mission to solve complex software engineering problems. Since 2020, Our Team of 50+ Experts has helped businesses elevate their ...",RELEVANT,9,"Full custom software house offering web/mobile app development, API development, DevOps, and digital transformation with a dedicated engineering team."
Ontik Technology,https://www.ontiktechnology.com/,"Ontik Technology — Global Vision Rooted in Innovation At Ontik Technology, we build more than software. We build possibilities. With over nine years of experience and a team of 150 brilliant minds, we deliver world-class digital products that make a difference. Our journey has crossed ...",RELEVANT,9,"Custom software and SaaS development with staff augmentation, API integration, cloud & DevOps and QA across 220+ shipped products."
Cookietech LTD.,https://www.cookietechltd.com/,"CookieTech is a full-service software studio based in Dhaka, Bangladesh, building AI-native applications, Automated systems and operational platforms for clients across the US and beyond. Our team of 13 engineers and product managers specializes in Flutter, full-stack development, and AI integration — delivering end-to-end products ...",RELEVANT,9,"Product-engineering and AI development studio building full-stack custom web apps, cross-platform mobile and 100+ shipped AI products."
Impala Intech Limited,https://impalaintech.com/,Impala intech Limited - Your Innovation Partner YOUR INNOVATION PARTNER FOR SOFTWARE DEVELOPMENT Impala offers software development services to enable businesses innovate & stay ahead of the competition. Hire Full-Time Engineers for less than a part-timer's salary without compromising quality. Impala Intech Limited was born ...,RELEVANT,9,"Custom software firm offering SaaS, web/mobile app development, dedicated teams, cloud & DevOps, agile development and ERP/CRM engineering."
Riseup Labs,http://www.riseuplabs.com/,"Riseup Labs is an ISO 9001 & 27001 certified next-generation global IT service and technology solution provider company that helps enterprises reimagine their business and navigate their digital transformation. We harness the power of Web 3.0, Automation, Analytics, IoT, Cloud, and emerging technologies to design ...",RELEVANT,9,"ISO-certified firm delivering custom AI/automation, generative and agentic AI, NLP and computer-vision engineering services."
Devxhub Limited,https://devxhub.com/,"Devxhub is a leading global IT Staff Augmentation, AI, and Custom Software Development company founded in 2020, focused on delivering innovative, affordable, high-quality technology solutions. We specialize in IT Staff Augmentation, AI/ML solutions, MVPs, SaaS, End-to-End, and full-stack software development, mobile app development, and web ...",RELEVANT,9,Provides vetted senior engineering teams building AI-integrated custom software and AI agents via a staff-augmentation model.
